UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
216,2023-03-31,新北市,板橋區,1,370,0.57
231,2023-03-30,新北市,板橋區,1,369,0.43
275,2023-03-27,新北市,板橋區,1,368,0.29
310,2023-03-25,新北市,板橋區,1,367,0.43
452,2023-03-20,新北市,板橋區,1,366,0.71
488,2023-03-19,新北市,板橋區,1,365,0.57
609,2023-03-16,新北市,板橋區,2,364,0.86
656,2023-03-15,新北市,板橋區,1,362,0.57
773,2023-03-12,新北市,板橋區,1,361,0.71
819,2023-03-11,新北市,板橋區,2,360,0.57
956,2023-03-08,新北市,板橋區,1,358,0.86
1048,2023-03-06,新北市,板橋區,1,357,0.71
1157,2023-03-04,新北市,板橋區,3,356,0.57
1214,2023-03-03,新北市,板橋區,1,353,0.14
1604,2023-02-24,新北市,板橋區,1,352,0.86
1658,2023-02-23,新北市,板橋區,1,351,0.71
1720,2023-02-22,新北市,板橋區,1,350,0.71
1892,2023-02-19,新北市,板橋區,1,349,1.00
1945,2023-02-18,新北市,板橋區,2,348,0.86
2062,2023-02-16,新北市,板橋區,1,346,0.71
2119,2023-02-15,新北市,板橋區,1,345,0.57
2194,2023-02-14,新北市,板橋區,1,344,0.43
2258,2023-02-13,新北市,板橋區,1,343,0.29
2376,2023-02-11,新北市,板橋區,1,342,0.43
2783,2023-02-05,新北市,板橋區,2,341,1.00
2959,2023-02-02,新北市,板橋區,1,339,0.71
3030,2023-02-01,新北市,板橋區,1,338,0.71
3095,2023-01-31,新北市,板橋區,1,337,0.57
3150,2023-01-30,新北市,板橋區,2,336,0.86
3362,2023-01-26,新北市,板橋區,1,334,1.00
3479,2023-01-24,新北市,板橋區,3,333,1.00
3637,2023-01-21,新北市,板橋區,1,330,0.71
3673,2023-01-20,新北市,板橋區,2,329,0.57
3773,2023-01-18,新北市,板橋區,1,327,0.57
3862,2023-01-16,新北市,板橋區,1,326,0.86
4035,2023-01-13,新北市,板橋區,1,325,1.14
4081,2023-01-12,新北市,板橋區,1,324,1.14
4119,2023-01-11,新北市,板橋區,3,323,1.00
4224,2023-01-09,新北市,板橋區,2,320,0.71
4276,2023-01-08,新北市,板橋區,1,318,0.43
4369,2023-01-06,新北市,板橋區,1,317,0.43
4516,2023-01-03,新北市,板橋區,1,316,0.71
4682,2022-12-31,新北市,板橋區,1,315,0.57
4736,2022-12-30,新北市,板橋區,1,314,0.43
4784,2022-12-29,新北市,板橋區,1,313,0.43
4823,2022-12-28,新北市,板橋區,1,312,0.43
5017,2022-12-23,新北市,板橋區,1,311,0.86
5048,2022-12-22,新北市,板橋區,1,310,0.86
5121,2022-12-20,新北市,板橋區,1,309,0.71
5167,2022-12-19,新北市,板橋區,1,308,0.57
5242,2022-12-17,新北市,板橋區,2,307,0.43
5278,2022-12-16,新北市,板橋區,1,305,0.43
5491,2022-12-10,新北市,板橋區,2,304,0.57
5530,2022-12-09,新北市,板橋區,1,302,0.43
5662,2022-12-06,新北市,板橋區,1,301,0.29
5763,2022-12-03,新北市,板橋區,1,300,0.14
6073,2022-11-25,新北市,板橋區,1,299,0.57
6166,2022-11-23,新北市,板橋區,1,298,0.57
6249,2022-11-21,新北市,板橋區,1,297,0.71
6349,2022-11-19,新北市,板橋區,1,296,0.71
6411,2022-11-18,新北市,板橋區,1,295,0.71
6510,2022-11-16,新北市,板橋區,1,294,0.86
6548,2022-11-15,新北市,板橋區,1,293,0.71
6649,2022-11-13,新北市,板橋區,1,292,0.71
6707,2022-11-12,新北市,板橋區,1,291,0.71
6831,2022-11-10,新北市,板橋區,2,290,0.71
7012,2022-11-07,新北市,板橋區,1,288,1.00
7070,2022-11-06,新北市,板橋區,1,287,1.14
7125,2022-11-05,新北市,板橋區,1,286,1.14
7298,2022-11-02,新北市,板橋區,2,285,1.14
7355,2022-11-01,新北市,板橋區,2,283,1.00
7432,2022-10-31,新北市,板橋區,2,281,1.00
7492,2022-10-30,新北市,板橋區,1,279,0.86
7679,2022-10-27,新北市,板橋區,1,278,0.86
7752,2022-10-26,新北市,板橋區,1,277,0.86
7830,2022-10-25,新北市,板橋區,2,276,0.71
7896,2022-10-24,新北市,板橋區,1,274,0.57
8108,2022-10-21,新北市,板橋區,1,273,1.00
8181,2022-10-20,新北市,板橋區,1,272,0.86
8321,2022-10-18,新北市,板橋區,1,271,1.43
8390,2022-10-17,新北市,板橋區,1,270,1.43
8468,2022-10-16,新北市,板橋區,1,269,1.57
8541,2022-10-15,新北市,板橋區,2,268,1.57
8678,2022-10-13,新北市,板橋區,3,266,1.86
8749,2022-10-12,新北市,板橋區,2,263,1.57
8818,2022-10-11,新北市,板橋區,1,261,1.57
8884,2022-10-10,新北市,板橋區,2,260,1.71
8958,2022-10-09,新北市,板橋區,1,258,1.43
9023,2022-10-08,新北市,板橋區,2,257,1.43
9072,2022-10-07,新北市,板橋區,2,255,1.14
9144,2022-10-06,新北市,板橋區,1,253,0.86
9206,2022-10-05,新北市,板橋區,2,252,0.71
9281,2022-10-04,新北市,板橋區,2,250,0.43
9429,2022-10-02,新北市,板橋區,1,248,0.14
9907,2022-09-24,新北市,板橋區,1,247,0.86
9960,2022-09-23,新北市,板橋區,2,246,0.71
10092,2022-09-21,新北市,板橋區,1,244,0.57
10146,2022-09-20,新北市,板橋區,2,243,0.57
10345,2022-09-16,新北市,板橋區,1,241,0.57
10467,2022-09-14,新北市,板橋區,1,240,0.57
10518,2022-09-13,新北市,板橋區,1,239,0.57
10569,2022-09-12,新北市,板橋區,1,238,0.43
10726,2022-09-09,新北市,板橋區,1,237,0.71
10825,2022-09-07,新北市,板橋區,1,236,0.71
10901,2022-09-05,新北市,板橋區,1,235,0.71
