UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
3,2023-09-07,新北市,板橋區,2,290650,0.29
30,2023-07-20,新北市,板橋區,1,290648,0.14
112,2023-06-14,新北市,板橋區,43,290647,6.14
283,2023-05-25,新北市,板橋區,1,290604,0.14
366,2023-03-24,新北市,板橋區,1,290603,68.00
389,2023-03-23,新北市,板橋區,1,290602,96.29
418,2023-03-22,新北市,板橋區,1,290601,132.86
496,2023-03-21,新北市,板橋區,10,290600,169.00
642,2023-03-20,新北市,板橋區,69,290590,209.14
927,2023-03-19,新北市,板橋區,152,290521,234.14
1255,2023-03-18,新北市,板橋區,242,290369,238.00
1595,2023-03-17,新北市,板橋區,199,290127,240.29
1947,2023-03-16,新北市,板橋區,257,289928,242.71
2300,2023-03-15,新北市,板橋區,254,289671,243.86
2651,2023-03-14,新北市,板橋區,291,289417,240.57
3008,2023-03-13,新北市,板橋區,244,289126,240.00
3367,2023-03-12,新北市,板橋區,179,288882,244.86
3712,2023-03-11,新北市,板橋區,258,288703,242.86
4065,2023-03-10,新北市,板橋區,216,288445,243.57
4420,2023-03-09,新北市,板橋區,265,288229,257.14
4779,2023-03-08,新北市,板橋區,231,287964,273.00
5133,2023-03-07,新北市,板橋區,287,287733,290.29
5492,2023-03-06,新北市,板橋區,278,287446,298.86
5857,2023-03-05,新北市,板橋區,165,287168,288.00
6196,2023-03-04,新北市,板橋區,263,287003,293.14
6548,2023-03-03,新北市,板橋區,311,286740,302.00
6907,2023-03-02,新北市,板橋區,376,286429,310.14
7271,2023-03-01,新北市,板橋區,352,286053,302.57
7642,2023-02-28,新北市,板橋區,347,285701,308.43
8005,2023-02-27,新北市,板橋區,202,285354,322.43
8364,2023-02-26,新北市,板橋區,201,285152,358.57
8709,2023-02-25,新北市,板橋區,325,284951,373.86
9079,2023-02-24,新北市,板橋區,368,284626,387.43
9440,2023-02-23,新北市,板橋區,323,284258,387.43
9810,2023-02-22,新北市,板橋區,393,283935,402.00
10185,2023-02-21,新北市,板橋區,445,283542,404.29
10554,2023-02-20,新北市,板橋區,455,283097,416.71
10934,2023-02-19,新北市,板橋區,308,282642,424.57
11292,2023-02-18,新北市,板橋區,420,282334,426.00
11659,2023-02-17,新北市,板橋區,368,281914,429.71
12031,2023-02-16,新北市,板橋區,425,281546,451.00
12406,2023-02-15,新北市,板橋區,409,281121,463.71
12779,2023-02-14,新北市,板橋區,532,280712,488.57
13151,2023-02-13,新北市,板橋區,510,280180,502.14
13530,2023-02-12,新北市,板橋區,318,279670,518.86
13887,2023-02-11,新北市,板橋區,446,279352,536.29
14259,2023-02-10,新北市,板橋區,517,278906,556.43
14633,2023-02-09,新北市,板橋區,514,278389,566.00
15009,2023-02-08,新北市,板橋區,583,277875,587.71
15388,2023-02-07,新北市,板橋區,627,277292,606.00
15767,2023-02-06,新北市,板橋區,627,276665,634.86
16149,2023-02-05,新北市,板橋區,440,276038,657.14
16517,2023-02-04,新北市,板橋區,587,275598,676.00
16896,2023-02-03,新北市,板橋區,584,275011,703.14
17282,2023-02-02,新北市,板橋區,666,274427,719.71
17665,2023-02-01,新北市,板橋區,711,273761,724.57
18042,2023-01-31,新北市,板橋區,829,273050,698.71
18427,2023-01-30,新北市,板橋區,783,272221,643.86
18816,2023-01-29,新北市,板橋區,572,271438,580.71
19192,2023-01-28,新北市,板橋區,777,270866,536.71
19571,2023-01-27,新北市,板橋區,700,270089,502.86
19949,2023-01-26,新北市,板橋區,700,269389,491.14
20326,2023-01-25,新北市,板橋區,530,268689,471.00
20691,2023-01-24,新北市,板橋區,445,268159,466.29
21066,2023-01-23,新北市,板橋區,341,267714,489.00
21433,2023-01-22,新北市,板橋區,264,267373,515.29
21797,2023-01-21,新北市,板橋區,540,267109,536.57
22169,2023-01-20,新北市,板橋區,618,266569,543.86
22536,2023-01-19,新北市,板橋區,559,265951,534.57
22907,2023-01-18,新北市,板橋區,497,265392,540.57
23279,2023-01-17,新北市,板橋區,604,264895,558.00
23643,2023-01-16,新北市,板橋區,525,264291,580.00
24019,2023-01-15,新北市,板橋區,413,263766,594.86
24386,2023-01-14,新北市,板橋區,591,263353,596.29
24754,2023-01-13,新北市,板橋區,553,262762,604.00
25122,2023-01-12,新北市,板橋區,601,262209,619.29
25497,2023-01-11,新北市,板橋區,619,261608,637.43
25873,2023-01-10,新北市,板橋區,758,260989,671.71
26245,2023-01-09,新北市,板橋區,629,260231,684.57
26624,2023-01-08,新北市,板橋區,423,259602,685.57
26981,2023-01-07,新北市,板橋區,645,259179,692.57
27352,2023-01-06,新北市,板橋區,660,258534,713.29
27728,2023-01-05,新北市,板橋區,728,257874,731.71
28108,2023-01-04,新北市,板橋區,859,257146,741.29
28489,2023-01-03,新北市,板橋區,848,256287,728.86
28871,2023-01-02,新北市,板橋區,636,255439,711.14
29242,2023-01-01,新北市,板橋區,472,254803,717.00
29604,2022-12-31,新北市,板橋區,790,254331,705.29
29970,2022-12-30,新北市,板橋區,789,253541,667.71
30342,2022-12-29,新北市,板橋區,795,252752,626.57
30715,2022-12-28,新北市,板橋區,772,251957,584.43
31085,2022-12-27,新北市,板橋區,724,251185,547.57
31462,2022-12-26,新北市,板橋區,677,250461,522.71
31834,2022-12-25,新北市,板橋區,390,249784,492.86
32188,2022-12-24,新北市,板橋區,527,249394,480.86
32548,2022-12-23,新北市,板橋區,501,248867,466.71
32912,2022-12-22,新北市,板橋區,500,248366,450.86
33279,2022-12-21,新北市,板橋區,514,247866,430.57
33649,2022-12-20,新北市,板橋區,550,247352,419.29
34012,2022-12-19,新北市,板橋區,468,246802,408.00
34383,2022-12-18,新北市,板橋區,306,246334,400.29
34731,2022-12-17,新北市,板橋區,428,246028,392.14
35091,2022-12-16,新北市,板橋區,390,245600,375.14
35456,2022-12-15,新北市,板橋區,358,245210,363.29
35827,2022-12-14,新北市,板橋區,435,244852,356.57
36186,2022-12-13,新北市,板橋區,471,244417,346.14
36560,2022-12-12,新北市,板橋區,414,243946,336.14
36931,2022-12-11,新北市,板橋區,249,243532,325.71
37283,2022-12-10,新北市,板橋區,309,243283,327.14
37652,2022-12-09,新北市,板橋區,307,242974,324.71
38017,2022-12-08,新北市,板橋區,311,242667,329.14
38390,2022-12-07,新北市,板橋區,362,242356,329.86
38762,2022-12-06,新北市,板橋區,401,241994,329.29
39133,2022-12-05,新北市,板橋區,341,241593,326.43
39511,2022-12-04,新北市,板橋區,259,241252,326.86
39877,2022-12-03,新北市,板橋區,292,240993,318.71
40246,2022-12-02,新北市,板橋區,338,240701,316.57
40616,2022-12-01,新北市,板橋區,316,240363,308.14
40985,2022-11-30,新北市,板橋區,358,240047,307.43
41356,2022-11-29,新北市,板橋區,381,239689,299.71
41736,2022-11-28,新北市,板橋區,344,239308,300.00
42114,2022-11-27,新北市,板橋區,202,238964,304.14
42475,2022-11-26,新北市,板橋區,277,238762,311.71
42831,2022-11-25,新北市,板橋區,279,238485,322.71
43202,2022-11-24,新北市,板橋區,311,238206,332.86
43572,2022-11-23,新北市,板橋區,304,237895,344.00
