UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
267,2023-06-14,新北市,林口區,70+,3127
268,2023-06-14,新北市,林口區,5-9,4383
269,2023-06-14,新北市,林口區,40-44,6833
270,2023-06-14,新北市,林口區,35-39,6149
271,2023-06-14,新北市,林口區,30-34,5712
272,2023-06-14,新北市,林口區,15-19,3459
273,2023-06-14,新北市,林口區,10-14,3832
274,2023-06-14,新北市,林口區,25-29,5293
275,2023-06-14,新北市,林口區,45-49,5347
276,2023-03-20,新北市,林口區,1,653
277,2023-03-20,新北市,林口區,60-64,2686
278,2023-03-20,新北市,林口區,65-69,2091
279,2023-03-20,新北市,林口區,20-24,4378
280,2023-03-19,新北市,林口區,50-54,3807
281,2023-03-19,新北市,林口區,55-59,3188
282,2023-03-19,新北市,林口區,3,732
283,2023-03-18,新北市,林口區,2,657
284,2023-03-16,新北市,林口區,0,461
285,2023-03-15,新北市,林口區,4,737
