UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
96,2023-06-27,新北市,樹林區,30-34,7737
97,2023-06-14,新北市,樹林區,70+,4745
98,2023-06-14,新北市,樹林區,60-64,4557
99,2023-06-14,新北市,樹林區,3,805
100,2023-06-14,新北市,樹林區,40-44,8856
101,2023-06-14,新北市,樹林區,45-49,6670
102,2023-06-01,新北市,樹林區,15-19,4811
103,2023-03-21,新北市,樹林區,20-24,6127
104,2023-03-20,新北市,樹林區,5-9,5222
105,2023-03-20,新北市,樹林區,0,539
106,2023-03-20,新北市,樹林區,35-39,8202
107,2023-03-20,新北市,樹林區,10-14,4755
108,2023-03-20,新北市,樹林區,65-69,3628
109,2023-03-20,新北市,樹林區,50-54,5311
110,2023-03-19,新北市,樹林區,55-59,5005
111,2023-03-19,新北市,樹林區,25-29,7848
112,2023-03-18,新北市,樹林區,1,703
113,2023-03-17,新北市,樹林區,2,752
114,2023-03-07,新北市,樹林區,4,827
