UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
363,2023-03-23,新北市,樹林區,1,109,0.14
612,2023-03-16,新北市,樹林區,1,108,0.43
740,2023-03-13,新北市,樹林區,1,107,0.43
825,2023-03-11,新北市,樹林區,1,106,0.29
917,2023-03-09,新北市,樹林區,1,105,0.14
1665,2023-02-23,新北市,樹林區,1,104,0.29
2011,2023-02-17,新北市,樹林區,1,103,0.29
2070,2023-02-16,新北市,樹林區,1,102,0.14
2791,2023-02-05,新北市,樹林區,1,101,0.43
2970,2023-02-02,新北市,樹林區,1,100,0.29
3106,2023-01-31,新北市,樹林區,1,99,0.29
3370,2023-01-26,新北市,樹林區,1,98,0.14
3982,2023-01-14,新北市,樹林區,1,97,0.29
4175,2023-01-10,新北市,樹林區,1,96,0.14
4861,2022-12-27,新北市,樹林區,1,95,0.43
4956,2022-12-25,新北市,樹林區,1,94,0.29
4987,2022-12-24,新北市,樹林區,1,93,0.14
5317,2022-12-15,新北市,樹林區,1,92,0.29
5535,2022-12-09,新北市,樹林區,1,91,0.29
5628,2022-12-07,新北市,樹林區,1,90,0.29
5803,2022-12-02,新北市,樹林區,1,89,0.29
5960,2022-11-28,新北市,樹林區,1,88,0.29
6168,2022-11-23,新北市,樹林區,1,87,0.14
6655,2022-11-13,新北市,樹林區,1,86,0.29
7018,2022-11-07,新北市,樹林區,1,85,0.29
7079,2022-11-06,新北市,樹林區,1,84,0.14
7690,2022-10-27,新北市,樹林區,1,83,0.14
8192,2022-10-20,新北市,樹林區,1,82,0.29
8270,2022-10-19,新北市,樹林區,1,81,0.14
8757,2022-10-12,新北市,樹林區,2,80,0.43
9030,2022-10-08,新北市,樹林區,1,78,0.29
9364,2022-10-03,新北市,樹林區,1,77,0.43
9563,2022-09-30,新北市,樹林區,1,76,0.71
9622,2022-09-29,新北市,樹林區,1,75,0.71
9919,2022-09-24,新北市,樹林區,3,74,0.57
9969,2022-09-23,新北市,樹林區,1,71,0.14
10525,2022-09-13,新北市,樹林區,1,70,0.29
10639,2022-09-11,新北市,樹林區,1,69,0.14
11318,2022-08-26,新北市,樹林區,1,68,0.14
11620,2022-08-18,新北市,樹林區,1,67,0.43
11650,2022-08-17,新北市,樹林區,1,66,0.29
11798,2022-08-13,新北市,樹林區,1,65,0.43
11910,2022-08-10,新北市,樹林區,1,64,0.29
12042,2022-08-07,新北市,樹林區,1,63,0.14
12447,2022-07-29,新北市,樹林區,1,62,0.57
12555,2022-07-27,新北市,樹林區,2,61,0.57
12731,2022-07-24,新北市,樹林區,1,59,0.43
12898,2022-07-21,新北市,樹林區,1,58,0.29
13014,2022-07-19,新北市,樹林區,1,57,0.14
13633,2022-07-10,新北市,樹林區,1,56,0.29
13918,2022-07-06,新北市,樹林區,1,55,0.29
14194,2022-07-03,新北市,樹林區,1,54,0.43
14557,2022-06-29,新北市,樹林區,1,53,0.57
14748,2022-06-27,新北市,樹林區,1,52,0.57
15045,2022-06-24,新北市,樹林區,1,51,0.86
15137,2022-06-23,新北市,樹林區,1,50,0.86
15256,2022-06-22,新北市,樹林區,1,49,0.71
15482,2022-06-20,新北市,樹林區,1,48,0.71
15593,2022-06-19,新北市,樹林區,1,47,0.71
15707,2022-06-18,新北市,樹林區,1,46,0.71
15826,2022-06-17,新北市,樹林區,1,45,0.86
16215,2022-06-14,新北市,樹林區,1,44,1.00
16346,2022-06-13,新北市,樹林區,1,43,1.14
16466,2022-06-12,新北市,樹林區,1,42,1.14
16587,2022-06-11,新北市,樹林區,2,41,1.00
16716,2022-06-10,新北市,樹林區,1,39,0.86
16946,2022-06-08,新北市,樹林區,1,38,0.86
17079,2022-06-07,新北市,樹林區,2,37,0.86
17203,2022-06-06,新北市,樹林區,1,35,1.00
17438,2022-06-04,新北市,樹林區,1,34,1.43
17567,2022-06-03,新北市,樹林區,1,33,1.29
17798,2022-06-01,新北市,樹林區,1,32,1.43
17929,2022-05-31,新北市,樹林區,3,31,1.43
18054,2022-05-30,新北市,樹林區,1,28,1.14
18182,2022-05-29,新北市,樹林區,3,27,1.14
18394,2022-05-27,新北市,樹林區,1,24,1.00
18489,2022-05-26,新北市,樹林區,1,23,1.14
18591,2022-05-25,新北市,樹林區,1,22,1.29
18688,2022-05-24,新北市,樹林區,1,21,1.29
18772,2022-05-23,新北市,樹林區,1,20,1.14
18865,2022-05-22,新北市,樹林區,1,19,1.14
18954,2022-05-21,新北市,樹林區,1,18,1.00
19037,2022-05-20,新北市,樹林區,2,17,0.86
19112,2022-05-19,新北市,樹林區,2,15,0.71
19182,2022-05-18,新北市,樹林區,1,13,0.43
19313,2022-05-16,新北市,樹林區,1,12,0.29
19482,2022-05-13,新北市,樹林區,1,11,0.29
19671,2022-05-08,新北市,樹林區,1,10,0.29
19738,2022-05-05,新北市,樹林區,1,9,0.29
19821,2022-04-29,新北市,樹林區,1,8,0.14
20145,2021-07-06,新北市,樹林區,1,7,0.14
20236,2021-06-27,新北市,樹林區,1,6,0.14
20364,2021-06-17,新北市,樹林區,1,5,0.29
20428,2021-06-13,新北市,樹林區,1,4,0.14
20582,2021-06-05,新北市,樹林區,1,3,0.29
20601,2021-06-04,新北市,樹林區,1,2,0.14
20774,2021-05-26,新北市,樹林區,1,1,0.14
