UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
50,2023-06-27,新北市,樹林區,1,87100,0.14
111,2023-06-14,新北市,樹林區,7,87099,1.00
273,2023-06-05,新北市,樹林區,1,87092,0.29
280,2023-06-01,新北市,樹林區,1,87091,0.14
495,2023-03-21,新北市,樹林區,2,87090,49.00
641,2023-03-20,新北市,樹林區,20,87088,61.57
926,2023-03-19,新北市,樹林區,41,87068,68.14
1254,2023-03-18,新北市,樹林區,68,87027,70.71
1594,2023-03-17,新北市,樹林區,83,86959,72.00
1946,2023-03-16,新北市,樹林區,51,86876,68.43
2299,2023-03-15,新北市,樹林區,78,86825,70.71
2650,2023-03-14,新北市,樹林區,90,86747,71.00
3007,2023-03-13,新北市,樹林區,66,86657,72.86
3366,2023-03-12,新北市,樹林區,59,86591,74.57
3711,2023-03-11,新北市,樹林區,77,86532,75.43
4064,2023-03-10,新北市,樹林區,58,86455,73.86
4419,2023-03-09,新北市,樹林區,67,86397,78.29
4778,2023-03-08,新北市,樹林區,80,86330,83.86
5132,2023-03-07,新北市,樹林區,103,86250,87.86
5491,2023-03-06,新北市,樹林區,78,86147,86.57
5856,2023-03-05,新北市,樹林區,65,86069,86.00
6195,2023-03-04,新北市,樹林區,66,86004,87.29
6547,2023-03-03,新北市,樹林區,89,85938,96.00
6906,2023-03-02,新北市,樹林區,106,85849,98.14
7270,2023-03-01,新北市,樹林區,108,85743,100.14
7641,2023-02-28,新北市,樹林區,94,85635,102.14
8004,2023-02-27,新北市,樹林區,74,85541,110.43
8363,2023-02-26,新北市,樹林區,74,85467,116.29
8708,2023-02-25,新北市,樹林區,127,85393,120.14
9078,2023-02-24,新北市,樹林區,104,85266,121.86
9439,2023-02-23,新北市,樹林區,120,85162,123.00
9809,2023-02-22,新北市,樹林區,122,85042,121.14
10184,2023-02-21,新北市,樹林區,152,84920,123.71
10553,2023-02-20,新北市,樹林區,115,84768,126.00
10933,2023-02-19,新北市,樹林區,101,84653,131.86
11291,2023-02-18,新北市,樹林區,139,84552,133.14
11658,2023-02-17,新北市,樹林區,112,84413,137.14
12030,2023-02-16,新北市,樹林區,107,84301,141.14
12405,2023-02-15,新北市,樹林區,140,84194,147.29
12778,2023-02-14,新北市,樹林區,168,84054,154.57
13150,2023-02-13,新北市,樹林區,156,83886,165.43
13529,2023-02-12,新北市,樹林區,110,83730,165.29
13886,2023-02-11,新北市,樹林區,167,83620,168.57
14258,2023-02-10,新北市,樹林區,140,83453,169.14
14632,2023-02-09,新北市,樹林區,150,83313,176.57
15008,2023-02-08,新北市,樹林區,191,83163,189.43
15387,2023-02-07,新北市,樹林區,244,82972,194.29
15766,2023-02-06,新北市,樹林區,155,82728,200.00
16148,2023-02-05,新北市,樹林區,133,82573,210.57
16516,2023-02-04,新北市,樹林區,171,82440,217.14
16895,2023-02-03,新北市,樹林區,192,82269,223.43
17281,2023-02-02,新北市,樹林區,240,82077,227.00
17664,2023-02-01,新北市,樹林區,225,81837,226.00
18041,2023-01-31,新北市,樹林區,284,81612,216.43
18426,2023-01-30,新北市,樹林區,229,81328,197.57
18815,2023-01-29,新北市,樹林區,179,81099,180.43
19191,2023-01-28,新北市,樹林區,215,80920,167.00
19570,2023-01-27,新北市,樹林區,217,80705,166.00
19948,2023-01-26,新北市,樹林區,233,80488,158.57
20325,2023-01-25,新北市,樹林區,158,80255,148.29
20690,2023-01-24,新北市,樹林區,152,80097,147.43
21065,2023-01-23,新北市,樹林區,109,79945,151.00
21432,2023-01-22,新北市,樹林區,85,79836,161.14
21796,2023-01-21,新北市,樹林區,208,79751,167.29
22168,2023-01-20,新北市,樹林區,165,79543,158.86
22535,2023-01-19,新北市,樹林區,161,79378,159.86
22906,2023-01-18,新北市,樹林區,152,79217,160.14
23278,2023-01-17,新北市,樹林區,177,79065,162.86
23642,2023-01-16,新北市,樹林區,180,78888,167.57
24018,2023-01-15,新北市,樹林區,128,78708,167.00
24385,2023-01-14,新北市,樹林區,149,78580,168.86
24753,2023-01-13,新北市,樹林區,172,78431,176.29
25121,2023-01-12,新北市,樹林區,163,78259,179.14
25496,2023-01-11,新北市,樹林區,171,78096,184.00
25872,2023-01-10,新北市,樹林區,210,77925,188.86
26244,2023-01-09,新北市,樹林區,176,77715,198.43
26623,2023-01-08,新北市,樹林區,141,77539,196.29
26980,2023-01-07,新北市,樹林區,201,77398,193.14
27351,2023-01-06,新北市,樹林區,192,77197,191.00
27727,2023-01-05,新北市,樹林區,197,77005,191.14
28107,2023-01-04,新北市,樹林區,205,76808,189.86
28488,2023-01-03,新北市,樹林區,277,76603,193.71
28870,2023-01-02,新北市,樹林區,161,76326,186.43
29241,2023-01-01,新北市,樹林區,119,76165,186.86
29603,2022-12-31,新北市,樹林區,186,76046,187.57
29969,2022-12-30,新北市,樹林區,193,75860,177.14
30341,2022-12-29,新北市,樹林區,188,75667,172.00
30714,2022-12-28,新北市,樹林區,232,75479,164.00
31084,2022-12-27,新北市,樹林區,226,75247,153.00
31461,2022-12-26,新北市,樹林區,164,75021,144.00
31833,2022-12-25,新北市,樹林區,124,74857,135.57
32187,2022-12-24,新北市,樹林區,113,74733,128.86
32547,2022-12-23,新北市,樹林區,157,74620,131.43
32911,2022-12-22,新北市,樹林區,132,74463,125.43
33278,2022-12-21,新北市,樹林區,155,74331,124.71
33648,2022-12-20,新北市,樹林區,163,74176,121.43
34011,2022-12-19,新北市,樹林區,105,74013,115.86
34382,2022-12-18,新北市,樹林區,77,73908,118.00
34730,2022-12-17,新北市,樹林區,131,73831,117.71
35090,2022-12-16,新北市,樹林區,115,73700,111.86
35455,2022-12-15,新北市,樹林區,127,73585,109.57
35826,2022-12-14,新北市,樹林區,132,73458,106.00
36185,2022-12-13,新北市,樹林區,124,73326,100.71
36559,2022-12-12,新北市,樹林區,120,73202,97.57
36930,2022-12-11,新北市,樹林區,75,73082,95.14
37282,2022-12-10,新北市,樹林區,90,73007,97.57
37651,2022-12-09,新北市,樹林區,99,72917,98.29
38016,2022-12-08,新北市,樹林區,102,72818,93.43
38389,2022-12-07,新北市,樹林區,95,72716,91.14
38761,2022-12-06,新北市,樹林區,102,72621,93.14
39132,2022-12-05,新北市,樹林區,103,72519,91.14
39510,2022-12-04,新北市,樹林區,92,72416,86.71
39876,2022-12-03,新北市,樹林區,95,72324,83.57
40245,2022-12-02,新北市,樹林區,65,72229,81.57
40615,2022-12-01,新北市,樹林區,86,72164,85.43
40984,2022-11-30,新北市,樹林區,109,72078,85.43
41355,2022-11-29,新北市,樹林區,88,71969,84.57
41735,2022-11-28,新北市,樹林區,72,71881,89.00
42113,2022-11-27,新北市,樹林區,70,71809,94.43
42474,2022-11-26,新北市,樹林區,81,71739,96.00
42830,2022-11-25,新北市,樹林區,92,71658,99.14
43201,2022-11-24,新北市,樹林區,86,71566,100.14
43571,2022-11-23,新北市,樹林區,103,71480,105.43
43943,2022-11-22,新北市,樹林區,119,71377,109.14
44316,2022-11-21,新北市,樹林區,110,71258,115.71
44699,2022-11-20,新北市,樹林區,81,71148,114.14
45062,2022-11-19,新北市,樹林區,103,71067,118.57
45436,2022-11-18,新北市,樹林區,99,70964,121.14
45808,2022-11-17,新北市,樹林區,123,70865,123.71
46181,2022-11-16,新北市,樹林區,129,70742,122.71
46561,2022-11-15,新北市,樹林區,165,70613,126.43
46942,2022-11-14,新北市,樹林區,99,70448,131.14
47323,2022-11-13,新北市,樹林區,112,70349,137.29
47693,2022-11-12,新北市,樹林區,121,70237,139.71
48070,2022-11-11,新北市,樹林區,117,70116,149.14
48449,2022-11-10,新北市,樹林區,116,69999,159.29
48832,2022-11-09,新北市,樹林區,155,69883,168.71
49215,2022-11-08,新北市,樹林區,198,69728,173.86
49600,2022-11-07,新北市,樹林區,142,69530,184.71
49985,2022-11-06,新北市,樹林區,129,69388,197.29
50354,2022-11-05,新北市,樹林區,187,69259,199.14
50729,2022-11-04,新北市,樹林區,188,69072,206.14
51115,2022-11-03,新北市,樹林區,182,68884,216.29
51495,2022-11-02,新北市,樹林區,191,68702,223.71
51881,2022-11-01,新北市,樹林區,274,68511,231.43
52266,2022-10-31,新北市,樹林區,230,68237,236.43
52649,2022-10-30,新北市,樹林區,142,68007,238.43
53028,2022-10-29,新北市,樹林區,236,67865,252.86
53407,2022-10-28,新北市,樹林區,259,67629,252.29
53794,2022-10-27,新北市,樹林區,234,67370,257.29
54181,2022-10-26,新北市,樹林區,245,67136,261.43
