UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
58,2023-04-25,新北市,永和區,1,190,0.14
125,2023-04-08,新北市,永和區,1,189,0.14
232,2023-03-30,新北市,永和區,1,188,0.29
333,2023-03-24,新北市,永和區,1,187,0.29
394,2023-03-22,新北市,永和區,1,186,0.14
693,2023-03-14,新北市,永和區,1,185,0.57
823,2023-03-11,新北市,永和區,1,184,0.86
864,2023-03-10,新北市,永和區,1,183,0.71
965,2023-03-08,新北市,永和區,1,182,0.57
1014,2023-03-07,新北市,永和區,1,181,0.43
1056,2023-03-06,新北市,永和區,1,180,0.29
1104,2023-03-05,新北市,永和區,1,179,0.29
1430,2023-02-27,新北市,永和區,1,178,0.43
1553,2023-02-25,新北市,永和區,1,177,0.43
1662,2023-02-23,新北市,永和區,1,176,0.43
1898,2023-02-19,新北市,永和區,1,175,0.71
1949,2023-02-18,新北市,永和區,1,174,0.57
2066,2023-02-16,新北市,永和區,2,173,0.43
2126,2023-02-15,新北市,永和區,1,171,0.14
2577,2023-02-08,新北市,永和區,1,170,0.29
2723,2023-02-06,新北市,永和區,1,169,0.29
3037,2023-02-01,新北市,永和區,1,168,0.43
3212,2023-01-29,新北市,永和區,1,167,0.86
3325,2023-01-27,新北市,永和區,1,166,0.86
3429,2023-01-25,新北市,永和區,1,165,0.71
3534,2023-01-23,新北市,永和區,3,164,0.57
3592,2023-01-22,新北市,永和區,1,161,0.29
3869,2023-01-16,新北市,永和區,1,160,0.43
4085,2023-01-12,新北市,永和區,1,159,0.71
4125,2023-01-11,新北市,永和區,1,158,0.71
4228,2023-01-09,新北市,永和區,2,157,0.71
4323,2023-01-07,新北市,永和區,1,155,0.57
4424,2023-01-05,新北市,永和區,1,154,0.57
4521,2023-01-03,新北市,永和區,1,153,0.43
4641,2023-01-01,新北市,永和區,1,152,0.29
4688,2022-12-31,新北市,永和區,1,151,0.14
5022,2022-12-23,新北市,永和區,1,150,0.29
5093,2022-12-21,新北市,永和區,1,149,0.29
5315,2022-12-15,新北市,永和區,1,148,0.57
5357,2022-12-14,新北市,永和區,1,147,0.43
5401,2022-12-13,新北市,永和區,1,146,0.29
5439,2022-12-12,新北市,永和區,1,145,0.29
5666,2022-12-06,新北市,永和區,1,144,0.14
5958,2022-11-28,新北市,永和區,1,143,0.14
6307,2022-11-20,新北市,永和區,1,142,0.71
6356,2022-11-19,新北市,永和區,1,141,0.57
6513,2022-11-16,新北市,永和區,1,140,0.71
6553,2022-11-15,新北市,永和區,2,139,0.57
6775,2022-11-11,新北市,永和區,1,137,0.43
6834,2022-11-10,新北市,永和區,1,136,0.29
6955,2022-11-08,新北市,永和區,1,135,0.14
7361,2022-11-01,新北市,永和區,1,134,0.86
7437,2022-10-31,新北市,永和區,1,133,0.86
7498,2022-10-30,新北市,永和區,1,132,0.86
7620,2022-10-28,新北市,永和區,2,131,0.86
7685,2022-10-27,新北市,永和區,1,129,0.71
7836,2022-10-25,新北市,永和區,1,128,0.86
7903,2022-10-24,新北市,永和區,1,127,0.86
7970,2022-10-23,新北市,永和區,1,126,0.86
8113,2022-10-21,新北市,永和區,1,125,0.71
8188,2022-10-20,新北市,永和區,2,124,0.57
8328,2022-10-18,新北市,永和區,1,122,0.43
8398,2022-10-17,新北市,永和區,1,121,0.29
8685,2022-10-13,新北市,永和區,1,120,0.57
8890,2022-10-10,新北市,永和區,1,119,0.71
9027,2022-10-08,新北市,永和區,1,118,0.86
9079,2022-10-07,新北市,永和區,1,117,0.71
9212,2022-10-05,新北市,永和區,1,116,0.57
9290,2022-10-04,新北市,永和區,1,115,0.43
9361,2022-10-03,新北市,永和區,1,114,0.57
9435,2022-10-02,新北市,永和區,1,113,0.43
9734,2022-09-27,新北市,永和區,2,112,0.86
9913,2022-09-24,新北市,永和區,1,110,0.86
10024,2022-09-22,新北市,永和區,1,109,0.71
10100,2022-09-21,新北市,永和區,2,108,0.71
10152,2022-09-20,新北市,永和區,1,106,0.57
10245,2022-09-18,新北市,永和區,1,105,0.71
10414,2022-09-15,新北市,永和區,1,104,0.71
10473,2022-09-14,新北市,永和區,1,103,0.71
10574,2022-09-12,新北市,永和區,2,102,0.57
10676,2022-09-10,新北市,永和區,1,100,0.29
10775,2022-09-08,新北市,永和區,1,99,0.14
11247,2022-08-28,新北市,永和區,1,98,0.29
11282,2022-08-27,新北市,永和區,1,97,0.14
11619,2022-08-18,新北市,永和區,1,96,0.14
12039,2022-08-07,新北市,永和區,1,95,0.14
12401,2022-07-30,新北市,永和區,1,94,0.14
12784,2022-07-23,新北市,永和區,1,93,0.14
13282,2022-07-15,新北市,永和區,1,92,0.29
13559,2022-07-11,新北市,永和區,1,91,0.14
14363,2022-07-01,新北市,永和區,1,90,0.29
14853,2022-06-26,新北市,永和區,1,89,0.43
15040,2022-06-24,新北市,永和區,1,88,0.57
15250,2022-06-22,新北市,永和區,1,87,0.86
15700,2022-06-18,新北市,永和區,2,86,1.57
15821,2022-06-17,新北市,永和區,1,84,1.71
15958,2022-06-16,新北市,永和區,2,83,1.86
16208,2022-06-14,新北市,永和區,2,81,1.86
16339,2022-06-13,新北市,永和區,1,79,1.71
16458,2022-06-12,新北市,永和區,3,78,1.86
16578,2022-06-11,新北市,永和區,3,75,1.57
16709,2022-06-10,新北市,永和區,2,72,1.29
16823,2022-06-09,新北市,永和區,1,70,1.14
16942,2022-06-08,新北市,永和區,1,69,1.29
17073,2022-06-07,新北市,永和區,1,68,1.14
17195,2022-06-06,新北市,永和區,2,67,1.29
17321,2022-06-05,新北市,永和區,1,65,1.29
17429,2022-06-04,新北市,永和區,1,64,1.57
17558,2022-06-03,新北市,永和區,1,63,1.71
17687,2022-06-02,新北市,永和區,2,62,1.57
17921,2022-05-31,新北市,永和區,2,60,1.43
18046,2022-05-30,新北市,永和區,2,58,1.43
18174,2022-05-29,新北市,永和區,3,56,1.57
18282,2022-05-28,新北市,永和區,2,53,1.29
18583,2022-05-25,新北市,永和區,1,51,1.71
18682,2022-05-24,新北市,永和區,2,50,1.71
18765,2022-05-23,新北市,永和區,3,48,1.57
18858,2022-05-22,新北市,永和區,1,45,1.57
18946,2022-05-21,新北市,永和區,3,44,1.43
19030,2022-05-20,新北市,永和區,1,41,1.00
19105,2022-05-19,新北市,永和區,1,40,1.00
19176,2022-05-18,新北市,永和區,1,39,0.86
19242,2022-05-17,新北市,永和區,1,38,0.71
19306,2022-05-16,新北市,永和區,3,37,0.71
19476,2022-05-13,新北市,永和區,1,34,0.57
19603,2022-05-10,新北市,永和區,1,33,0.43
19645,2022-05-09,新北市,永和區,1,32,0.29
19694,2022-05-07,新北市,永和區,1,31,0.14
19809,2022-04-30,新北市,永和區,1,30,0.29
19840,2022-04-27,新北市,永和區,1,29,0.14
19949,2021-08-18,新北市,永和區,1,28,0.14
20003,2021-07-29,新北市,永和區,1,27,0.29
20017,2021-07-25,新北市,永和區,1,26,0.14
20098,2021-07-11,新北市,永和區,1,25,0.14
20172,2021-07-03,新北市,永和區,1,24,0.29
20183,2021-07-02,新北市,永和區,1,23,0.14
20261,2021-06-25,新北市,永和區,1,22,0.43
20284,2021-06-23,新北市,永和區,1,21,0.29
20335,2021-06-19,新北市,永和區,1,20,0.29
20426,2021-06-13,新北市,永和區,1,19,0.86
20480,2021-06-10,新北市,永和區,2,18,0.71
20536,2021-06-07,新北市,永和區,3,16,1.00
20621,2021-06-03,新北市,永和區,3,13,1.00
20642,2021-06-02,新北市,永和區,1,10,1.00
20681,2021-05-31,新北市,永和區,1,9,1.00
20719,2021-05-29,新北市,永和區,2,8,1.00
20756,2021-05-27,新北市,永和區,3,6,0.86
20769,2021-05-26,新北市,永和區,1,3,0.43
20808,2021-05-23,新北市,永和區,1,2,0.29
20826,2021-05-21,新北市,永和區,1,1,0.14
