UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
99,2023-06-14,新北市,永和區,16,112492,2.29
487,2023-03-21,新北市,永和區,2,112476,64.71
627,2023-03-20,新北市,永和區,31,112474,81.00
911,2023-03-19,新北市,永和區,54,112443,88.57
1239,2023-03-18,新北市,永和區,109,112389,89.43
1579,2023-03-17,新北市,永和區,86,112280,87.71
1931,2023-03-16,新北市,永和區,98,112194,88.57
2284,2023-03-15,新北市,永和區,73,112096,86.43
2635,2023-03-14,新北市,永和區,116,112023,88.86
2992,2023-03-13,新北市,永和區,84,111907,89.71
3351,2023-03-12,新北市,永和區,60,111823,92.57
3696,2023-03-11,新北市,永和區,97,111763,93.29
4049,2023-03-10,新北市,永和區,92,111666,94.86
4404,2023-03-09,新北市,永和區,83,111574,97.57
4763,2023-03-08,新北市,永和區,90,111491,105.14
5117,2023-03-07,新北市,永和區,122,111401,109.00
5476,2023-03-06,新北市,永和區,104,111279,109.29
5841,2023-03-05,新北市,永和區,65,111175,110.43
6180,2023-03-04,新北市,永和區,108,111110,110.14
6532,2023-03-03,新北市,永和區,111,111002,110.57
6891,2023-03-02,新北市,永和區,136,110891,113.43
7255,2023-03-01,新北市,永和區,117,110755,115.29
7626,2023-02-28,新北市,永和區,124,110638,118.71
7989,2023-02-27,新北市,永和區,112,110514,124.57
8348,2023-02-26,新北市,永和區,63,110402,134.57
8693,2023-02-25,新北市,永和區,111,110339,139.00
9063,2023-02-24,新北市,永和區,131,110228,148.29
9424,2023-02-23,新北市,永和區,149,110097,150.14
9794,2023-02-22,新北市,永和區,141,109948,148.00
10169,2023-02-21,新北市,永和區,165,109807,149.29
10538,2023-02-20,新北市,永和區,182,109642,154.86
10918,2023-02-19,新北市,永和區,94,109460,156.00
11276,2023-02-18,新北市,永和區,176,109366,163.57
11643,2023-02-17,新北市,永和區,144,109190,163.29
12015,2023-02-16,新北市,永和區,134,109046,166.57
12390,2023-02-15,新北市,永和區,150,108912,178.00
12763,2023-02-14,新北市,永和區,204,108762,186.86
13135,2023-02-13,新北市,永和區,190,108558,190.00
13514,2023-02-12,新北市,永和區,147,108368,196.57
13871,2023-02-11,新北市,永和區,174,108221,201.71
14243,2023-02-10,新北市,永和區,167,108047,213.57
14617,2023-02-09,新北市,永和區,214,107880,220.86
14993,2023-02-08,新北市,永和區,212,107666,227.29
15372,2023-02-07,新北市,永和區,226,107454,234.71
15751,2023-02-06,新北市,永和區,236,107228,245.71
