UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
177,2023-04-03,新北市,汐止區,1,194,0.14
278,2023-03-27,新北市,汐止區,1,193,0.29
393,2023-03-22,新北市,汐止區,1,192,0.29
573,2023-03-17,新北市,汐止區,1,191,0.29
778,2023-03-12,新北市,汐止區,1,190,0.57
863,2023-03-10,新北市,汐止區,2,189,0.43
964,2023-03-08,新北市,汐止區,1,187,0.43
1218,2023-03-03,新北市,汐止區,2,186,0.71
1378,2023-02-28,新北市,汐止區,1,184,0.86
1552,2023-02-25,新北市,汐止區,2,183,0.71
1661,2023-02-23,新北市,汐止區,2,181,0.71
1724,2023-02-22,新北市,汐止區,1,179,0.43
2008,2023-02-17,新北市,汐止區,2,178,0.71
2125,2023-02-15,新北市,汐止區,1,176,0.57
2265,2023-02-13,新北市,汐止區,2,175,0.86
2447,2023-02-10,新北市,汐止區,1,173,1.29
2576,2023-02-08,新北市,汐止區,1,172,1.43
2662,2023-02-07,新北市,汐止區,2,171,1.29
2722,2023-02-06,新北市,汐止區,2,169,1.00
2789,2023-02-05,新北市,汐止區,2,167,0.71
2847,2023-02-04,新北市,汐止區,1,165,0.57
2896,2023-02-03,新北市,汐止區,1,164,0.43
2966,2023-02-02,新北市,汐止區,1,163,0.57
3211,2023-01-29,新北市,汐止區,1,162,0.57
3324,2023-01-27,新北市,汐止區,2,161,0.71
3485,2023-01-24,新北市,汐止區,1,159,1.00
3591,2023-01-22,新北市,汐止區,1,158,1.00
3641,2023-01-21,新北市,汐止區,1,157,0.86
3678,2023-01-20,新北市,汐止區,1,156,0.71
3727,2023-01-19,新北市,汐止區,1,155,0.71
3778,2023-01-18,新北市,汐止區,2,154,0.57
3868,2023-01-16,新北市,汐止區,1,152,0.43
4040,2023-01-13,新北市,汐止區,1,151,0.57
4170,2023-01-10,新北市,汐止區,1,150,0.71
4227,2023-01-09,新北市,汐止區,1,149,0.71
4322,2023-01-07,新北市,汐止區,1,148,0.86
4376,2023-01-06,新北市,汐止區,1,147,0.86
4465,2023-01-04,新北市,汐止區,1,146,1.00
4520,2023-01-03,新北市,汐止區,1,145,0.86
4576,2023-01-02,新北市,汐止區,1,144,0.86
4640,2023-01-01,新北市,汐止區,1,143,1.00
4687,2022-12-31,新北市,汐止區,1,142,0.86
4742,2022-12-30,新北市,汐止區,2,141,0.71
4859,2022-12-27,新北市,汐止區,1,139,0.43
4908,2022-12-26,新北市,汐止區,2,138,0.29
5207,2022-12-18,新北市,汐止區,1,136,0.43
5356,2022-12-14,新北市,汐止區,1,135,0.29
5438,2022-12-12,新北市,汐止區,1,134,0.14
5727,2022-12-04,新北市,汐止區,2,133,0.43
5848,2022-12-01,新北市,汐止區,1,131,0.14
6120,2022-11-24,新北市,汐止區,1,130,0.86
6255,2022-11-21,新北市,汐止區,1,129,0.71
6306,2022-11-20,新北市,汐止區,2,128,0.57
6355,2022-11-19,新北市,汐止區,1,126,0.29
6414,2022-11-18,新北市,汐止區,1,125,0.14
6898,2022-11-09,新北市,汐止區,1,124,0.57
7016,2022-11-07,新北市,汐止區,1,123,0.57
7075,2022-11-06,新北市,汐止區,1,122,0.43
7129,2022-11-05,新北市,汐止區,1,121,0.43
7302,2022-11-02,新北市,汐止區,1,120,0.57
7497,2022-10-30,新北市,汐止區,1,119,0.57
7619,2022-10-28,新北市,汐止區,1,118,0.57
7684,2022-10-27,新北市,汐止區,1,117,0.43
7902,2022-10-24,新北市,汐止區,1,116,0.71
8045,2022-10-22,新北市,汐止區,1,115,0.86
8187,2022-10-20,新北市,汐止區,1,114,0.71
8267,2022-10-19,新北市,汐止區,2,113,0.71
8397,2022-10-17,新北市,汐止區,1,111,0.57
8475,2022-10-16,新北市,汐止區,1,110,0.43
8684,2022-10-13,新北市,汐止區,1,109,0.43
8753,2022-10-12,新北市,汐止區,1,108,0.43
9078,2022-10-07,新北市,汐止區,1,107,0.57
9149,2022-10-06,新北市,汐止區,1,106,0.43
9289,2022-10-04,新北市,汐止區,1,105,0.29
9360,2022-10-03,新北市,汐止區,1,104,0.29
9733,2022-09-27,新北市,汐止區,1,103,0.86
9912,2022-09-24,新北市,汐止區,1,102,0.86
9965,2022-09-23,新北市,汐止區,2,101,0.71
10099,2022-09-21,新北市,汐止區,2,99,0.71
10195,2022-09-19,新北市,汐止區,1,97,0.57
10352,2022-09-16,新北市,汐止區,1,96,0.57
10413,2022-09-15,新北市,汐止區,1,95,0.43
10522,2022-09-13,新北市,汐止區,1,94,0.43
10635,2022-09-11,新北市,汐止區,1,93,0.43
10774,2022-09-08,新北市,汐止區,1,92,0.43
10860,2022-09-06,新北市,汐止區,1,91,0.29
10996,2022-09-03,新北市,汐止區,1,90,0.14
11546,2022-08-20,新北市,汐止區,1,89,0.14
12152,2022-08-04,新北市,汐止區,1,88,0.29
12292,2022-08-01,新北市,汐止區,1,87,0.14
13012,2022-07-19,新北市,汐止區,2,86,0.43
13141,2022-07-17,新北市,汐止區,1,84,0.14
13834,2022-07-07,新北市,汐止區,1,83,0.57
13912,2022-07-06,新北市,汐止區,1,82,0.43
14004,2022-07-05,新北市,汐止區,1,81,0.43
14362,2022-07-01,新北市,汐止區,1,80,0.43
14552,2022-06-29,新北市,汐止區,1,79,0.29
14650,2022-06-28,新北市,汐止區,1,78,0.14
15476,2022-06-20,新北市,汐止區,1,77,1.14
15587,2022-06-19,新北市,汐止區,1,76,1.14
15699,2022-06-18,新北市,汐止區,1,75,1.14
15957,2022-06-16,新北市,汐止區,1,74,1.29
16073,2022-06-15,新北市,汐止區,2,73,1.29
16207,2022-06-14,新北市,汐止區,2,71,1.14
16338,2022-06-13,新北市,汐止區,1,69,0.86
16457,2022-06-12,新北市,汐止區,1,68,0.86
16577,2022-06-11,新北市,汐止區,1,67,0.86
16708,2022-06-10,新北市,汐止區,1,66,0.86
16822,2022-06-09,新北市,汐止區,1,65,0.71
16941,2022-06-08,新北市,汐止區,1,64,0.57
17194,2022-06-06,新北市,汐止區,1,63,1.14
17320,2022-06-05,新北市,汐止區,1,62,1.14
17428,2022-06-04,新北市,汐止區,1,61,1.00
17791,2022-06-01,新北市,汐止區,3,60,2.00
17920,2022-05-31,新北市,汐止區,2,57,1.71
18045,2022-05-30,新北市,汐止區,1,55,1.86
18281,2022-05-28,新北市,汐止區,2,54,2.43
18387,2022-05-27,新北市,汐止區,4,52,2.57
18483,2022-05-26,新北市,汐止區,2,48,2.14
18582,2022-05-25,新北市,汐止區,1,46,2.14
18681,2022-05-24,新北市,汐止區,3,45,2.29
18764,2022-05-23,新北市,汐止區,3,42,2.14
18857,2022-05-22,新北市,汐止區,2,39,1.71
18945,2022-05-21,新北市,汐止區,3,37,1.71
19029,2022-05-20,新北市,汐止區,1,34,1.57
19104,2022-05-19,新北市,汐止區,2,33,1.57
19175,2022-05-18,新北市,汐止區,2,31,1.71
19241,2022-05-17,新北市,汐止區,2,29,1.57
19364,2022-05-15,新北市,汐止區,2,27,1.71
19425,2022-05-14,新北市,汐止區,2,25,1.43
19475,2022-05-13,新北市,汐止區,1,23,1.29
19523,2022-05-12,新北市,汐止區,3,22,1.14
19559,2022-05-11,新北市,汐止區,1,19,0.71
19602,2022-05-10,新北市,汐止區,1,18,0.57
19644,2022-05-09,新北市,汐止區,2,17,0.43
19693,2022-05-07,新北市,汐止區,1,15,0.29
19785,2022-05-02,新北市,汐止區,1,14,0.29
19820,2022-04-29,新北市,汐止區,1,13,0.14
19964,2021-08-13,新北市,汐止區,1,12,0.14
20378,2021-06-16,新北市,汐止區,2,11,0.43
20391,2021-06-15,新北市,汐止區,1,9,0.14
20535,2021-06-07,新北市,汐止區,1,8,0.57
20595,2021-06-04,新北市,汐止區,1,7,0.57
20620,2021-06-03,新北市,汐止區,1,6,0.43
20641,2021-06-02,新北市,汐止區,1,5,0.29
20718,2021-05-29,新北市,汐止區,1,4,0.43
20799,2021-05-24,新北市,汐止區,1,3,0.43
20807,2021-05-23,新北市,汐止區,1,2,0.29
20825,2021-05-21,新北市,汐止區,1,1,0.14
