UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
86,2023-06-14,新北市,汐止區,53,126283,7.57
364,2023-03-24,新北市,汐止區,1,126230,31.57
382,2023-03-23,新北市,汐止區,2,126229,48.29
415,2023-03-22,新北市,汐止區,3,126227,65.29
475,2023-03-21,新北市,汐止區,2,126224,80.86
614,2023-03-20,新北市,汐止區,24,126222,99.14
898,2023-03-19,新北市,汐止區,68,126198,114.71
1226,2023-03-18,新北市,汐止區,121,126130,117.71
1566,2023-03-17,新北市,汐止區,118,126009,114.00
1918,2023-03-16,新北市,汐止區,121,125891,116.00
2271,2023-03-15,新北市,汐止區,112,125770,112.86
2622,2023-03-14,新北市,汐止區,130,125658,114.86
2979,2023-03-13,新北市,汐止區,133,125528,113.29
3338,2023-03-12,新北市,汐止區,89,125395,109.71
3683,2023-03-11,新北市,汐止區,95,125306,112.29
4036,2023-03-10,新北市,汐止區,132,125211,116.00
4391,2023-03-09,新北市,汐止區,99,125079,117.71
4750,2023-03-08,新北市,汐止區,126,124980,126.43
5104,2023-03-07,新北市,汐止區,119,124854,133.43
5463,2023-03-06,新北市,汐止區,108,124735,138.00
5828,2023-03-05,新北市,汐止區,107,124627,137.43
6167,2023-03-04,新北市,汐止區,121,124520,134.00
6519,2023-03-03,新北市,汐止區,144,124399,141.43
6878,2023-03-02,新北市,汐止區,160,124255,144.00
7242,2023-03-01,新北市,汐止區,175,124095,142.86
7613,2023-02-28,新北市,汐止區,151,123920,143.29
7976,2023-02-27,新北市,汐止區,104,123769,153.43
8335,2023-02-26,新北市,汐止區,83,123665,167.57
8680,2023-02-25,新北市,汐止區,173,123582,178.29
9050,2023-02-24,新北市,汐止區,162,123409,177.14
9411,2023-02-23,新北市,汐止區,152,123247,176.57
9781,2023-02-22,新北市,汐止區,178,123095,178.86
10156,2023-02-21,新北市,汐止區,222,122917,182.57
10525,2023-02-20,新北市,汐止區,203,122695,186.43
10905,2023-02-19,新北市,汐止區,158,122492,193.43
11263,2023-02-18,新北市,汐止區,165,122334,199.14
11630,2023-02-17,新北市,汐止區,158,122169,207.86
12002,2023-02-16,新北市,汐止區,168,122011,216.00
12377,2023-02-15,新北市,汐止區,204,121843,227.29
12750,2023-02-14,新北市,汐止區,249,121639,234.29
13122,2023-02-13,新北市,汐止區,252,121390,239.71
13501,2023-02-12,新北市,汐止區,198,121138,242.14
13858,2023-02-11,新北市,汐止區,226,120940,240.71
14230,2023-02-10,新北市,汐止區,215,120714,249.29
14604,2023-02-09,新北市,汐止區,247,120499,257.29
14980,2023-02-08,新北市,汐止區,253,120252,264.71
15359,2023-02-07,新北市,汐止區,287,119999,278.57
15738,2023-02-06,新北市,汐止區,269,119712,294.86
16120,2023-02-05,新北市,汐止區,188,119443,310.43
16488,2023-02-04,新北市,汐止區,286,119255,327.86
16867,2023-02-03,新北市,汐止區,271,118969,333.00
17253,2023-02-02,新北市,汐止區,299,118698,352.00
17636,2023-02-01,新北市,汐止區,350,118399,353.43
18013,2023-01-31,新北市,汐止區,401,118049,338.57
18398,2023-01-30,新北市,汐止區,378,117648,309.57
18787,2023-01-29,新北市,汐止區,310,117270,281.29
19163,2023-01-28,新北市,汐止區,322,116960,258.43
19542,2023-01-27,新北市,汐止區,404,116638,247.14
19920,2023-01-26,新北市,汐止區,309,116234,224.71
20297,2023-01-25,新北市,汐止區,246,115925,212.00
20662,2023-01-24,新北市,汐止區,198,115679,213.86
21037,2023-01-23,新北市,汐止區,180,115481,230.14
21404,2023-01-22,新北市,汐止區,150,115301,240.14
21768,2023-01-21,新北市,汐止區,243,115151,250.86
22140,2023-01-20,新北市,汐止區,247,114908,257.00
22507,2023-01-19,新北市,汐止區,220,114661,264.71
22878,2023-01-18,新北市,汐止區,259,114441,274.43
23250,2023-01-17,新北市,汐止區,312,114182,279.43
23614,2023-01-16,新北市,汐止區,250,113870,279.86
23990,2023-01-15,新北市,汐止區,225,113620,285.29
24357,2023-01-14,新北市,汐止區,286,113395,282.57
24725,2023-01-13,新北市,汐止區,301,113109,281.29
25093,2023-01-12,新北市,汐止區,288,112808,279.86
25468,2023-01-11,新北市,汐止區,294,112520,279.14
25844,2023-01-10,新北市,汐止區,315,112226,295.71
26216,2023-01-09,新北市,汐止區,288,111911,303.43
26595,2023-01-08,新北市,汐止區,206,111623,302.86
26952,2023-01-07,新北市,汐止區,277,111417,311.71
27323,2023-01-06,新北市,汐止區,291,111140,322.29
27699,2023-01-05,新北市,汐止區,283,110849,332.14
28079,2023-01-04,新北市,汐止區,410,110566,340.86
28460,2023-01-03,新北市,汐止區,369,110156,331.00
28842,2023-01-02,新北市,汐止區,284,109787,327.43
29213,2023-01-01,新北市,汐止區,268,109503,325.29
29575,2022-12-31,新北市,汐止區,351,109235,310.57
29941,2022-12-30,新北市,汐止區,360,108884,289.00
30313,2022-12-29,新北市,汐止區,344,108524,270.00
30686,2022-12-28,新北市,汐止區,341,108180,253.86
31056,2022-12-27,新北市,汐止區,344,107839,238.71
31433,2022-12-26,新北市,汐止區,269,107495,220.00
31805,2022-12-25,新北市,汐止區,165,107226,208.14
32159,2022-12-24,新北市,汐止區,200,107061,201.86
32519,2022-12-23,新北市,汐止區,227,106861,196.29
32883,2022-12-22,新北市,汐止區,231,106634,190.86
33250,2022-12-21,新北市,汐止區,235,106403,181.43
33620,2022-12-20,新北市,汐止區,213,106168,177.00
33983,2022-12-19,新北市,汐止區,186,105955,173.57
34354,2022-12-18,新北市,汐止區,121,105769,166.43
34702,2022-12-17,新北市,汐止區,161,105648,163.71
35062,2022-12-16,新北市,汐止區,189,105487,162.00
35427,2022-12-15,新北市,汐止區,165,105298,152.86
35798,2022-12-14,新北市,汐止區,204,105133,143.57
36157,2022-12-13,新北市,汐止區,189,104929,133.29
36531,2022-12-12,新北市,汐止區,136,104740,128.86
36903,2022-12-11,新北市,汐止區,102,104604,129.71
37254,2022-12-10,新北市,汐止區,149,104502,128.86
37623,2022-12-09,新北市,汐止區,125,104353,123.71
37988,2022-12-08,新北市,汐止區,100,104228,121.86
38361,2022-12-07,新北市,汐止區,132,104128,122.71
38733,2022-12-06,新北市,汐止區,158,103996,126.43
39104,2022-12-05,新北市,汐止區,142,103838,124.57
