UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
210,2023-06-14,新北市,泰山區,55-59,2070
211,2023-03-20,新北市,泰山區,15-19,2538
212,2023-03-20,新北市,泰山區,25-29,3566
213,2023-03-20,新北市,泰山區,20-24,3206
214,2023-03-20,新北市,泰山區,5-9,2479
215,2023-03-20,新北市,泰山區,10-14,2631
216,2023-03-19,新北市,泰山區,30-34,3295
217,2023-03-19,新北市,泰山區,45-49,3714
218,2023-03-19,新北市,泰山區,50-54,2468
219,2023-03-19,新北市,泰山區,65-69,1684
220,2023-03-19,新北市,泰山區,70+,2336
221,2023-03-18,新北市,泰山區,60-64,1801
222,2023-03-18,新北市,泰山區,40-44,4616
223,2023-03-18,新北市,泰山區,35-39,3461
224,2023-03-17,新北市,泰山區,4,365
225,2023-03-17,新北市,泰山區,2,355
226,2023-03-12,新北市,泰山區,3,358
227,2023-03-09,新北市,泰山區,0,233
228,2023-03-08,新北市,泰山區,1,304
