UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
126,2023-06-14,新北市,泰山區,1,41480,0.14
659,2023-03-20,新北市,泰山區,8,41479,24.14
946,2023-03-19,新北市,泰山區,15,41471,28.29
1274,2023-03-18,新北市,泰山區,27,41456,29.43
1614,2023-03-17,新北市,泰山區,25,41429,28.86
1966,2023-03-16,新北市,泰山區,27,41404,31.00
2319,2023-03-15,新北市,泰山區,36,41377,31.29
2670,2023-03-14,新北市,泰山區,31,41341,32.71
3027,2023-03-13,新北市,泰山區,37,41310,34.71
3386,2023-03-12,新北市,泰山區,23,41273,34.71
3731,2023-03-11,新北市,泰山區,23,41250,34.86
4084,2023-03-10,新北市,泰山區,40,41227,35.57
4439,2023-03-09,新北市,泰山區,29,41187,35.43
4798,2023-03-08,新北市,泰山區,46,41158,39.29
5152,2023-03-07,新北市,泰山區,45,41112,39.57
5511,2023-03-06,新北市,泰山區,37,41067,39.43
5876,2023-03-05,新北市,泰山區,24,41030,38.00
6215,2023-03-04,新北市,泰山區,28,41006,39.29
6567,2023-03-03,新北市,泰山區,39,40978,43.43
6926,2023-03-02,新北市,泰山區,56,40939,44.00
7290,2023-03-01,新北市,泰山區,48,40883,45.00
7661,2023-02-28,新北市,泰山區,44,40835,47.14
8024,2023-02-27,新北市,泰山區,27,40791,50.86
8383,2023-02-26,新北市,泰山區,33,40764,55.43
8728,2023-02-25,新北市,泰山區,57,40731,60.57
9098,2023-02-24,新北市,泰山區,43,40674,59.71
9459,2023-02-23,新北市,泰山區,63,40631,60.71
9829,2023-02-22,新北市,泰山區,63,40568,60.57
10204,2023-02-21,新北市,泰山區,70,40505,59.71
10573,2023-02-20,新北市,泰山區,59,40435,61.43
10953,2023-02-19,新北市,泰山區,69,40376,66.29
11311,2023-02-18,新北市,泰山區,51,40307,63.14
11678,2023-02-17,新北市,泰山區,50,40256,64.00
12050,2023-02-16,新北市,泰山區,62,40206,66.43
12425,2023-02-15,新北市,泰山區,57,40144,68.14
12798,2023-02-14,新北市,泰山區,82,40087,69.29
13170,2023-02-13,新北市,泰山區,93,40005,69.00
13549,2023-02-12,新北市,泰山區,47,39912,67.57
13906,2023-02-11,新北市,泰山區,57,39865,70.86
14278,2023-02-10,新北市,泰山區,67,39808,74.00
14652,2023-02-09,新北市,泰山區,74,39741,74.71
15028,2023-02-08,新北市,泰山區,65,39667,78.14
15407,2023-02-07,新北市,泰山區,80,39602,81.86
15786,2023-02-06,新北市,泰山區,83,39522,86.71
16168,2023-02-05,新北市,泰山區,70,39439,92.71
16536,2023-02-04,新北市,泰山區,79,39369,93.57
16915,2023-02-03,新北市,泰山區,72,39290,101.14
17301,2023-02-02,新北市,泰山區,98,39218,105.71
17684,2023-02-01,新北市,泰山區,91,39120,107.43
