UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
95,2023-06-14,新北市,淡水區,81,98838,11.57
365,2023-03-24,新北市,淡水區,1,98757,23.14
484,2023-03-21,新北市,淡水區,4,98756,57.43
623,2023-03-20,新北市,淡水區,27,98752,71.57
907,2023-03-19,新北市,淡水區,53,98725,80.57
1235,2023-03-18,新北市,淡水區,77,98672,80.00
1575,2023-03-17,新北市,淡水區,72,98595,79.29
1927,2023-03-16,新北市,淡水區,84,98523,80.86
2280,2023-03-15,新北市,淡水區,85,98439,80.43
2631,2023-03-14,新北市,淡水區,103,98354,81.00
2988,2023-03-13,新北市,淡水區,90,98251,83.14
3347,2023-03-12,新北市,淡水區,49,98161,84.86
3692,2023-03-11,新北市,淡水區,72,98112,89.14
4045,2023-03-10,新北市,淡水區,83,98040,93.57
4400,2023-03-09,新北市,淡水區,81,97957,97.43
4759,2023-03-08,新北市,淡水區,89,97876,108.57
5113,2023-03-07,新北市,淡水區,118,97787,114.86
5472,2023-03-06,新北市,淡水區,102,97669,114.57
5837,2023-03-05,新北市,淡水區,79,97567,111.71
6176,2023-03-04,新北市,淡水區,103,97488,112.86
6528,2023-03-03,新北市,淡水區,110,97385,119.29
6887,2023-03-02,新北市,淡水區,159,97275,124.86
7251,2023-03-01,新北市,淡水區,133,97116,122.29
7622,2023-02-28,新北市,淡水區,116,96983,125.14
7985,2023-02-27,新北市,淡水區,82,96867,133.14
8344,2023-02-26,新北市,淡水區,87,96785,148.29
8689,2023-02-25,新北市,淡水區,148,96698,149.00
9059,2023-02-24,新北市,淡水區,149,96550,151.86
9420,2023-02-23,新北市,淡水區,141,96401,149.57
9790,2023-02-22,新北市,淡水區,153,96260,151.71
10165,2023-02-21,新北市,淡水區,172,96107,154.00
10534,2023-02-20,新北市,淡水區,188,95935,158.14
10914,2023-02-19,新北市,淡水區,92,95747,164.57
11272,2023-02-18,新北市,淡水區,168,95655,167.29
11639,2023-02-17,新北市,淡水區,133,95487,167.71
12011,2023-02-16,新北市,淡水區,156,95354,175.43
12386,2023-02-15,新北市,淡水區,169,95198,185.00
12759,2023-02-14,新北市,淡水區,201,95029,190.43
13131,2023-02-13,新北市,淡水區,233,94828,191.86
13510,2023-02-12,新北市,淡水區,111,94595,193.29
13867,2023-02-11,新北市,淡水區,171,94484,202.29
14239,2023-02-10,新北市,淡水區,187,94313,212.71
