UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
172,2023-06-14,新北市,深坑區,35-39,1104
173,2023-06-14,新北市,深坑區,60-64,765
174,2023-03-20,新北市,深坑區,40-44,1229
175,2023-03-20,新北市,深坑區,30-34,1142
176,2023-03-20,新北市,深坑區,50-54,1014
177,2023-03-20,新北市,深坑區,4,131
178,2023-03-19,新北市,深坑區,25-29,1324
179,2023-03-19,新北市,深坑區,20-24,1249
180,2023-03-19,新北市,深坑區,70+,984
181,2023-03-18,新北市,深坑區,45-49,1028
182,2023-03-15,新北市,深坑區,15-19,802
183,2023-03-14,新北市,深坑區,1,116
184,2023-03-14,新北市,深坑區,65-69,594
185,2023-03-13,新北市,深坑區,10-14,622
186,2023-03-13,新北市,深坑區,3,111
187,2023-03-12,新北市,深坑區,55-59,925
188,2023-03-11,新北市,深坑區,5-9,653
189,2023-03-07,新北市,深坑區,2,106
190,2023-02-28,新北市,深坑區,0,82
