UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1416,2023-03-18,新北市,烏來區,2,1548,1.43
1761,2023-03-17,新北市,烏來區,3,1546,1.29
2466,2023-03-15,新北市,烏來區,2,1543,0.86
2816,2023-03-14,新北市,烏來區,2,1541,0.57
3174,2023-03-13,新北市,烏來區,1,1539,0.29
3880,2023-03-11,新北市,烏來區,1,1538,0.29
6019,2023-03-05,新北市,烏來區,1,1537,0.43
6714,2023-03-03,新北市,烏來區,1,1536,0.71
7075,2023-03-02,新北市,烏來區,1,1535,1.00
8879,2023-02-25,新北市,烏來區,3,1534,1.43
9247,2023-02-24,新北市,烏來區,3,1531,1.29
9610,2023-02-23,新北市,烏來區,1,1528,0.86
9980,2023-02-22,新北市,烏來區,1,1527,0.86
10725,2023-02-20,新北市,烏來區,2,1526,0.86
11462,2023-02-18,新北市,烏來區,2,1524,0.86
12202,2023-02-16,新北市,烏來區,1,1522,1.00
12950,2023-02-14,新北市,烏來區,1,1521,1.29
13699,2023-02-12,新北市,烏來區,2,1520,1.71
14058,2023-02-11,新北市,烏來區,2,1518,1.43
14427,2023-02-10,新北市,烏來區,1,1516,1.43
14802,2023-02-09,新北市,烏來區,2,1515,1.29
15181,2023-02-08,新北市,烏來區,1,1513,1.14
15938,2023-02-06,新北市,烏來區,4,1512,1.43
16688,2023-02-04,新北市,烏來區,2,1508,1.57
17453,2023-02-02,新北市,烏來區,1,1506,1.86
18214,2023-01-31,新北市,烏來區,3,1505,2.14
18599,2023-01-30,新北市,烏來區,4,1502,1.71
18985,2023-01-29,新北市,烏來區,1,1498,1.14
19363,2023-01-28,新北市,烏來區,3,1497,1.29
19739,2023-01-27,新北市,烏來區,1,1494,1.00
20120,2023-01-26,新北市,烏來區,2,1493,1.14
20492,2023-01-25,新北市,烏來區,1,1491,1.43
21602,2023-01-22,新北市,烏來區,2,1490,1.86
21968,2023-01-21,新北市,烏來區,1,1488,1.86
22341,2023-01-20,新北市,烏來區,2,1487,1.71
22706,2023-01-19,新北市,烏來區,4,1485,1.43
23079,2023-01-18,新北市,烏來區,3,1481,1.00
23812,2023-01-16,新北市,烏來區,1,1478,1.00
24190,2023-01-15,新北市,烏來區,2,1477,1.14
25291,2023-01-12,新北市,烏來區,1,1475,1.43
25665,2023-01-11,新北市,烏來區,2,1474,1.57
26041,2023-01-10,新北市,烏來區,1,1472,1.71
26414,2023-01-09,新北市,烏來區,2,1471,2.00
26788,2023-01-08,新北市,烏來區,1,1469,1.86
27149,2023-01-07,新北市,烏來區,1,1468,2.00
27522,2023-01-06,新北市,烏來區,2,1467,2.00
27899,2023-01-05,新北市,烏來區,2,1465,3.00
28277,2023-01-04,新北市,烏來區,3,1463,4.00
28659,2023-01-03,新北市,烏來區,3,1460,4.14
29039,2023-01-02,新北市,烏來區,1,1457,4.57
29413,2023-01-01,新北市,烏來區,2,1456,5.29
29773,2022-12-31,新北市,烏來區,1,1454,5.29
30139,2022-12-30,新北市,烏來區,9,1453,5.43
30513,2022-12-29,新北市,烏來區,9,1444,4.71
30885,2022-12-28,新北市,烏來區,4,1435,4.14
31254,2022-12-27,新北市,烏來區,6,1431,3.86
31629,2022-12-26,新北市,烏來區,6,1425,3.57
31998,2022-12-25,新北市,烏來區,2,1419,3.57
32356,2022-12-24,新北市,烏來區,2,1417,3.29
32715,2022-12-23,新北市,烏來區,4,1415,3.43
33082,2022-12-22,新北市,烏來區,5,1411,3.86
33447,2022-12-21,新北市,烏來區,2,1406,3.71
33815,2022-12-20,新北市,烏來區,4,1404,3.71
34180,2022-12-19,新北市,烏來區,6,1400,4.43
34899,2022-12-17,新北市,烏來區,3,1394,4.86
35260,2022-12-16,新北市,烏來區,7,1391,4.71
35623,2022-12-15,新北市,烏來區,4,1384,4.14
35993,2022-12-14,新北市,烏來區,2,1380,3.86
36353,2022-12-13,新北市,烏來區,9,1378,4.00
36731,2022-12-12,新北市,烏來區,8,1369,2.71
37095,2022-12-11,新北市,烏來區,1,1361,1.71
37453,2022-12-10,新北市,烏來區,2,1360,1.57
37820,2022-12-09,新北市,烏來區,3,1358,1.43
38187,2022-12-08,新北市,烏來區,2,1355,1.00
38560,2022-12-07,新北市,烏來區,3,1353,0.71
39303,2022-12-05,新北市,烏來區,1,1350,0.57
40046,2022-12-03,新北市,烏來區,1,1349,0.57
41154,2022-11-30,新北市,烏來區,1,1348,0.86
41527,2022-11-29,新北市,烏來區,1,1347,0.71
42284,2022-11-27,新北市,烏來區,1,1346,0.71
42639,2022-11-26,新北市,烏來區,1,1345,0.71
43001,2022-11-25,新北市,烏來區,1,1344,0.71
43370,2022-11-24,新北市,烏來區,1,1343,1.14
44489,2022-11-21,新北市,烏來區,1,1342,1.14
44868,2022-11-20,新北市,烏來區,1,1341,1.57
45235,2022-11-19,新北市,烏來區,1,1340,1.43
45606,2022-11-18,新北市,烏來區,4,1339,1.57
