UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1060,2023-03-06,新北市,瑞芳區,1,44,0.14
1494,2023-02-26,新北市,瑞芳區,1,43,0.14
2521,2023-02-09,新北市,瑞芳區,1,42,0.14
3374,2023-01-26,新北市,瑞芳區,2,41,0.29
4788,2022-12-29,新北市,瑞芳區,1,39,0.14
5056,2022-12-22,新北市,瑞芳區,1,38,0.14
6838,2022-11-10,新北市,瑞芳區,1,37,0.29
7197,2022-11-04,新北市,瑞芳區,1,36,0.29
7558,2022-10-29,新北市,瑞芳區,1,35,0.14
8197,2022-10-20,新北市,瑞芳區,1,34,0.43
8274,2022-10-19,新北市,瑞芳區,1,33,0.29
8551,2022-10-15,新北市,瑞芳區,1,32,0.14
9858,2022-09-25,新北市,瑞芳區,1,31,0.57
9971,2022-09-23,新北市,瑞芳區,2,30,0.43
10157,2022-09-20,新北市,瑞芳區,1,28,0.14
10682,2022-09-10,新北市,瑞芳區,1,27,0.14
11156,2022-08-30,新北市,瑞芳區,1,26,0.29
11251,2022-08-28,新北市,瑞芳區,1,25,0.14
12154,2022-08-04,新北市,瑞芳區,1,24,0.14
12508,2022-07-28,新北市,瑞芳區,1,23,0.14
14656,2022-06-28,新北市,瑞芳區,1,22,0.29
14751,2022-06-27,新北市,瑞芳區,1,21,0.14
15831,2022-06-17,新北市,瑞芳區,1,20,0.14
16722,2022-06-10,新北市,瑞芳區,2,19,0.71
17083,2022-06-07,新北市,瑞芳區,1,17,0.43
17333,2022-06-05,新北市,瑞芳區,1,16,0.29
17444,2022-06-04,新北市,瑞芳區,1,15,0.14
18400,2022-05-27,新北市,瑞芳區,1,14,0.57
18495,2022-05-26,新北市,瑞芳區,1,13,0.71
18871,2022-05-22,新北市,瑞芳區,2,12,1.14
19042,2022-05-20,新北市,瑞芳區,2,10,0.86
19116,2022-05-19,新北市,瑞芳區,1,8,0.57
19254,2022-05-17,新北市,瑞芳區,2,7,0.43
19316,2022-05-16,新北市,瑞芳區,1,5,0.14
19700,2022-05-07,新北市,瑞芳區,1,4,0.14
20408,2021-06-14,新北市,瑞芳區,1,3,0.29
20430,2021-06-13,新北市,瑞芳區,1,2,0.14
20725,2021-05-29,新北市,瑞芳區,1,1,0.14
