UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
10,2023-09-17,新北市,全區,88.60,84.40,0.50,73.10,21.70,0.00,0.00,0.00
11,2023-09-17,新北市,6個月-4歲,40.20,24.70,3.80,0.50,0.00,0.00,0.00,0.00
12,2023-09-17,新北市,5-11歲,78.70,59.50,0.50,24.30,0.20,0.00,0.00,0.00
13,2023-09-17,新北市,12-17歲,92.40,84.20,0.10,61.10,4.40,0.00,0.00,0.00
14,2023-09-17,新北市,18-29歲,94.60,91.50,0.20,78.40,11.30,0.00,0.00,0.00
15,2023-09-17,新北市,30-49歲,92.60,90.00,0.40,81.50,20.40,0.00,0.00,0.00
16,2023-09-17,新北市,50-64歲,89.80,87.50,0.50,80.00,27.00,0.00,0.00,0.00
17,2023-09-17,新北市,65-74歲,88.60,86.50,0.70,80.90,42.00,11.90,0.00,0.00
18,2023-09-17,新北市,75歲以上,82.10,79.00,0.80,72.10,39.50,10.60,0.00,0.00
265,2023-09-10,新北市,全區,88.60,84.40,0.50,73.10,21.70,0.00,0.00,0.00
266,2023-09-10,新北市,6個月-4歲,40.50,24.90,3.80,0.50,0.00,0.00,0.00,0.00
267,2023-09-10,新北市,5-11歲,78.80,59.60,0.40,24.40,0.20,0.00,0.00,0.00
268,2023-09-10,新北市,12-17歲,92.40,84.20,0.10,61.20,4.40,0.00,0.00,0.00
269,2023-09-10,新北市,18-29歲,94.70,91.60,0.20,78.50,11.30,0.00,0.00,0.00
270,2023-09-10,新北市,30-49歲,92.60,90.00,0.40,81.40,20.40,0.00,0.00,0.00
271,2023-09-10,新北市,50-64歲,89.80,87.50,0.50,80.00,27.00,0.00,0.00,0.00
272,2023-09-10,新北市,65-74歲,88.50,86.40,0.70,80.80,42.00,11.80,0.00,0.00
273,2023-09-10,新北市,75歲以上,82.00,78.90,0.80,71.90,39.40,10.60,0.00,0.00
520,2023-09-03,新北市,全區,88.60,84.40,0.50,73.10,21.70,0.00,0.00,0.00
521,2023-09-03,新北市,6個月-4歲,40.70,25.00,3.90,0.50,0.00,0.00,0.00,0.00
522,2023-09-03,新北市,5-11歲,78.90,59.80,0.40,24.50,0.20,0.00,0.00,0.00
523,2023-09-03,新北市,12-17歲,92.40,84.20,0.10,61.30,4.50,0.00,0.00,0.00
524,2023-09-03,新北市,18-29歲,94.70,91.60,0.20,78.50,11.30,0.00,0.00,0.00
525,2023-09-03,新北市,30-49歲,92.50,90.00,0.40,81.40,20.40,0.00,0.00,0.00
526,2023-09-03,新北市,50-64歲,89.80,87.50,0.50,80.00,27.00,0.00,0.00,0.00
527,2023-09-03,新北市,65-74歲,88.40,86.30,0.70,80.80,42.00,11.80,0.00,0.00
528,2023-09-03,新北市,75歲以上,81.90,78.80,0.80,71.80,39.40,10.60,0.00,0.00
775,2023-08-27,新北市,全區,88.60,84.40,0.50,73.10,21.70,0.00,0.00,0.00
776,2023-08-27,新北市,6個月-4歲,41.00,25.20,3.90,0.50,0.00,0.00,0.00,0.00
777,2023-08-27,新北市,5-11歲,79.00,59.90,0.40,24.50,0.20,0.00,0.00,0.00
778,2023-08-27,新北市,12-17歲,92.30,84.20,0.10,61.40,4.50,0.00,0.00,0.00
779,2023-08-27,新北市,18-29歲,94.80,91.70,0.20,78.60,11.40,0.00,0.00,0.00
780,2023-08-27,新北市,30-49歲,92.60,90.00,0.40,81.40,20.40,0.00,0.00,0.00
781,2023-08-27,新北市,50-64歲,89.80,87.50,0.50,80.00,27.00,0.00,0.00,0.00
782,2023-08-27,新北市,65-74歲,88.30,86.20,0.70,80.70,42.00,11.80,0.00,0.00
783,2023-08-27,新北市,75歲以上,81.70,78.60,0.80,71.70,39.30,10.60,0.00,0.00
1030,2023-08-20,新北市,全區,88.70,84.50,0.50,73.20,21.70,0.00,0.00,0.00
1031,2023-08-20,新北市,6個月-4歲,41.10,25.20,3.90,0.50,0.00,0.00,0.00,0.00
1032,2023-08-20,新北市,5-11歲,79.50,60.30,0.40,24.70,0.20,0.00,0.00,0.00
1033,2023-08-20,新北市,12-17歲,93.00,84.90,0.10,61.90,4.50,0.00,0.00,0.00
1034,2023-08-20,新北市,18-29歲,94.70,91.60,0.20,78.50,11.40,0.00,0.00,0.00
1035,2023-08-20,新北市,30-49歲,92.60,90.10,0.40,81.50,20.40,0.00,0.00,0.00
1036,2023-08-20,新北市,50-64歲,89.90,87.50,0.50,80.10,27.00,0.00,0.00,0.00
1037,2023-08-20,新北市,65-74歲,88.60,86.50,0.70,80.90,42.10,11.80,0.00,0.00
1038,2023-08-20,新北市,75歲以上,81.90,78.80,0.80,71.80,39.30,10.60,0.00,0.00
1285,2023-08-13,新北市,全區,88.70,84.50,0.50,73.30,21.70,0.00,0.00,0.00
1286,2023-08-13,新北市,6個月-4歲,41.30,25.30,3.90,0.50,0.00,0.00,0.00,0.00
1287,2023-08-13,新北市,5-11歲,79.60,60.40,0.40,24.80,0.20,0.00,0.00,0.00
1288,2023-08-13,新北市,12-17歲,93.00,84.90,0.10,62.10,4.50,0.00,0.00,0.00
1289,2023-08-13,新北市,18-29歲,94.80,91.70,0.20,78.60,11.40,0.00,0.00,0.00
1290,2023-08-13,新北市,30-49歲,92.60,90.10,0.40,81.50,20.40,0.00,0.00,0.00
1291,2023-08-13,新北市,50-64歲,89.90,87.50,0.50,80.10,27.00,0.00,0.00,0.00
1292,2023-08-13,新北市,65-74歲,88.50,86.40,0.70,80.90,42.00,11.70,0.00,0.00
1293,2023-08-13,新北市,75歲以上,81.80,78.60,0.80,71.70,39.20,10.50,0.00,0.00
1540,2023-08-06,新北市,全區,88.70,84.50,0.50,73.30,21.70,0.00,0.00,0.00
1541,2023-08-06,新北市,6個月-4歲,41.60,25.50,3.90,0.40,0.00,0.00,0.00,0.00
1542,2023-08-06,新北市,5-11歲,79.70,60.50,0.40,24.90,0.20,0.00,0.00,0.00
1543,2023-08-06,新北市,12-17歲,92.90,84.90,0.10,62.20,4.50,0.00,0.00,0.00
1544,2023-08-06,新北市,18-29歲,94.90,91.70,0.20,78.70,11.40,0.00,0.00,0.00
1545,2023-08-06,新北市,30-49歲,92.60,90.10,0.40,81.50,20.40,0.00,0.00,0.00
1546,2023-08-06,新北市,50-64歲,89.90,87.50,0.50,80.10,27.00,0.00,0.00,0.00
1547,2023-08-06,新北市,65-74歲,88.40,86.30,0.70,80.80,42.00,11.70,0.00,0.00
1548,2023-08-06,新北市,75歲以上,81.70,78.50,0.80,71.60,39.20,10.50,0.00,0.00
1795,2023-07-30,新北市,全區,88.70,84.50,0.50,73.30,21.70,0.00,0.00,0.00
1796,2023-07-30,新北市,6個月-4歲,41.80,25.60,3.90,0.40,0.00,0.00,0.00,0.00
1797,2023-07-30,新北市,5-11歲,79.80,60.60,0.40,25.00,0.20,0.00,0.00,0.00
1798,2023-07-30,新北市,12-17歲,93.00,85.00,0.10,62.30,4.50,0.00,0.00,0.00
1799,2023-07-30,新北市,18-29歲,94.90,91.80,0.20,78.80,11.40,0.00,0.00,0.00
1800,2023-07-30,新北市,30-49歲,92.60,90.10,0.40,81.50,20.40,0.00,0.00,0.00
1801,2023-07-30,新北市,50-64歲,89.90,87.50,0.50,80.10,27.10,0.00,0.00,0.00
1802,2023-07-30,新北市,65-74歲,88.30,86.20,0.70,80.70,42.00,11.70,0.00,0.00
1803,2023-07-30,新北市,75歲以上,81.50,78.40,0.80,71.40,39.10,10.50,0.00,0.00
2050,2023-07-23,新北市,全區,88.70,84.50,0.50,73.30,21.70,0.00,0.00,0.00
2051,2023-07-23,新北市,6個月-4歲,42.10,25.70,3.90,0.40,0.00,0.00,0.00,0.00
2052,2023-07-23,新北市,5-11歲,79.90,60.70,0.40,25.00,0.20,0.00,0.00,0.00
2053,2023-07-23,新北市,12-17歲,93.00,85.10,0.10,62.40,4.50,0.00,0.00,0.00
2054,2023-07-23,新北市,18-29歲,95.00,91.90,0.20,78.80,11.40,0.00,0.00,0.00
2055,2023-07-23,新北市,30-49歲,92.60,90.10,0.40,81.50,20.40,0.00,0.00,0.00
2056,2023-07-23,新北市,50-64歲,89.90,87.50,0.50,80.10,27.10,0.00,0.00,0.00
2057,2023-07-23,新北市,65-74歲,88.20,86.10,0.70,80.60,41.90,11.60,0.00,0.00
2058,2023-07-23,新北市,75歲以上,81.50,78.30,0.80,71.30,39.00,10.40,0.00,0.00
2305,2023-07-16,新北市,全區,88.80,84.60,0.50,73.30,21.70,0.00,0.00,0.00
2306,2023-07-16,新北市,6個月-4歲,42.20,25.80,3.90,0.40,0.00,0.00,0.00,0.00
2307,2023-07-16,新北市,5-11歲,80.00,60.90,0.40,25.10,0.20,0.00,0.00,0.00
2308,2023-07-16,新北市,12-17歲,93.10,85.20,0.10,62.60,4.60,0.00,0.00,0.00
2309,2023-07-16,新北市,18-29歲,94.80,91.70,0.20,78.70,11.40,0.00,0.00,0.00
2310,2023-07-16,新北市,30-49歲,92.70,90.20,0.40,81.60,20.40,0.00,0.00,0.00
2311,2023-07-16,新北市,50-64歲,90.00,87.60,0.50,80.20,27.10,0.00,0.00,0.00
2312,2023-07-16,新北市,65-74歲,88.50,86.40,0.70,80.90,42.10,11.70,0.00,0.00
2313,2023-07-16,新北市,75歲以上,81.70,78.50,0.90,71.50,39.10,10.50,0.00,0.00
2560,2023-07-09,新北市,全區,88.80,84.60,0.50,73.30,21.70,0.00,0.00,0.00
2561,2023-07-09,新北市,6個月-4歲,42.40,25.80,3.90,0.40,0.00,0.00,0.00,0.00
2562,2023-07-09,新北市,5-11歲,80.10,60.90,0.40,25.20,0.20,0.00,0.00,0.00
2563,2023-07-09,新北市,12-17歲,93.20,85.30,0.10,62.70,4.60,0.00,0.00,0.00
2564,2023-07-09,新北市,18-29歲,94.90,91.80,0.20,78.70,11.40,0.00,0.00,0.00
