UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1282,2023-03-18,新北市,石碇區,1,1744,1.29
1974,2023-03-16,新北市,石碇區,4,1743,1.43
2327,2023-03-15,新北市,石碇區,3,1739,1.14
3035,2023-03-13,新北市,石碇區,1,1736,0.86
3739,2023-03-11,新北市,石碇區,2,1735,1.57
4447,2023-03-09,新北市,石碇區,2,1733,1.86
4806,2023-03-08,新北市,石碇區,1,1731,2.57
5519,2023-03-06,新北市,石碇區,6,1730,3.14
6575,2023-03-03,新北市,石碇區,4,1724,2.57
6934,2023-03-02,新北市,石碇區,7,1720,2.00
7298,2023-03-01,新北市,石碇區,3,1713,1.00
7669,2023-02-28,新北市,石碇區,2,1710,0.71
8032,2023-02-27,新北市,石碇區,1,1708,0.43
8391,2023-02-26,新北市,石碇區,1,1707,0.71
9837,2023-02-22,新北市,石碇區,1,1706,1.86
10581,2023-02-20,新北市,石碇區,3,1705,2.57
11319,2023-02-18,新北市,石碇區,2,1702,2.86
12058,2023-02-16,新北市,石碇區,7,1700,3.29
12433,2023-02-15,新北市,石碇區,4,1693,2.29
12806,2023-02-14,新北市,石碇區,2,1689,2.00
13178,2023-02-13,新北市,石碇區,5,1687,2.29
13914,2023-02-11,新北市,石碇區,2,1682,1.86
14286,2023-02-10,新北市,石碇區,3,1680,1.86
15036,2023-02-08,新北市,石碇區,2,1677,2.00
15415,2023-02-07,新北市,石碇區,4,1675,3.29
15794,2023-02-06,新北市,石碇區,2,1671,3.14
16544,2023-02-04,新北市,石碇區,2,1669,4.14
16923,2023-02-03,新北市,石碇區,3,1667,4.71
17309,2023-02-02,新北市,石碇區,1,1664,5.00
17692,2023-02-01,新北市,石碇區,11,1663,5.71
18069,2023-01-31,新北市,石碇區,3,1652,4.86
18454,2023-01-30,新北市,石碇區,8,1649,5.29
18843,2023-01-29,新北市,石碇區,1,1641,4.57
19219,2023-01-28,新北市,石碇區,6,1640,4.57
19598,2023-01-27,新北市,石碇區,5,1634,4.71
19976,2023-01-26,新北市,石碇區,6,1629,4.14
20353,2023-01-25,新北市,石碇區,5,1623,4.43
20718,2023-01-24,新北市,石碇區,6,1618,4.00
21093,2023-01-23,新北市,石碇區,3,1612,3.14
21460,2023-01-22,新北市,石碇區,1,1609,2.86
21824,2023-01-21,新北市,石碇區,7,1608,3.43
22196,2023-01-20,新北市,石碇區,1,1601,2.43
22563,2023-01-19,新北市,石碇區,8,1600,2.86
22934,2023-01-18,新北市,石碇區,2,1592,1.86
23670,2023-01-16,新北市,石碇區,1,1590,2.14
24046,2023-01-15,新北市,石碇區,5,1589,2.57
24781,2023-01-13,新北市,石碇區,4,1584,1.86
25149,2023-01-12,新北市,石碇區,1,1580,2.00
25524,2023-01-11,新北市,石碇區,1,1579,3.00
25900,2023-01-10,新北市,石碇區,3,1578,3.14
26272,2023-01-09,新北市,石碇區,4,1575,4.14
27379,2023-01-06,新北市,石碇區,5,1571,4.71
27755,2023-01-05,新北市,石碇區,8,1566,4.71
28135,2023-01-04,新北市,石碇區,2,1558,4.57
28516,2023-01-03,新北市,石碇區,10,1556,4.29
29269,2023-01-01,新北市,石碇區,1,1546,5.00
29631,2022-12-31,新北市,石碇區,7,1545,5.43
29997,2022-12-30,新北市,石碇區,5,1538,5.14
30369,2022-12-29,新北市,石碇區,7,1533,5.00
31112,2022-12-27,新北市,石碇區,7,1526,5.43
31489,2022-12-26,新北市,石碇區,8,1519,4.57
31861,2022-12-25,新北市,石碇區,4,1511,4.43
32215,2022-12-24,新北市,石碇區,5,1507,4.29
32575,2022-12-23,新北市,石碇區,4,1502,3.71
32939,2022-12-22,新北市,石碇區,2,1498,3.29
33306,2022-12-21,新北市,石碇區,8,1496,3.29
33676,2022-12-20,新北市,石碇區,1,1488,2.43
34039,2022-12-19,新北市,石碇區,7,1487,2.71
34410,2022-12-18,新北市,石碇區,3,1480,2.14
34758,2022-12-17,新北市,石碇區,1,1477,1.86
35118,2022-12-16,新北市,石碇區,1,1476,2.14
35483,2022-12-15,新北市,石碇區,2,1475,2.43
35854,2022-12-14,新北市,石碇區,2,1473,2.57
36213,2022-12-13,新北市,石碇區,3,1471,2.71
36587,2022-12-12,新北市,石碇區,3,1468,3.00
36958,2022-12-11,新北市,石碇區,1,1465,2.86
37310,2022-12-10,新北市,石碇區,3,1464,3.29
37679,2022-12-09,新北市,石碇區,3,1461,2.86
38044,2022-12-08,新北市,石碇區,3,1458,2.86
38417,2022-12-07,新北市,石碇區,3,1455,2.43
38788,2022-12-06,新北市,石碇區,5,1452,2.43
39160,2022-12-05,新北市,石碇區,2,1447,1.86
39538,2022-12-04,新北市,石碇區,4,1445,1.71
40273,2022-12-02,新北市,石碇區,3,1441,1.14
41012,2022-11-30,新北市,石碇區,3,1438,1.29
41383,2022-11-29,新北市,石碇區,1,1435,1.14
41763,2022-11-28,新北市,石碇區,1,1434,1.00
42857,2022-11-25,新北市,石碇區,2,1433,1.43
43229,2022-11-24,新北市,石碇區,2,1431,1.57
43599,2022-11-23,新北市,石碇區,2,1429,1.57
44344,2022-11-21,新北市,石碇區,3,1427,2.29
45090,2022-11-19,新北市,石碇區,1,1424,2.86
45464,2022-11-18,新北市,石碇區,3,1423,2.86
45836,2022-11-17,新北市,石碇區,2,1420,2.43
46209,2022-11-16,新北市,石碇區,4,1418,2.29
46589,2022-11-15,新北市,石碇區,3,1414,1.71
46970,2022-11-14,新北市,石碇區,2,1411,1.71
47351,2022-11-13,新北市,石碇區,5,1409,1.71
47721,2022-11-12,新北市,石碇區,1,1404,1.14
48477,2022-11-10,新北市,石碇區,1,1403,1.57
49243,2022-11-08,新北市,石碇區,3,1402,2.29
49628,2022-11-07,新北市,石碇區,2,1399,2.71
50013,2022-11-06,新北市,石碇區,1,1397,2.86
50382,2022-11-05,新北市,石碇區,2,1396,3.14
50757,2022-11-04,新北市,石碇區,2,1394,3.29
51143,2022-11-03,新北市,石碇區,1,1392,3.29
51523,2022-11-02,新北市,石碇區,5,1391,4.43
51909,2022-11-01,新北市,石碇區,6,1386,4.14
52294,2022-10-31,新北市,石碇區,3,1380,4.29
52677,2022-10-30,新北市,石碇區,3,1377,4.57
53056,2022-10-29,新北市,石碇區,3,1374,4.57
53435,2022-10-28,新北市,石碇區,2,1371,5.29
53822,2022-10-27,新北市,石碇區,9,1369,5.14
54209,2022-10-26,新北市,石碇區,3,1360,4.43
54593,2022-10-25,新北市,石碇區,7,1357,5.14
54982,2022-10-24,新北市,石碇區,5,1350,5.29
55372,2022-10-23,新北市,石碇區,3,1345,5.29
55749,2022-10-22,新北市,石碇區,8,1342,5.29
56134,2022-10-21,新北市,石碇區,1,1334,5.14
56524,2022-10-20,新北市,石碇區,4,1333,6.86
56909,2022-10-19,新北市,石碇區,8,1329,7.86
57296,2022-10-18,新北市,石碇區,8,1321,8.57
57686,2022-10-17,新北市,石碇區,5,1313,9.29
58076,2022-10-16,新北市,石碇區,3,1308,9.43
58460,2022-10-15,新北市,石碇區,7,1305,9.57
58845,2022-10-14,新北市,石碇區,13,1298,10.57
59235,2022-10-13,新北市,石碇區,11,1285,9.86
59626,2022-10-12,新北市,石碇區,13,1274,10.00
60015,2022-10-11,新北市,石碇區,13,1261,9.43
60407,2022-10-10,新北市,石碇區,6,1248,9.57
60791,2022-10-09,新北市,石碇區,4,1242,11.00
61178,2022-10-08,新北市,石碇區,14,1238,11.00
61567,2022-10-07,新北市,石碇區,8,1224,10.57
61954,2022-10-06,新北市,石碇區,12,1216,10.71
62345,2022-10-05,新北市,石碇區,9,1204,9.86
62732,2022-10-04,新北市,石碇區,14,1195,9.71
63120,2022-10-03,新北市,石碇區,16,1181,8.57
63511,2022-10-02,新北市,石碇區,4,1165,7.14
63893,2022-10-01,新北市,石碇區,11,1161,7.29
64279,2022-09-30,新北市,石碇區,9,1150,6.29
64663,2022-09-29,新北市,石碇區,6,1141,5.29
65051,2022-09-28,新北市,石碇區,8,1135,5.29
65439,2022-09-27,新北市,石碇區,6,1127,4.71
65826,2022-09-26,新北市,石碇區,6,1121,5.29
66215,2022-09-25,新北市,石碇區,5,1115,5.57
66598,2022-09-24,新北市,石碇區,4,1110,5.00
66981,2022-09-23,新北市,石碇區,2,1106,5.29
67370,2022-09-22,新北市,石碇區,6,1104,6.00
67757,2022-09-21,新北市,石碇區,4,1098,5.43
68146,2022-09-20,新北市,石碇區,10,1094,5.57
68536,2022-09-19,新北市,石碇區,8,1084,5.00
68927,2022-09-18,新北市,石碇區,1,1076,5.14
69309,2022-09-17,新北市,石碇區,6,1075,5.43
69697,2022-09-16,新北市,石碇區,7,1069,4.86
70082,2022-09-15,新北市,石碇區,2,1062,4.43
70469,2022-09-14,新北市,石碇區,5,1060,4.29
70854,2022-09-13,新北市,石碇區,6,1055,4.57
71243,2022-09-12,新北市,石碇區,9,1049,4.57
71633,2022-09-11,新北市,石碇區,3,1040,3.71
72015,2022-09-10,新北市,石碇區,2,1037,3.57
72397,2022-09-09,新北市,石碇區,4,1035,4.14
72779,2022-09-08,新北市,石碇區,1,1031,5.00
73166,2022-09-07,新北市,石碇區,7,1030,5.86
73550,2022-09-06,新北市,石碇區,6,1023,6.43
73936,2022-09-05,新北市,石碇區,3,1017,7.29
74323,2022-09-04,新北市,石碇區,2,1014,8.43
74705,2022-09-03,新北市,石碇區,6,1012,8.86
75092,2022-09-02,新北市,石碇區,10,1006,8.71
75478,2022-09-01,新北市,石碇區,7,996,7.71
75867,2022-08-31,新北市,石碇區,11,989,7.00
76254,2022-08-30,新北市,石碇區,12,978,5.71
76642,2022-08-29,新北市,石碇區,11,966,4.14
77032,2022-08-28,新北市,石碇區,5,955,3.00
77413,2022-08-27,新北市,石碇區,5,950,2.43
77800,2022-08-26,新北市,石碇區,3,945,2.00
78185,2022-08-25,新北市,石碇區,2,942,2.00
78571,2022-08-24,新北市,石碇區,2,940,2.29
78958,2022-08-23,新北市,石碇區,1,938,2.86
79341,2022-08-22,新北市,石碇區,3,937,3.57
79731,2022-08-21,新北市,石碇區,1,934,3.71
80106,2022-08-20,新北市,石碇區,2,933,3.86
80491,2022-08-19,新北市,石碇區,3,931,4.43
80875,2022-08-18,新北市,石碇區,4,928,4.43
81264,2022-08-17,新北市,石碇區,6,924,4.43
81649,2022-08-16,新北市,石碇區,6,918,3.71
82036,2022-08-15,新北市,石碇區,4,912,3.00
82423,2022-08-14,新北市,石碇區,2,908,2.86
82800,2022-08-13,新北市,石碇區,6,906,2.71
83179,2022-08-12,新北市,石碇區,3,900,2.14
83565,2022-08-11,新北市,石碇區,4,897,2.00
83951,2022-08-10,新北市,石碇區,1,893,2.00
84337,2022-08-09,新北市,石碇區,1,892,2.00
84719,2022-08-08,新北市,石碇區,3,891,2.14
85104,2022-08-07,新北市,石碇區,1,888,2.29
85477,2022-08-06,新北市,石碇區,2,887,2.71
85856,2022-08-05,新北市,石碇區,2,885,2.86
86243,2022-08-04,新北市,石碇區,4,883,4.14
86628,2022-08-03,新北市,石碇區,1,879,4.14
87011,2022-08-02,新北市,石碇區,2,878,4.29
87396,2022-08-01,新北市,石碇區,4,876,4.57
87784,2022-07-31,新北市,石碇區,4,872,4.57
88160,2022-07-30,新北市,石碇區,3,868,4.71
88539,2022-07-29,新北市,石碇區,11,865,4.29
88923,2022-07-28,新北市,石碇區,4,854,3.00
89309,2022-07-27,新北市,石碇區,2,850,3.43
89700,2022-07-26,新北市,石碇區,4,848,4.43
90087,2022-07-25,新北市,石碇區,4,844,4.00
90471,2022-07-24,新北市,石碇區,5,840,3.86
91233,2022-07-22,新北市,石碇區,2,835,4.14
91619,2022-07-21,新北市,石碇區,7,833,4.71
92003,2022-07-20,新北市,石碇區,9,826,4.00
92390,2022-07-19,新北市,石碇區,1,817,3.14
92778,2022-07-18,新北市,石碇區,3,816,3.43
93167,2022-07-17,新北市,石碇區,1,813,5.00
93545,2022-07-16,新北市,石碇區,6,812,5.00
93932,2022-07-15,新北市,石碇區,6,806,6.43
94319,2022-07-14,新北市,石碇區,2,800,6.57
94707,2022-07-13,新北市,石碇區,3,798,7.43
95096,2022-07-12,新北市,石碇區,3,795,7.57
95484,2022-07-11,新北市,石碇區,14,792,8.43
95872,2022-07-10,新北市,石碇區,1,778,7.14
96255,2022-07-09,新北市,石碇區,16,777,7.14
96642,2022-07-08,新北市,石碇區,7,761,5.43
97033,2022-07-07,新北市,石碇區,8,754,4.71
97424,2022-07-06,新北市,石碇區,4,746,4.14
97813,2022-07-05,新北市,石碇區,9,742,4.71
98202,2022-07-04,新北市,石碇區,5,733,4.29
98591,2022-07-03,新北市,石碇區,1,728,4.43
98976,2022-07-02,新北市,石碇區,4,727,4.43
99364,2022-07-01,新北市,石碇區,2,723,5.14
99756,2022-06-30,新北市,石碇區,4,721,5.29
100147,2022-06-29,新北市,石碇區,8,717,4.86
100537,2022-06-28,新北市,石碇區,6,709,4.14
100928,2022-06-27,新北市,石碇區,6,703,3.71
101317,2022-06-26,新北市,石碇區,1,697,3.71
101702,2022-06-25,新北市,石碇區,9,696,4.00
102092,2022-06-24,新北市,石碇區,3,687,3.86
102483,2022-06-23,新北市,石碇區,1,684,4.29
102875,2022-06-22,新北市,石碇區,3,683,4.57
103265,2022-06-21,新北市,石碇區,3,680,4.86
103656,2022-06-20,新北市,石碇區,6,677,4.86
104047,2022-06-19,新北市,石碇區,3,671,5.14
104437,2022-06-18,新北市,石碇區,8,668,5.71
104828,2022-06-17,新北市,石碇區,6,660,5.43
105219,2022-06-16,新北市,石碇區,3,654,5.57
105609,2022-06-15,新北市,石碇區,5,651,7.43
105999,2022-06-14,新北市,石碇區,3,646,8.29
106390,2022-06-13,新北市,石碇區,8,643,9.57
106781,2022-06-12,新北市,石碇區,7,635,11.29
107168,2022-06-11,新北市,石碇區,6,628,11.29
107559,2022-06-10,新北市,石碇區,7,622,11.86
107948,2022-06-09,新北市,石碇區,16,615,12.29
108339,2022-06-08,新北市,石碇區,11,599,12.00
108727,2022-06-07,新北市,石碇區,12,588,12.43
109119,2022-06-06,新北市,石碇區,20,576,12.71
109510,2022-06-05,新北市,石碇區,7,556,11.86
109899,2022-06-04,新北市,石碇區,10,549,11.71
110288,2022-06-03,新北市,石碇區,10,539,12.00
110680,2022-06-02,新北市,石碇區,14,529,13.14
111070,2022-06-01,新北市,石碇區,14,515,12.86
111461,2022-05-31,新北市,石碇區,14,501,12.00
111853,2022-05-30,新北市,石碇區,14,487,12.14
112243,2022-05-29,新北市,石碇區,6,473,12.14
112634,2022-05-28,新北市,石碇區,12,467,12.14
113024,2022-05-27,新北市,石碇區,18,455,11.86
113415,2022-05-26,新北市,石碇區,12,437,11.29
113806,2022-05-25,新北市,石碇區,8,425,10.86
114196,2022-05-24,新北市,石碇區,15,417,12.29
114587,2022-05-23,新北市,石碇區,14,402,14.71
114978,2022-05-22,新北市,石碇區,6,388,14.29
115369,2022-05-21,新北市,石碇區,10,382,15.86
115756,2022-05-20,新北市,石碇區,14,372,16.14
116142,2022-05-19,新北市,石碇區,9,358,16.86
116531,2022-05-18,新北市,石碇區,18,349,19.71
116921,2022-05-17,新北市,石碇區,32,331,18.86
117311,2022-05-16,新北市,石碇區,11,299,20.14
117699,2022-05-15,新北市,石碇區,17,288,20.86
118085,2022-05-14,新北市,石碇區,12,271,20.57
118468,2022-05-13,新北市,石碇區,19,259,21.86
118855,2022-05-12,新北市,石碇區,29,240,21.29
119239,2022-05-11,新北市,石碇區,12,211,19.14
119624,2022-05-10,新北市,石碇區,41,199,19.29
120009,2022-05-09,新北市,石碇區,16,158,14.57
120388,2022-05-08,新北市,石碇區,15,142,13.86
120773,2022-05-07,新北市,石碇區,21,127,12.57
121151,2022-05-06,新北市,石碇區,15,106,10.57
121529,2022-05-05,新北市,石碇區,14,91,9.71
121902,2022-05-04,新北市,石碇區,13,77,7.86
122262,2022-05-03,新北市,石碇區,8,64,6.43
122621,2022-05-02,新北市,石碇區,11,56,5.71
122972,2022-05-01,新北市,石碇區,6,45,4.14
123308,2022-04-30,新北市,石碇區,7,39,3.43
123639,2022-04-29,新北市,石碇區,9,32,2.43
123957,2022-04-28,新北市,石碇區,1,23,1.29
124271,2022-04-27,新北市,石碇區,3,22,1.14
124569,2022-04-26,新北市,石碇區,3,19,0.71
125135,2022-04-24,新北市,石碇區,1,16,0.57
125628,2022-04-22,新北市,石碇區,1,15,0.43
126319,2022-04-19,新北市,石碇區,2,14,0.43
127018,2022-04-15,新北市,石碇區,1,12,0.14
131566,2021-06-23,新北市,石碇區,1,11,0.14
132173,2021-06-11,新北市,石碇區,2,10,0.29
132808,2021-06-02,新北市,石碇區,1,8,0.57
133202,2021-05-28,新北市,石碇區,1,7,0.71
133296,2021-05-27,新北市,石碇區,2,6,0.57
133575,2021-05-24,新北市,石碇區,1,4,0.43
133741,2021-05-22,新北市,石碇區,1,3,0.43
133957,2021-05-19,新北市,石碇區,1,2,0.29
134085,2021-05-17,新北市,石碇區,1,1,0.14
