UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1685,2023-03-17,新北市,石門區,1,1611,1.43
2038,2023-03-16,新北市,石門區,1,1610,1.71
2390,2023-03-15,新北市,石門區,2,1609,1.57
2740,2023-03-14,新北市,石門區,2,1607,1.57
3456,2023-03-12,新北市,石門區,2,1605,1.57
3803,2023-03-11,新北市,石門區,2,1603,1.43
4154,2023-03-10,新北市,石門區,3,1601,1.14
4869,2023-03-08,新北市,石門區,2,1598,0.86
5583,2023-03-06,新北市,石門區,2,1596,0.86
5947,2023-03-05,新北市,石門區,1,1594,0.86
6639,2023-03-03,新北市,石門區,1,1593,1.00
7362,2023-03-01,新北市,石門區,2,1592,3.14
8096,2023-02-27,新北市,石門區,2,1590,4.00
8799,2023-02-25,新北市,石門區,2,1588,5.00
9169,2023-02-24,新北市,石門區,8,1586,5.14
9530,2023-02-23,新北市,石門區,8,1578,4.14
9901,2023-02-22,新北市,石門區,3,1570,4.00
10275,2023-02-21,新北市,石門區,5,1567,3.57
10645,2023-02-20,新北市,石門區,9,1562,3.57
11383,2023-02-18,新北市,石門區,3,1553,3.57
11749,2023-02-17,新北市,石門區,1,1550,3.43
12122,2023-02-16,新北市,石門區,7,1549,3.43
12870,2023-02-14,新北市,石門區,5,1542,3.71
13242,2023-02-13,新北市,石門區,8,1537,3.57
13620,2023-02-12,新北市,石門區,1,1529,3.00
13978,2023-02-11,新北市,石門區,2,1528,3.29
14350,2023-02-10,新北市,石門區,1,1526,3.14
14723,2023-02-09,新北市,石門區,4,1525,3.57
15100,2023-02-08,新北市,石門區,5,1521,3.57
15479,2023-02-07,新北市,石門區,4,1516,3.29
15858,2023-02-06,新北市,石門區,4,1512,3.00
16239,2023-02-05,新北市,石門區,3,1508,3.71
16608,2023-02-04,新北市,石門區,1,1505,3.29
16987,2023-02-03,新北市,石門區,4,1504,4.00
17373,2023-02-02,新北市,石門區,4,1500,3.57
17756,2023-02-01,新北市,石門區,3,1496,3.43
18133,2023-01-31,新北市,石門區,2,1493,3.29
18518,2023-01-30,新北市,石門區,9,1491,3.14
19283,2023-01-28,新北市,石門區,6,1482,3.14
19662,2023-01-27,新北市,石門區,1,1476,2.43
20040,2023-01-26,新北市,石門區,3,1475,2.43
20417,2023-01-25,新北市,石門區,2,1472,2.86
20782,2023-01-24,新北市,石門區,1,1470,2.86
21156,2023-01-23,新北市,石門區,7,1469,3.43
21524,2023-01-22,新北市,石門區,2,1462,3.14
21888,2023-01-21,新北市,石門區,1,1460,3.14
22260,2023-01-20,新北市,石門區,1,1459,3.29
22627,2023-01-19,新北市,石門區,6,1458,4.00
22998,2023-01-18,新北市,石門區,2,1452,3.43
23368,2023-01-17,新北市,石門區,5,1450,3.29
23734,2023-01-16,新北市,石門區,5,1445,2.57
24110,2023-01-15,新北市,石門區,2,1440,2.29
24476,2023-01-14,新北市,石門區,2,1438,2.57
24845,2023-01-13,新北市,石門區,6,1436,2.43
25213,2023-01-12,新北市,石門區,2,1430,1.86
25588,2023-01-11,新北市,石門區,1,1428,1.86
26336,2023-01-09,新北市,石門區,3,1427,2.86
26713,2023-01-08,新北市,石門區,4,1424,2.57
27071,2023-01-07,新北市,石門區,1,1420,2.14
27443,2023-01-06,新北市,石門區,2,1419,2.00
27819,2023-01-05,新北市,石門區,2,1417,2.29
28199,2023-01-04,新北市,石門區,3,1415,2.29
28580,2023-01-03,新北市,石門區,5,1412,2.14
28961,2023-01-02,新北市,石門區,1,1407,2.14
29333,2023-01-01,新北市,石門區,1,1406,2.57
30061,2022-12-30,新北市,石門區,4,1405,2.57
30433,2022-12-29,新北市,石門區,2,1401,2.00
30805,2022-12-28,新北市,石門區,2,1399,2.00
31176,2022-12-27,新北市,石門區,5,1397,1.86
31552,2022-12-26,新北市,石門區,4,1392,1.43
31924,2022-12-25,新北市,石門區,1,1388,1.00
33003,2022-12-22,新北市,石門區,2,1387,2.43
33370,2022-12-21,新北市,石門區,1,1385,2.29
33740,2022-12-20,新北市,石門區,2,1384,3.00
34103,2022-12-19,新北市,石門區,1,1382,3.00
34473,2022-12-18,新北市,石門區,2,1381,3.00
34822,2022-12-17,新北市,石門區,2,1379,2.71
35182,2022-12-16,新北市,石門區,7,1377,2.43
35547,2022-12-15,新北市,石門區,1,1370,1.43
35918,2022-12-14,新北市,石門區,6,1369,1.29
36275,2022-12-13,新北市,石門區,2,1363,0.43
36651,2022-12-12,新北市,石門區,1,1361,0.29
38852,2022-12-06,新北市,石門區,1,1360,1.43
39224,2022-12-05,新北市,石門區,2,1359,1.43
39967,2022-12-03,新北市,石門區,2,1357,1.57
40337,2022-12-02,新北市,石門區,2,1355,1.57
40706,2022-12-01,新北市,石門區,2,1353,1.71
41075,2022-11-30,新北市,石門區,1,1351,1.57
41447,2022-11-29,新北市,石門區,1,1350,2.29
41827,2022-11-28,新北市,石門區,2,1349,2.29
42204,2022-11-27,新北市,石門區,1,1347,2.71
42565,2022-11-26,新北市,石門區,2,1346,2.71
42921,2022-11-25,新北市,石門區,3,1344,2.57
43293,2022-11-24,新北市,石門區,1,1341,2.86
43663,2022-11-23,新北市,石門區,6,1340,3.14
44034,2022-11-22,新北市,石門區,1,1334,2.86
44408,2022-11-21,新北市,石門區,5,1333,2.86
44789,2022-11-20,新北市,石門區,1,1328,2.14
45154,2022-11-19,新北市,石門區,1,1327,2.00
45528,2022-11-18,新北市,石門區,5,1326,2.14
45900,2022-11-17,新北市,石門區,3,1321,1.43
46273,2022-11-16,新北市,石門區,4,1318,1.43
46653,2022-11-15,新北市,石門區,1,1314,0.86
47785,2022-11-12,新北市,石門區,2,1313,1.86
48541,2022-11-10,新北市,石門區,3,1311,2.14
49307,2022-11-08,新北市,石門區,1,1308,2.71
49692,2022-11-07,新北市,石門區,5,1307,3.14
50077,2022-11-06,新北市,石門區,2,1302,3.14
50446,2022-11-05,新北市,石門區,1,1300,3.00
50821,2022-11-04,新北市,石門區,3,1299,3.00
51207,2022-11-03,新北市,石門區,2,1296,2.71
51587,2022-11-02,新北市,石門區,5,1294,3.43
51973,2022-11-01,新北市,石門區,4,1289,3.14
52358,2022-10-31,新北市,石門區,5,1285,3.43
52741,2022-10-30,新北市,石門區,1,1280,3.57
53120,2022-10-29,新北市,石門區,1,1279,4.29
53499,2022-10-28,新北市,石門區,1,1278,4.29
53886,2022-10-27,新北市,石門區,7,1277,4.57
54273,2022-10-26,新北市,石門區,3,1270,3.71
54657,2022-10-25,新北市,石門區,6,1267,3.86
55046,2022-10-24,新北市,石門區,6,1261,3.14
55436,2022-10-23,新北市,石門區,6,1255,3.00
55813,2022-10-22,新北市,石門區,1,1249,2.43
56198,2022-10-21,新北市,石門區,3,1248,2.86
56588,2022-10-20,新北市,石門區,1,1245,4.14
56973,2022-10-19,新北市,石門區,4,1244,4.86
57360,2022-10-18,新北市,石門區,1,1240,5.29
57750,2022-10-17,新北市,石門區,5,1239,6.86
58140,2022-10-16,新北市,石門區,2,1234,6.86
58524,2022-10-15,新北市,石門區,4,1232,7.29
58909,2022-10-14,新北市,石門區,12,1228,7.29
59299,2022-10-13,新北市,石門區,6,1216,6.43
59690,2022-10-12,新北市,石門區,7,1210,7.29
