UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
925,2023-03-19,新北市,萬里區,2,5290,5.71
1253,2023-03-18,新北市,萬里區,8,5288,6.14
1593,2023-03-17,新北市,萬里區,7,5280,5.29
1945,2023-03-16,新北市,萬里區,2,5273,4.57
2298,2023-03-15,新北市,萬里區,10,5271,4.57
2649,2023-03-14,新北市,萬里區,6,5261,3.57
3006,2023-03-13,新北市,萬里區,5,5255,3.29
3365,2023-03-12,新北市,萬里區,5,5250,4.14
3710,2023-03-11,新北市,萬里區,2,5245,3.57
4063,2023-03-10,新北市,萬里區,2,5243,3.71
4418,2023-03-09,新北市,萬里區,2,5241,4.29
4777,2023-03-08,新北市,萬里區,3,5239,5.14
5131,2023-03-07,新北市,萬里區,4,5236,7.00
5490,2023-03-06,新北市,萬里區,11,5232,6.57
5855,2023-03-05,新北市,萬里區,1,5221,5.86
6194,2023-03-04,新北市,萬里區,3,5220,6.29
6546,2023-03-03,新北市,萬里區,6,5217,6.43
6905,2023-03-02,新北市,萬里區,8,5211,6.57
7269,2023-03-01,新北市,萬里區,16,5203,8.71
7640,2023-02-28,新北市,萬里區,1,5187,6.86
8003,2023-02-27,新北市,萬里區,6,5186,8.29
8362,2023-02-26,新北市,萬里區,4,5180,10.29
8707,2023-02-25,新北市,萬里區,4,5176,10.29
9077,2023-02-24,新北市,萬里區,7,5172,10.71
9438,2023-02-23,新北市,萬里區,23,5165,11.29
9808,2023-02-22,新北市,萬里區,3,5142,9.29
10183,2023-02-21,新北市,萬里區,11,5139,9.71
10552,2023-02-20,新北市,萬里區,20,5128,10.00
10932,2023-02-19,新北市,萬里區,4,5108,9.29
11290,2023-02-18,新北市,萬里區,7,5104,10.14
11657,2023-02-17,新北市,萬里區,11,5097,9.71
12029,2023-02-16,新北市,萬里區,9,5086,9.71
12404,2023-02-15,新北市,萬里區,6,5077,10.29
12777,2023-02-14,新北市,萬里區,13,5071,10.57
13149,2023-02-13,新北市,萬里區,15,5058,10.14
13528,2023-02-12,新北市,萬里區,10,5043,10.00
13885,2023-02-11,新北市,萬里區,4,5033,9.29
14257,2023-02-10,新北市,萬里區,11,5029,10.43
14631,2023-02-09,新北市,萬里區,13,5018,9.57
15007,2023-02-08,新北市,萬里區,8,5005,10.29
15386,2023-02-07,新北市,萬里區,10,4997,11.29
15765,2023-02-06,新北市,萬里區,14,4987,11.43
