UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
438,2023-03-20,新北市,貢寮區,40-44,132
439,2023-03-17,新北市,貢寮區,15-19,112
440,2023-03-16,新北市,貢寮區,45-49,120
441,2023-03-16,新北市,貢寮區,25-29,115
442,2023-03-16,新北市,貢寮區,70+,335
443,2023-03-16,新北市,貢寮區,20-24,129
444,2023-03-15,新北市,貢寮區,55-59,131
445,2023-03-14,新北市,貢寮區,50-54,122
446,2023-03-13,新北市,貢寮區,5-9,91
447,2023-03-13,新北市,貢寮區,10-14,80
448,2023-03-10,新北市,貢寮區,35-39,103
449,2023-03-04,新北市,貢寮區,65-69,98
450,2023-02-28,新北市,貢寮區,30-34,93
451,2023-02-21,新北市,貢寮區,60-64,101
452,2023-01-19,新北市,貢寮區,0,8
453,2023-01-04,新北市,貢寮區,3,14
454,2022-12-02,新北市,貢寮區,1,14
455,2022-10-26,新北市,貢寮區,4,12
456,2022-10-03,新北市,貢寮區,2,9
