UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
134,2023-06-14,新北市,金山區,50-54,452
135,2023-03-20,新北市,金山區,70+,726
136,2023-03-20,新北市,金山區,1,47
137,2023-03-20,新北市,金山區,30-34,421
138,2023-03-19,新北市,金山區,45-49,497
139,2023-03-19,新北市,金山區,25-29,503
140,2023-03-19,新北市,金山區,55-59,369
141,2023-03-18,新北市,金山區,60-64,365
142,2023-03-18,新北市,金山區,35-39,447
143,2023-03-18,新北市,金山區,10-14,329
144,2023-03-18,新北市,金山區,40-44,567
145,2023-03-17,新北市,金山區,5-9,326
146,2023-03-15,新北市,金山區,20-24,430
147,2023-03-13,新北市,金山區,15-19,369
148,2023-03-10,新北市,金山區,65-69,308
149,2023-03-04,新北市,金山區,4,66
150,2023-02-21,新北市,金山區,0,40
151,2023-02-13,新北市,金山區,3,52
152,2023-02-01,新北市,金山區,2,40
