UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
723,2023-03-14,新北市,金山區,1,17,0.14
1473,2023-02-27,新北市,金山區,1,16,0.29
1780,2023-02-22,新北市,金山區,1,15,0.14
5309,2022-12-16,新北市,金山區,1,14,0.14
6108,2022-11-25,新北市,金山區,1,13,0.14
7236,2022-11-04,新北市,金山區,1,12,0.14
8593,2022-10-15,新北市,金山區,1,11,0.14
9418,2022-10-03,新北市,金山區,1,10,0.14
10011,2022-09-23,新北市,金山區,1,9,0.29
10186,2022-09-20,新北市,金山區,1,8,0.14
12063,2022-08-07,新北市,金山區,1,7,0.14
13398,2022-07-14,新北市,金山區,1,6,0.43
13468,2022-07-13,新北市,金山區,1,5,0.29
13622,2022-07-11,新北市,金山區,1,4,0.14
15569,2022-06-20,新北市,金山區,1,3,0.14
17175,2022-06-07,新北市,金山區,1,2,0.29
17411,2022-06-05,新北市,金山區,1,1,0.14
