UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
132,2023-06-14,新北市,金山區,1,6354,0.14
665,2023-03-20,新北市,金山區,4,6353,4.86
953,2023-03-19,新北市,金山區,4,6349,5.29
1281,2023-03-18,新北市,金山區,8,6345,5.00
1621,2023-03-17,新北市,金山區,3,6337,4.00
1973,2023-03-16,新北市,金山區,3,6334,4.43
2326,2023-03-15,新北市,金山區,3,6331,4.57
2677,2023-03-14,新北市,金山區,9,6328,4.57
3034,2023-03-13,新北市,金山區,7,6319,4.86
3393,2023-03-12,新北市,金山區,2,6312,5.71
3738,2023-03-11,新北市,金山區,1,6310,5.86
4091,2023-03-10,新北市,金山區,6,6309,6.71
4446,2023-03-09,新北市,金山區,4,6303,6.29
4805,2023-03-08,新北市,金山區,3,6299,6.57
5159,2023-03-07,新北市,金山區,11,6296,8.29
5518,2023-03-06,新北市,金山區,13,6285,7.43
5883,2023-03-05,新北市,金山區,3,6272,7.00
6222,2023-03-04,新北市,金山區,7,6269,6.71
6574,2023-03-03,新北市,金山區,3,6262,6.29
6933,2023-03-02,新北市,金山區,6,6259,7.57
7297,2023-03-01,新北市,金山區,15,6253,7.57
7668,2023-02-28,新北市,金山區,5,6238,6.71
8031,2023-02-27,新北市,金山區,10,6233,7.86
8390,2023-02-26,新北市,金山區,1,6223,7.43
8735,2023-02-25,新北市,金山區,4,6222,8.86
9105,2023-02-24,新北市,金山區,12,6218,9.86
9466,2023-02-23,新北市,金山區,6,6206,10.14
9836,2023-02-22,新北市,金山區,9,6200,10.86
10211,2023-02-21,新北市,金山區,13,6191,10.71
10580,2023-02-20,新北市,金山區,7,6178,10.71
10960,2023-02-19,新北市,金山區,11,6171,12.71
11318,2023-02-18,新北市,金山區,11,6160,11.43
11685,2023-02-17,新北市,金山區,14,6149,12.14
12057,2023-02-16,新北市,金山區,11,6135,11.43
12432,2023-02-15,新北市,金山區,8,6124,12.29
12805,2023-02-14,新北市,金山區,13,6116,12.14
13177,2023-02-13,新北市,金山區,21,6103,12.29
13556,2023-02-12,新北市,金山區,2,6082,12.00
13913,2023-02-11,新北市,金山區,16,6080,13.14
14285,2023-02-10,新北市,金山區,9,6064,13.29
14659,2023-02-09,新北市,金山區,17,6055,14.14
15035,2023-02-08,新北市,金山區,7,6038,14.86
15414,2023-02-07,新北市,金山區,14,6031,17.00
15793,2023-02-06,新北市,金山區,19,6017,17.86
16175,2023-02-05,新北市,金山區,10,5998,20.14
16543,2023-02-04,新北市,金山區,17,5988,20.57
16922,2023-02-03,新北市,金山區,15,5971,20.86
17308,2023-02-02,新北市,金山區,22,5956,21.29
17691,2023-02-01,新北市,金山區,22,5934,20.86
18068,2023-01-31,新北市,金山區,20,5912,18.86
18453,2023-01-30,新北市,金山區,35,5892,18.29
18842,2023-01-29,新北市,金山區,13,5857,15.29
19218,2023-01-28,新北市,金山區,19,5844,14.71
19597,2023-01-27,新北市,金山區,18,5825,13.86
19975,2023-01-26,新北市,金山區,19,5807,12.00
20352,2023-01-25,新北市,金山區,8,5788,10.71
20717,2023-01-24,新北市,金山區,16,5780,11.14
21092,2023-01-23,新北市,金山區,14,5764,10.29
