UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
457,2023-03-19,新北市,雙溪區,70+,238
458,2023-03-17,新北市,雙溪區,55-59,150
459,2023-03-14,新北市,雙溪區,65-69,90
460,2023-03-14,新北市,雙溪區,60-64,105
461,2023-03-10,新北市,雙溪區,35-39,93
462,2023-03-08,新北市,雙溪區,25-29,83
463,2023-03-08,新北市,雙溪區,50-54,85
464,2023-03-06,新北市,雙溪區,15-19,108
465,2023-03-01,新北市,雙溪區,40-44,99
466,2023-02-25,新北市,雙溪區,20-24,91
467,2023-02-22,新北市,雙溪區,30-34,77
468,2023-02-16,新北市,雙溪區,45-49,91
469,2023-02-13,新北市,雙溪區,1,6
470,2023-02-13,新北市,雙溪區,5-9,80
471,2023-02-01,新北市,雙溪區,10-14,84
472,2023-02-01,新北市,雙溪區,0,16
473,2022-12-27,新北市,雙溪區,4,12
474,2022-12-21,新北市,雙溪區,3,9
475,2022-10-21,新北市,雙溪區,2,9
