UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1156,2023-03-19,新北市,雙溪區,1,1526,0.86
1842,2023-03-17,新北市,雙溪區,2,1525,1.00
2189,2023-03-16,新北市,雙溪區,1,1523,1.43
2896,2023-03-14,新北市,雙溪區,2,1522,1.86
3604,2023-03-12,新北市,雙溪區,2,1520,2.00
4309,2023-03-10,新北市,雙溪區,5,1518,2.14
4665,2023-03-09,新北市,雙溪區,1,1513,1.57
5023,2023-03-08,新北市,雙溪區,3,1512,1.43
5377,2023-03-07,新北市,雙溪區,1,1509,1.43
5741,2023-03-06,新北市,雙溪區,2,1508,1.29
6092,2023-03-05,新北市,雙溪區,3,1506,1.00
6795,2023-03-03,新北市,雙溪區,1,1503,0.86
7522,2023-03-01,新北市,雙溪區,3,1502,1.14
8600,2023-02-26,新北市,雙溪區,1,1499,1.71
8963,2023-02-25,新北市,雙溪區,1,1498,1.57
9326,2023-02-24,新北市,雙溪區,1,1497,1.86
9692,2023-02-23,新北市,雙溪區,2,1496,2.00
10065,2023-02-22,新北市,雙溪區,2,1494,2.00
10437,2023-02-21,新北市,雙溪區,1,1492,1.86
10811,2023-02-20,新北市,雙溪區,4,1491,1.86
11542,2023-02-18,新北市,雙溪區,3,1487,2.14
11913,2023-02-17,新北市,雙溪區,2,1484,2.29
12285,2023-02-16,新北市,雙溪區,2,1482,2.14
12661,2023-02-15,新北市,雙溪區,1,1480,2.57
13035,2023-02-14,新北市,雙溪區,1,1479,2.43
13408,2023-02-13,新北市,雙溪區,6,1478,2.43
14144,2023-02-11,新北市,雙溪區,4,1472,3.29
14512,2023-02-10,新北市,雙溪區,1,1468,2.86
14885,2023-02-09,新北市,雙溪區,5,1467,3.29
15645,2023-02-07,新北市,雙溪區,1,1462,4.29
16026,2023-02-06,新北市,雙溪區,11,1461,4.43
16399,2023-02-05,新北市,雙溪區,1,1450,3.43
16774,2023-02-04,新北市,雙溪區,1,1449,3.43
17154,2023-02-03,新北市,雙溪區,4,1448,3.86
17541,2023-02-02,新北市,雙溪區,6,1444,3.86
17920,2023-02-01,新北市,雙溪區,6,1438,3.14
18303,2023-01-31,新北市,雙溪區,2,1432,2.43
18688,2023-01-30,新北市,雙溪區,4,1430,2.29
19073,2023-01-29,新北市,雙溪區,1,1426,2.14
19451,2023-01-28,新北市,雙溪區,4,1425,2.43
19827,2023-01-27,新北市,雙溪區,4,1421,2.14
20205,2023-01-26,新北市,雙溪區,1,1417,1.71
20576,2023-01-25,新北市,雙溪區,1,1416,1.86
20946,2023-01-24,新北市,雙溪區,1,1415,1.86
21313,2023-01-23,新北市,雙溪區,3,1414,2.29
21684,2023-01-22,新北市,雙溪區,3,1411,2.14
22052,2023-01-21,新北市,雙溪區,2,1408,1.71
22421,2023-01-20,新北市,雙溪區,1,1406,1.57
22788,2023-01-19,新北市,雙溪區,2,1405,1.71
23161,2023-01-18,新北市,雙溪區,1,1403,1.43
23526,2023-01-17,新北市,雙溪區,4,1402,1.57
23897,2023-01-16,新北市,雙溪區,2,1398,1.43
24636,2023-01-14,新北市,雙溪區,1,1396,1.29
25005,2023-01-13,新北市,雙溪區,2,1395,1.29
25750,2023-01-11,新北市,雙溪區,2,1393,1.00
26126,2023-01-10,新北市,雙溪區,3,1391,1.14
26502,2023-01-09,新北市,雙溪區,1,1388,1.71
27233,2023-01-07,新北市,雙溪區,1,1387,1.57
28366,2023-01-04,新北市,雙溪區,3,1386,2.14
28747,2023-01-03,新北市,雙溪區,7,1383,1.71
29856,2022-12-31,新北市,雙溪區,1,1376,1.86
30222,2022-12-30,新北市,雙溪區,3,1375,1.86
30595,2022-12-29,新北市,雙溪區,1,1372,2.00
31342,2022-12-27,新北市,雙溪區,5,1371,2.43
31715,2022-12-26,新北市,雙溪區,2,1366,1.71
32076,2022-12-25,新北市,雙溪區,1,1364,1.43
32437,2022-12-24,新北市,雙溪區,1,1363,1.43
32796,2022-12-23,新北市,雙溪區,4,1362,1.43
33162,2022-12-22,新北市,雙溪區,2,1358,0.86
33531,2022-12-21,新北市,雙溪區,2,1356,1.00
34620,2022-12-18,新北市,雙溪區,1,1354,1.14
34978,2022-12-17,新北市,雙溪區,1,1353,1.00
35707,2022-12-15,新北市,雙溪區,3,1352,1.00
36438,2022-12-13,新北市,雙溪區,1,1349,0.71
36815,2022-12-12,新北市,雙溪區,2,1348,0.57
37902,2022-12-09,新北市,雙溪區,1,1346,1.29
38272,2022-12-08,新北市,雙溪區,1,1345,1.29
39388,2022-12-05,新北市,雙溪區,5,1344,1.29
39761,2022-12-04,新北市,雙溪區,1,1339,1.00
40129,2022-12-03,新北市,雙溪區,1,1338,0.86
40497,2022-12-02,新北市,雙溪區,1,1337,0.71
41613,2022-11-29,新北市,雙溪區,1,1336,1.00
41992,2022-11-28,新北市,雙溪區,3,1335,1.00
43455,2022-11-24,新北市,雙溪區,1,1332,1.86
43822,2022-11-23,新北市,雙溪區,2,1331,1.71
44197,2022-11-22,新北市,雙溪區,1,1329,1.57
44575,2022-11-21,新北市,雙溪區,3,1328,1.57
44948,2022-11-20,新北市,雙溪區,2,1325,1.57
45317,2022-11-19,新北市,雙溪區,1,1323,1.43
45688,2022-11-18,新北市,雙溪區,3,1322,1.29
46436,2022-11-16,新北市,雙溪區,1,1319,1.86
46819,2022-11-15,新北市,雙溪區,1,1318,2.14
47198,2022-11-14,新北市,雙溪區,3,1317,2.14
47573,2022-11-13,新北市,雙溪區,1,1314,3.14
48325,2022-11-11,新北市,雙溪區,3,1313,3.14
48706,2022-11-10,新北市,雙溪區,4,1310,2.86
49089,2022-11-09,新北市,雙溪區,3,1306,3.57
49475,2022-11-08,新北市,雙溪區,1,1303,3.57
49859,2022-11-07,新北市,雙溪區,10,1302,3.71
50234,2022-11-06,新北市,雙溪區,1,1292,3.71
50991,2022-11-04,新北市,雙溪區,1,1291,4.00
51374,2022-11-03,新北市,雙溪區,9,1290,4.86
51754,2022-11-02,新北市,雙溪區,3,1281,3.86
52142,2022-11-01,新北市,雙溪區,2,1278,4.29
52524,2022-10-31,新北市,雙溪區,10,1276,4.86
52905,2022-10-30,新北市,雙溪區,1,1266,4.57
53285,2022-10-29,新北市,雙溪區,2,1265,4.71
53668,2022-10-28,新北市,雙溪區,7,1263,4.71
54054,2022-10-27,新北市,雙溪區,2,1256,5.14
54438,2022-10-26,新北市,雙溪區,6,1254,5.86
54826,2022-10-25,新北市,雙溪區,6,1248,6.43
55216,2022-10-24,新北市,雙溪區,8,1242,7.43
55599,2022-10-23,新北市,雙溪區,2,1234,7.86
55982,2022-10-22,新北市,雙溪區,2,1232,8.14
56369,2022-10-21,新北市,雙溪區,10,1230,8.29
56755,2022-10-20,新北市,雙溪區,7,1220,7.86
57142,2022-10-19,新北市,雙溪區,10,1213,8.71
57530,2022-10-18,新北市,雙溪區,13,1203,8.43
57920,2022-10-17,新北市,雙溪區,11,1190,8.14
58308,2022-10-16,新北市,雙溪區,4,1179,7.43
58694,2022-10-15,新北市,雙溪區,3,1175,7.57
59080,2022-10-14,新北市,雙溪區,7,1172,8.86
59469,2022-10-13,新北市,雙溪區,13,1165,9.86
59860,2022-10-12,新北市,雙溪區,8,1152,11.43
60250,2022-10-11,新北市,雙溪區,11,1144,11.71
60640,2022-10-10,新北市,雙溪區,6,1133,12.00
61022,2022-10-09,新北市,雙溪區,5,1127,15.71
61411,2022-10-08,新北市,雙溪區,12,1122,16.29
61801,2022-10-07,新北市,雙溪區,14,1110,16.00
62188,2022-10-06,新北市,雙溪區,24,1096,15.57
62578,2022-10-05,新北市,雙溪區,10,1072,14.57
62966,2022-10-04,新北市,雙溪區,13,1062,15.00
63355,2022-10-03,新北市,雙溪區,32,1049,13.57
63743,2022-10-02,新北市,雙溪區,9,1017,10.86
64126,2022-10-01,新北市,雙溪區,10,1008,10.00
64511,2022-09-30,新北市,雙溪區,11,998,9.29
64897,2022-09-29,新北市,雙溪區,17,987,9.14
65285,2022-09-28,新北市,雙溪區,13,970,7.43
65673,2022-09-27,新北市,雙溪區,3,957,6.43
66059,2022-09-26,新北市,雙溪區,13,954,6.57
66446,2022-09-25,新北市,雙溪區,3,941,5.86
66829,2022-09-24,新北市,雙溪區,5,938,5.71
67216,2022-09-23,新北市,雙溪區,10,933,5.14
67603,2022-09-22,新北市,雙溪區,5,923,4.29
67992,2022-09-21,新北市,雙溪區,6,918,4.43
68380,2022-09-20,新北市,雙溪區,4,912,3.86
68771,2022-09-19,新北市,雙溪區,8,908,3.57
69159,2022-09-18,新北市,雙溪區,2,900,3.00
69543,2022-09-17,新北市,雙溪區,1,898,3.00
69930,2022-09-16,新北市,雙溪區,4,897,3.86
70315,2022-09-15,新北市,雙溪區,6,893,3.57
70701,2022-09-14,新北市,雙溪區,2,887,3.00
71088,2022-09-13,新北市,雙溪區,2,885,3.29
71478,2022-09-12,新北市,雙溪區,4,883,3.57
71864,2022-09-11,新北市,雙溪區,2,879,3.86
72247,2022-09-10,新北市,雙溪區,7,877,4.00
72628,2022-09-09,新北市,雙溪區,2,870,3.86
73012,2022-09-08,新北市,雙溪區,2,868,4.29
73399,2022-09-07,新北市,雙溪區,4,866,5.14
73783,2022-09-06,新北市,雙溪區,4,862,5.00
74170,2022-09-05,新北市,雙溪區,6,858,4.86
74554,2022-09-04,新北市,雙溪區,3,852,4.71
74938,2022-09-03,新北市,雙溪區,6,849,4.43
75325,2022-09-02,新北市,雙溪區,5,843,4.00
75712,2022-09-01,新北市,雙溪區,8,838,4.00
76100,2022-08-31,新北市,雙溪區,3,830,3.00
76488,2022-08-30,新北市,雙溪區,3,827,3.57
76876,2022-08-29,新北市,雙溪區,5,824,3.43
77262,2022-08-28,新北市,雙溪區,1,819,3.71
77648,2022-08-27,新北市,雙溪區,3,818,3.57
78034,2022-08-26,新北市,雙溪區,5,815,3.43
78418,2022-08-25,新北市,雙溪區,1,810,3.29
78803,2022-08-24,新北市,雙溪區,7,809,4.00
79190,2022-08-23,新北市,雙溪區,2,802,3.71
79575,2022-08-22,新北市,雙溪區,7,800,4.14
80338,2022-08-20,新北市,雙溪區,2,793,4.00
80722,2022-08-19,新北市,雙溪區,4,791,3.71
