UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
428,2023-03-21,新北市,鶯歌區,1,78,0.14
876,2023-03-10,新北市,鶯歌區,1,77,0.14
1232,2023-03-03,新北市,鶯歌區,1,76,0.14
2280,2023-02-13,新北市,鶯歌區,1,75,0.57
2337,2023-02-12,新北市,鶯歌區,1,74,0.43
2400,2023-02-11,新北市,鶯歌區,1,73,0.57
2596,2023-02-08,新北市,鶯歌區,1,72,0.43
2804,2023-02-05,新北市,鶯歌區,2,71,0.43
3117,2023-01-31,新北市,鶯歌區,1,69,0.14
3740,2023-01-19,新北市,鶯歌區,1,68,0.43
3791,2023-01-18,新北市,鶯歌區,1,67,0.29
3934,2023-01-15,新北市,鶯歌區,1,66,0.43
4185,2023-01-10,新北市,鶯歌區,2,65,0.29
5369,2022-12-14,新北市,鶯歌區,1,63,0.57
5446,2022-12-12,新北市,鶯歌區,1,62,0.43
5471,2022-12-11,新北市,鶯歌區,1,61,0.43
5502,2022-12-10,新北市,鶯歌區,1,60,0.43
5709,2022-12-05,新北市,鶯歌區,1,59,0.29
5739,2022-12-04,新北市,鶯歌區,1,58,0.14
6131,2022-11-24,新北市,鶯歌區,1,57,0.14
6846,2022-11-10,新北市,鶯歌區,1,56,0.57
6970,2022-11-08,新北市,鶯歌區,1,55,0.43
7028,2022-11-07,新北市,鶯歌區,2,54,0.29
7451,2022-10-31,新北市,鶯歌區,1,52,0.57
7567,2022-10-29,新北市,鶯歌區,1,51,0.43
7638,2022-10-28,新北市,鶯歌區,1,50,0.29
7777,2022-10-26,新北市,鶯歌區,1,49,0.29
8209,2022-10-20,新北市,鶯歌區,1,48,0.29
8422,2022-10-17,新北市,鶯歌區,1,47,0.29
8702,2022-10-13,新北市,鶯歌區,1,46,0.14
9698,2022-09-28,新北市,鶯歌區,1,45,0.14
10367,2022-09-16,新北市,鶯歌區,1,44,0.29
10592,2022-09-12,新北市,鶯歌區,1,43,0.14
11052,2022-09-02,新北市,鶯歌區,1,42,0.29
11087,2022-09-01,新北市,鶯歌區,1,41,0.14
11366,2022-08-25,新北市,鶯歌區,1,40,0.14
12255,2022-08-02,新北市,鶯歌區,1,39,0.14
13024,2022-07-19,新北市,鶯歌區,1,38,0.14
14209,2022-07-03,新北市,鶯歌區,1,37,0.29
14579,2022-06-29,新北市,鶯歌區,1,36,0.29
14873,2022-06-26,新北市,鶯歌區,1,35,0.43
15278,2022-06-22,新北市,鶯歌區,2,34,0.57
15727,2022-06-18,新北市,鶯歌區,1,32,0.71
15851,2022-06-17,新北市,鶯歌區,1,31,0.57
16103,2022-06-15,新北市,鶯歌區,1,30,0.71
16236,2022-06-14,新北市,鶯歌區,1,29,0.57
16366,2022-06-13,新北市,鶯歌區,1,28,0.43
16741,2022-06-10,新北市,鶯歌區,1,27,0.57
16847,2022-06-09,新北市,鶯歌區,1,26,0.43
17232,2022-06-06,新北市,鶯歌區,1,25,0.57
17463,2022-06-04,新北市,鶯歌區,1,24,1.29
17821,2022-06-01,新北市,鶯歌區,1,23,1.14
17952,2022-05-31,新北市,鶯歌區,1,22,1.14
18079,2022-05-30,新北市,鶯歌區,2,21,1.00
18204,2022-05-29,新北市,鶯歌區,4,19,1.00
18610,2022-05-25,新北市,鶯歌區,1,15,0.71
18796,2022-05-23,新北市,鶯歌區,2,14,0.57
18886,2022-05-22,新北市,鶯歌區,1,12,0.29
19056,2022-05-20,新北市,鶯歌區,1,11,0.57
19384,2022-05-15,新北市,鶯歌區,2,10,0.71
19443,2022-05-14,新北市,鶯歌區,1,8,0.57
19578,2022-05-11,新北市,鶯歌區,1,7,0.43
19620,2022-05-10,新北市,鶯歌區,1,6,0.29
19678,2022-05-08,新北市,鶯歌區,1,5,0.14
19852,2022-04-25,新北市,鶯歌區,1,4,0.14
19878,2022-04-16,新北市,鶯歌區,1,3,0.14
20254,2021-06-26,新北市,鶯歌區,1,2,0.14
20394,2021-06-15,新北市,鶯歌區,1,1,0.14
