UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
125,2023-06-14,新北市,鶯歌區,4,44048,0.57
393,2023-03-23,新北市,鶯歌區,1,44044,17.57
658,2023-03-20,新北市,鶯歌區,20,44043,31.29
945,2023-03-19,新北市,鶯歌區,33,44023,34.71
1273,2023-03-18,新北市,鶯歌區,26,43990,32.00
1613,2023-03-17,新北市,鶯歌區,43,43964,32.86
1965,2023-03-16,新北市,鶯歌區,23,43921,31.00
2318,2023-03-15,新北市,鶯歌區,34,43898,31.71
2669,2023-03-14,新北市,鶯歌區,40,43864,32.86
3026,2023-03-13,新北市,鶯歌區,44,43824,33.14
3385,2023-03-12,新北市,鶯歌區,14,43780,33.14
3730,2023-03-11,新北市,鶯歌區,32,43766,35.57
4083,2023-03-10,新北市,鶯歌區,30,43734,36.57
4438,2023-03-09,新北市,鶯歌區,28,43704,40.86
4797,2023-03-08,新北市,鶯歌區,42,43676,45.71
5151,2023-03-07,新北市,鶯歌區,42,43634,48.71
5510,2023-03-06,新北市,鶯歌區,44,43592,50.00
5875,2023-03-05,新北市,鶯歌區,31,43548,50.29
6214,2023-03-04,新北市,鶯歌區,39,43517,51.14
6566,2023-03-03,新北市,鶯歌區,60,43478,53.57
6925,2023-03-02,新北市,鶯歌區,62,43418,52.57
7289,2023-03-01,新北市,鶯歌區,63,43356,53.00
7660,2023-02-28,新北市,鶯歌區,51,43293,53.57
8023,2023-02-27,新北市,鶯歌區,46,43242,53.71
8382,2023-02-26,新北市,鶯歌區,37,43196,61.29
8727,2023-02-25,新北市,鶯歌區,56,43159,63.71
9097,2023-02-24,新北市,鶯歌區,53,43103,68.00
9458,2023-02-23,新北市,鶯歌區,65,43050,67.57
9828,2023-02-22,新北市,鶯歌區,67,42985,71.86
10203,2023-02-21,新北市,鶯歌區,52,42918,73.86
10572,2023-02-20,新北市,鶯歌區,99,42866,80.29
10952,2023-02-19,新北市,鶯歌區,54,42767,78.57
11310,2023-02-18,新北市,鶯歌區,86,42713,80.43
11677,2023-02-17,新北市,鶯歌區,50,42627,82.00
12049,2023-02-16,新北市,鶯歌區,95,42577,87.57
12424,2023-02-15,新北市,鶯歌區,81,42482,85.43
12797,2023-02-14,新北市,鶯歌區,97,42401,90.71
13169,2023-02-13,新北市,鶯歌區,87,42304,92.57
13548,2023-02-12,新北市,鶯歌區,67,42217,95.29
13905,2023-02-11,新北市,鶯歌區,97,42150,96.43
14277,2023-02-10,新北市,鶯歌區,89,42053,97.29
14651,2023-02-09,新北市,鶯歌區,80,41964,98.57
15027,2023-02-08,新北市,鶯歌區,118,41884,103.14
15406,2023-02-07,新北市,鶯歌區,110,41766,104.29
15785,2023-02-06,新北市,鶯歌區,106,41656,110.57
16167,2023-02-05,新北市,鶯歌區,75,41550,116.00
16535,2023-02-04,新北市,鶯歌區,103,41475,112.43
16914,2023-02-03,新北市,鶯歌區,98,41372,115.71
17300,2023-02-02,新北市,鶯歌區,112,41274,120.86
17683,2023-02-01,新北市,鶯歌區,126,41162,118.71
18060,2023-01-31,新北市,鶯歌區,154,41036,112.71
18445,2023-01-30,新北市,鶯歌區,144,40882,103.14
18834,2023-01-29,新北市,鶯歌區,50,40738,88.57
19210,2023-01-28,新北市,鶯歌區,126,40688,86.14
19589,2023-01-27,新北市,鶯歌區,134,40562,81.14
19967,2023-01-26,新北市,鶯歌區,97,40428,75.14
20344,2023-01-25,新北市,鶯歌區,84,40331,72.57
20709,2023-01-24,新北市,鶯歌區,87,40247,72.14
21084,2023-01-23,新北市,鶯歌區,42,40160,73.71
21451,2023-01-22,新北市,鶯歌區,33,40118,80.14
21815,2023-01-21,新北市,鶯歌區,91,40085,86.14
22187,2023-01-20,新北市,鶯歌區,92,39994,79.86
22554,2023-01-19,新北市,鶯歌區,79,39902,82.43
22925,2023-01-18,新北市,鶯歌區,81,39823,83.43
23297,2023-01-17,新北市,鶯歌區,98,39742,84.00
23661,2023-01-16,新北市,鶯歌區,87,39644,83.14
24037,2023-01-15,新北市,鶯歌區,75,39557,81.43
24404,2023-01-14,新北市,鶯歌區,47,39482,81.71
24772,2023-01-13,新北市,鶯歌區,110,39435,86.14
25140,2023-01-12,新北市,鶯歌區,86,39325,83.43
25515,2023-01-11,新北市,鶯歌區,85,39239,89.14
25891,2023-01-10,新北市,鶯歌區,92,39154,92.43
26263,2023-01-09,新北市,鶯歌區,75,39062,99.14
26642,2023-01-08,新北市,鶯歌區,77,38987,99.43
26999,2023-01-07,新北市,鶯歌區,78,38910,97.71
27370,2023-01-06,新北市,鶯歌區,91,38832,105.00
27746,2023-01-05,新北市,鶯歌區,126,38741,104.29
28126,2023-01-04,新北市,鶯歌區,108,38615,102.86
28507,2023-01-03,新北市,鶯歌區,139,38507,103.29
28889,2023-01-02,新北市,鶯歌區,77,38368,102.00
29260,2023-01-01,新北市,鶯歌區,65,38291,104.43
29622,2022-12-31,新北市,鶯歌區,129,38226,105.29
29988,2022-12-30,新北市,鶯歌區,86,38097,98.86
30360,2022-12-29,新北市,鶯歌區,116,38011,96.86
30733,2022-12-28,新北市,鶯歌區,111,37895,90.57
31103,2022-12-27,新北市,鶯歌區,130,37784,84.14
31480,2022-12-26,新北市,鶯歌區,94,37654,80.00
31852,2022-12-25,新北市,鶯歌區,71,37560,76.14
32206,2022-12-24,新北市,鶯歌區,84,37489,69.71
32566,2022-12-23,新北市,鶯歌區,72,37405,65.43
32930,2022-12-22,新北市,鶯歌區,72,37333,64.29
33297,2022-12-21,新北市,鶯歌區,66,37261,62.86
33667,2022-12-20,新北市,鶯歌區,101,37195,63.14
34030,2022-12-19,新北市,鶯歌區,67,37094,58.14
34401,2022-12-18,新北市,鶯歌區,26,37027,59.00
34749,2022-12-17,新北市,鶯歌區,54,37001,61.43
35109,2022-12-16,新北市,鶯歌區,64,36947,59.29
35474,2022-12-15,新北市,鶯歌區,62,36883,59.57
35845,2022-12-14,新北市,鶯歌區,68,36821,58.86
36204,2022-12-13,新北市,鶯歌區,66,36753,57.29
36578,2022-12-12,新北市,鶯歌區,73,36687,57.57
36949,2022-12-11,新北市,鶯歌區,43,36614,53.14
37301,2022-12-10,新北市,鶯歌區,39,36571,52.29
37670,2022-12-09,新北市,鶯歌區,66,36532,53.43
38035,2022-12-08,新北市,鶯歌區,57,36466,52.86
38408,2022-12-07,新北市,鶯歌區,57,36409,51.14
38780,2022-12-06,新北市,鶯歌區,68,36352,53.29
39151,2022-12-05,新北市,鶯歌區,42,36284,52.71
39529,2022-12-04,新北市,鶯歌區,37,36242,54.14
39895,2022-12-03,新北市,鶯歌區,47,36205,58.14
40264,2022-12-02,新北市,鶯歌區,62,36158,59.14
40634,2022-12-01,新北市,鶯歌區,45,36096,57.00
41003,2022-11-30,新北市,鶯歌區,72,36051,59.57
41374,2022-11-29,新北市,鶯歌區,64,35979,57.00
41754,2022-11-28,新北市,鶯歌區,52,35915,56.43
42132,2022-11-27,新北市,鶯歌區,65,35863,54.86
42493,2022-11-26,新北市,鶯歌區,54,35798,50.14
42849,2022-11-25,新北市,鶯歌區,47,35744,50.86
43220,2022-11-24,新北市,鶯歌區,63,35697,51.71
43590,2022-11-23,新北市,鶯歌區,54,35634,51.43
43962,2022-11-22,新北市,鶯歌區,60,35580,53.86
44335,2022-11-21,新北市,鶯歌區,41,35520,54.29
44718,2022-11-20,新北市,鶯歌區,32,35479,51.57
45081,2022-11-19,新北市,鶯歌區,59,35447,56.14
45455,2022-11-18,新北市,鶯歌區,53,35388,57.29
45827,2022-11-17,新北市,鶯歌區,61,35335,57.86
46200,2022-11-16,新北市,鶯歌區,71,35274,59.14
46580,2022-11-15,新北市,鶯歌區,63,35203,57.43
46961,2022-11-14,新北市,鶯歌區,22,35140,60.00
47342,2022-11-13,新北市,鶯歌區,64,35118,69.43
47712,2022-11-12,新北市,鶯歌區,67,35054,69.43
48089,2022-11-11,新北市,鶯歌區,57,34987,73.14
48468,2022-11-10,新北市,鶯歌區,70,34930,78.00
48851,2022-11-09,新北市,鶯歌區,59,34860,82.57
49234,2022-11-08,新北市,鶯歌區,81,34801,89.14
49619,2022-11-07,新北市,鶯歌區,88,34720,97.71
50004,2022-11-06,新北市,鶯歌區,64,34632,99.71
50373,2022-11-05,新北市,鶯歌區,93,34568,100.43
50748,2022-11-04,新北市,鶯歌區,91,34475,106.43
51134,2022-11-03,新北市,鶯歌區,102,34384,109.29
51514,2022-11-02,新北市,鶯歌區,105,34282,112.57
51900,2022-11-01,新北市,鶯歌區,141,34177,117.29
52285,2022-10-31,新北市,鶯歌區,102,34036,117.86
52668,2022-10-30,新北市,鶯歌區,69,33934,126.14
53047,2022-10-29,新北市,鶯歌區,135,33865,131.43
53426,2022-10-28,新北市,鶯歌區,111,33730,133.00
53813,2022-10-27,新北市,鶯歌區,125,33619,139.86
54200,2022-10-26,新北市,鶯歌區,138,33494,138.00
54584,2022-10-25,新北市,鶯歌區,145,33356,140.14
54973,2022-10-24,新北市,鶯歌區,160,33211,146.14
55363,2022-10-23,新北市,鶯歌區,106,33051,144.57
55740,2022-10-22,新北市,鶯歌區,146,32945,150.00
56125,2022-10-21,新北市,鶯歌區,159,32799,150.14
56515,2022-10-20,新北市,鶯歌區,112,32640,150.57
56900,2022-10-19,新北市,鶯歌區,153,32528,159.29
57287,2022-10-18,新北市,鶯歌區,187,32375,165.71
57677,2022-10-17,新北市,鶯歌區,149,32188,167.29
58067,2022-10-16,新北市,鶯歌區,144,32039,167.00
58451,2022-10-15,新北市,鶯歌區,147,31895,165.86
58836,2022-10-14,新北市,鶯歌區,162,31748,169.29
59226,2022-10-13,新北市,鶯歌區,173,31586,168.14
59617,2022-10-12,新北市,鶯歌區,198,31413,174.00
60006,2022-10-11,新北市,鶯歌區,198,31215,175.00
60398,2022-10-10,新北市,鶯歌區,147,31017,179.43
60782,2022-10-09,新北市,鶯歌區,136,30870,185.29
61169,2022-10-08,新北市,鶯歌區,171,30734,187.29
