UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
194,2023-04-02,新竹市,全區,1,209,0.14
369,2023-03-23,新竹市,全區,1,208,0.43
585,2023-03-17,新竹市,全區,2,207,0.71
627,2023-03-16,新竹市,全區,1,205,0.43
706,2023-03-14,新竹市,全區,1,204,0.43
791,2023-03-12,新竹市,全區,1,203,0.43
931,2023-03-09,新竹市,全區,1,202,0.71
1032,2023-03-07,新竹市,全區,1,201,0.57
1181,2023-03-04,新竹市,全區,3,200,0.71
1448,2023-02-27,新竹市,全區,1,197,0.71
1513,2023-02-26,新竹市,全區,1,196,0.57
1628,2023-02-24,新竹市,全區,1,195,0.71
1682,2023-02-23,新竹市,全區,2,194,0.57
1919,2023-02-19,新竹市,全區,1,192,1.00
1976,2023-02-18,新竹市,全區,1,191,1.14
2088,2023-02-16,新竹市,全區,3,190,1.14
2151,2023-02-15,新竹市,全區,1,187,0.86
2216,2023-02-14,新竹市,全區,1,186,0.71
2345,2023-02-12,新竹市,全區,2,185,1.00
2474,2023-02-10,新竹市,全區,1,183,0.71
2540,2023-02-09,新竹市,全區,1,182,0.71
2685,2023-02-07,新竹市,全區,2,181,0.86
2746,2023-02-06,新竹市,全區,1,179,0.57
2923,2023-02-03,新竹市,全區,1,178,0.57
3059,2023-02-01,新竹市,全區,2,177,0.43
3235,2023-01-29,新竹市,全區,1,175,0.57
3450,2023-01-25,新竹市,全區,1,174,0.71
3504,2023-01-24,新竹市,全區,1,173,0.57
3556,2023-01-23,新竹市,全區,1,172,0.43
3611,2023-01-22,新竹市,全區,1,171,0.43
3745,2023-01-19,新竹市,全區,1,170,0.71
3888,2023-01-16,新竹市,全區,1,169,0.71
4003,2023-01-14,新竹市,全區,1,168,1.00
4058,2023-01-13,新竹市,全區,2,167,0.86
4193,2023-01-10,新竹市,全區,1,165,0.86
4291,2023-01-08,新竹市,全區,3,164,0.86
4439,2023-01-05,新竹市,全區,1,161,0.57
4485,2023-01-04,新竹市,全區,1,160,0.43
4544,2023-01-03,新竹市,全區,1,159,0.29
4708,2022-12-31,新竹市,全區,1,158,0.57
4876,2022-12-27,新竹市,全區,1,157,0.57
4965,2022-12-25,新竹市,全區,2,156,0.43
5068,2022-12-22,新竹市,全區,1,154,0.43
5254,2022-12-17,新竹市,全區,1,153,0.43
5294,2022-12-16,新竹市,全區,1,152,0.29
5450,2022-12-12,新竹市,全區,1,151,0.29
5592,2022-12-08,新竹市,全區,1,150,0.14
5975,2022-11-28,新竹市,全區,1,149,0.43
6138,2022-11-24,新竹市,全區,1,148,0.29
6182,2022-11-23,新竹市,全區,1,147,0.14
6673,2022-11-13,新竹市,全區,2,146,0.57
6734,2022-11-12,新竹市,全區,2,144,0.29
7320,2022-11-02,新竹市,全區,1,142,0.71
7387,2022-11-01,新竹市,全區,2,141,0.86
7574,2022-10-29,新竹市,全區,2,139,0.57
7785,2022-10-26,新竹市,全區,2,137,0.71
8069,2022-10-22,新竹市,全區,1,135,0.57
8137,2022-10-21,新竹市,全區,1,134,0.57
8216,2022-10-20,新竹市,全區,1,133,0.86
8429,2022-10-17,新竹市,全區,1,132,0.71
8564,2022-10-15,新竹市,全區,1,131,0.71
8634,2022-10-14,新竹市,全區,3,130,0.71
8990,2022-10-09,新竹市,全區,1,127,0.71
9045,2022-10-08,新竹市,全區,1,126,0.57
9103,2022-10-07,新竹市,全區,1,125,0.57
9318,2022-10-04,新竹市,全區,1,124,0.71
9383,2022-10-03,新竹市,全區,1,123,0.71
9520,2022-10-01,新竹市,全區,1,122,1.00
9578,2022-09-30,新竹市,全區,1,121,0.86
9638,2022-09-29,新竹市,全區,1,120,0.86
9753,2022-09-27,新竹市,全區,1,119,1.14
9819,2022-09-26,新竹市,全區,2,118,1.14
9878,2022-09-25,新竹市,全區,1,116,1.00
9989,2022-09-23,新竹市,全區,1,115,1.29
10056,2022-09-22,新竹市,全區,3,114,1.14
10169,2022-09-20,新竹市,全區,1,111,1.14
10215,2022-09-19,新竹市,全區,1,110,1.14
10263,2022-09-18,新竹市,全區,1,109,1.00
10315,2022-09-17,新竹市,全區,2,108,1.00
10434,2022-09-15,新竹市,全區,1,106,1.00
10491,2022-09-14,新竹市,全區,2,105,0.86
10543,2022-09-13,新竹市,全區,1,103,0.57
10650,2022-09-11,新竹市,全區,1,102,0.57
10694,2022-09-10,新竹市,全區,1,101,0.43
10751,2022-09-09,新竹市,全區,1,100,0.57
10878,2022-09-06,新竹市,全區,1,99,0.57
11015,2022-09-03,新竹市,全區,2,98,0.57
11056,2022-09-02,新竹市,全區,1,96,0.43
11171,2022-08-30,新竹市,全區,1,95,0.43
11298,2022-08-27,新竹市,全區,1,94,0.71
11372,2022-08-25,新竹市,全區,1,93,0.86
11444,2022-08-23,新竹市,全區,1,92,0.71
11485,2022-08-22,新竹市,全區,1,91,0.86
11527,2022-08-21,新竹市,全區,1,90,0.71
11559,2022-08-20,新竹市,全區,1,89,0.57
11596,2022-08-19,新竹市,全區,1,88,0.43
11692,2022-08-16,新竹市,全區,2,87,0.29
11961,2022-08-09,新竹市,全區,1,85,0.43
12002,2022-08-08,新竹市,全區,1,84,0.29
12167,2022-08-04,新竹市,全區,1,83,0.43
12415,2022-07-30,新竹市,全區,1,82,0.57
12462,2022-07-29,新竹市,全區,1,81,0.43
12573,2022-07-27,新竹市,全區,1,80,0.43
12631,2022-07-26,新竹市,全區,1,79,0.29
12910,2022-07-21,新竹市,全區,1,78,0.57
13033,2022-07-19,新竹市,全區,1,77,0.71
13156,2022-07-17,新竹市,全區,2,76,0.57
13432,2022-07-13,新竹市,全區,2,74,0.71
13651,2022-07-10,新竹市,全區,1,72,1.14
13718,2022-07-09,新竹市,全區,2,71,1.00
13940,2022-07-06,新竹市,全區,3,69,1.00
14028,2022-07-05,新竹市,全區,1,66,0.86
14114,2022-07-04,新竹市,全區,1,65,1.00
14387,2022-07-01,新竹市,全區,1,64,1.00
14479,2022-06-30,新竹市,全區,1,63,1.00
