UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
87,2023-06-14,新竹市,全區,18,229655,2.57
348,2023-03-25,新竹市,全區,1,229637,32.71
383,2023-03-23,新竹市,全區,2,229636,86.29
476,2023-03-21,新竹市,全區,13,229634,146.00
615,2023-03-20,新竹市,全區,67,229621,187.14
899,2023-03-19,新竹市,全區,146,229554,211.86
1227,2023-03-18,新竹市,全區,209,229408,212.29
1567,2023-03-17,新竹市,全區,167,229199,215.14
1919,2023-03-16,新竹市,全區,175,229032,221.14
2272,2023-03-15,新竹市,全區,245,228857,228.00
2623,2023-03-14,新竹市,全區,301,228612,224.86
2980,2023-03-13,新竹市,全區,240,228311,224.00
3339,2023-03-12,新竹市,全區,149,228071,221.00
3684,2023-03-11,新竹市,全區,229,227922,226.57
4037,2023-03-10,新竹市,全區,209,227693,230.43
4392,2023-03-09,新竹市,全區,223,227484,234.29
4751,2023-03-08,新竹市,全區,223,227261,257.14
5105,2023-03-07,新竹市,全區,295,227038,264.86
5464,2023-03-06,新竹市,全區,219,226743,260.43
5829,2023-03-05,新竹市,全區,188,226524,258.86
6168,2023-03-04,新竹市,全區,256,226336,251.71
6520,2023-03-03,新竹市,全區,236,226080,260.86
6879,2023-03-02,新竹市,全區,383,225844,272.43
7243,2023-03-01,新竹市,全區,277,225461,257.86
7614,2023-02-28,新竹市,全區,264,225184,266.43
7977,2023-02-27,新竹市,全區,208,224920,288.00
8336,2023-02-26,新竹市,全區,138,224712,313.14
8681,2023-02-25,新竹市,全區,320,224574,326.71
9051,2023-02-24,新竹市,全區,317,224254,335.29
9412,2023-02-23,新竹市,全區,281,223937,334.71
9782,2023-02-22,新竹市,全區,337,223656,345.71
10157,2023-02-21,新竹市,全區,415,223319,355.29
10526,2023-02-20,新竹市,全區,384,222904,365.57
10906,2023-02-19,新竹市,全區,233,222520,375.57
11264,2023-02-18,新竹市,全區,380,222287,378.71
11631,2023-02-17,新竹市,全區,313,221907,386.29
12003,2023-02-16,新竹市,全區,358,221594,404.43
12378,2023-02-15,新竹市,全區,404,221236,423.14
12751,2023-02-14,新竹市,全區,487,220832,442.57
13123,2023-02-13,新竹市,全區,454,220345,459.00
13502,2023-02-12,新竹市,全區,255,219891,468.43
13859,2023-02-11,新竹市,全區,433,219636,491.00
14231,2023-02-10,新竹市,全區,440,219203,513.57
14605,2023-02-09,新竹市,全區,489,218763,530.86
14981,2023-02-08,新竹市,全區,540,218274,545.71
15360,2023-02-07,新竹市,全區,602,217734,553.86
15739,2023-02-06,新竹市,全區,520,217132,586.86
16121,2023-02-05,新竹市,全區,413,216612,612.00
16489,2023-02-04,新竹市,全區,591,216199,632.86
16868,2023-02-03,新竹市,全區,561,215608,655.86
17254,2023-02-02,新竹市,全區,593,215047,663.71
17637,2023-02-01,新竹市,全區,597,214454,654.00
18014,2023-01-31,新竹市,全區,833,213857,630.29
18399,2023-01-30,新竹市,全區,696,213024,569.86
18788,2023-01-29,新竹市,全區,559,212328,519.29
19164,2023-01-28,新竹市,全區,752,211769,475.86
19543,2023-01-27,新竹市,全區,616,211017,448.71
19921,2023-01-26,新竹市,全區,525,210401,420.71
20298,2023-01-25,新竹市,全區,431,209876,416.14
20663,2023-01-24,新竹市,全區,410,209445,426.43
21038,2023-01-23,新竹市,全區,342,209035,449.57
21405,2023-01-22,新竹市,全區,255,208693,475.00
21769,2023-01-21,新竹市,全區,562,208438,498.43
22141,2023-01-20,新竹市,全區,420,207876,498.57
22508,2023-01-19,新竹市,全區,493,207456,512.57
22879,2023-01-18,新竹市,全區,503,206963,519.86
23251,2023-01-17,新竹市,全區,572,206460,532.00
23615,2023-01-16,新竹市,全區,520,205888,554.14
23991,2023-01-15,新竹市,全區,419,205368,569.14
24358,2023-01-14,新竹市,全區,563,204949,568.14
24726,2023-01-13,新竹市,全區,518,204386,583.00
25094,2023-01-12,新竹市,全區,544,203868,605.29
25469,2023-01-11,新竹市,全區,588,203324,643.29
25845,2023-01-10,新竹市,全區,727,202736,687.86
26217,2023-01-09,新竹市,全區,625,202009,726.71
26596,2023-01-08,新竹市,全區,412,201384,728.29
26953,2023-01-07,新竹市,全區,667,200972,737.86
27324,2023-01-06,新竹市,全區,674,200305,754.00
27700,2023-01-05,新竹市,全區,810,199631,773.86
28080,2023-01-04,新竹市,全區,900,198821,786.00
28461,2023-01-03,新竹市,全區,999,197921,797.86
28843,2023-01-02,新竹市,全區,636,196922,791.86
29214,2023-01-01,新竹市,全區,479,196286,806.29
29576,2022-12-31,新竹市,全區,780,195807,800.14
29942,2022-12-30,新竹市,全區,813,195027,783.43
30314,2022-12-29,新竹市,全區,895,194214,750.29
30687,2022-12-28,新竹市,全區,983,193319,705.57
31057,2022-12-27,新竹市,全區,957,192336,657.14
31434,2022-12-26,新竹市,全區,737,191379,599.86
31806,2022-12-25,新竹市,全區,436,190642,568.86
32160,2022-12-24,新竹市,全區,663,190206,545.71
32520,2022-12-23,新竹市,全區,581,189543,521.00
32884,2022-12-22,新竹市,全區,582,188962,505.57
33251,2022-12-21,新竹市,全區,644,188380,487.86
33621,2022-12-20,新竹市,全區,556,187736,467.86
33984,2022-12-19,新竹市,全區,520,187180,467.71
34355,2022-12-18,新竹市,全區,274,186660,464.71
34703,2022-12-17,新竹市,全區,490,186386,473.00
35063,2022-12-16,新竹市,全區,473,185896,469.71
35428,2022-12-15,新竹市,全區,458,185423,465.43
35799,2022-12-14,新竹市,全區,504,184965,461.57
36158,2022-12-13,新竹市,全區,555,184461,455.57
36532,2022-12-12,新竹市,全區,499,183906,457.86
36904,2022-12-11,新竹市,全區,332,183407,451.43
37255,2022-12-10,新竹市,全區,467,183075,450.43
37624,2022-12-09,新竹市,全區,443,182608,442.57
37989,2022-12-08,新竹市,全區,431,182165,431.00
38362,2022-12-07,新竹市,全區,462,181734,426.00
38734,2022-12-06,新竹市,全區,571,181272,437.29
39105,2022-12-05,新竹市,全區,454,180701,432.57
39483,2022-12-04,新竹市,全區,325,180247,429.57
39849,2022-12-03,新竹市,全區,412,179922,420.14
40218,2022-12-02,新竹市,全區,362,179510,419.29
40588,2022-12-01,新竹市,全區,396,179148,428.57
40957,2022-11-30,新竹市,全區,541,178752,422.57
41328,2022-11-29,新竹市,全區,538,178211,412.43
41708,2022-11-28,新竹市,全區,433,177673,412.71
42086,2022-11-27,新竹市,全區,259,177240,414.71
42447,2022-11-26,新竹市,全區,406,176981,421.57
42803,2022-11-25,新竹市,全區,427,176575,433.00
43174,2022-11-24,新竹市,全區,354,176148,431.71
43544,2022-11-23,新竹市,全區,470,175794,447.43
43916,2022-11-22,新竹市,全區,540,175324,449.43
44289,2022-11-21,新竹市,全區,447,174784,449.71
44672,2022-11-20,新竹市,全區,307,174337,444.00
45035,2022-11-19,新竹市,全區,486,174030,464.00
45409,2022-11-18,新竹市,全區,418,173544,455.00
45781,2022-11-17,新竹市,全區,464,173126,458.71
46154,2022-11-16,新竹市,全區,484,172662,457.43
46534,2022-11-15,新竹市,全區,542,172178,467.00
46915,2022-11-14,新竹市,全區,407,171636,480.00
47296,2022-11-13,新竹市,全區,447,171229,492.86
47666,2022-11-12,新竹市,全區,423,170782,476.86
48043,2022-11-11,新竹市,全區,444,170359,501.71
48422,2022-11-10,新竹市,全區,455,169915,524.86
48805,2022-11-09,新竹市,全區,551,169460,545.43
49188,2022-11-08,新竹市,全區,633,168909,568.86
49573,2022-11-07,新竹市,全區,497,168276,586.71
49958,2022-11-06,新竹市,全區,335,167779,622.00
50327,2022-11-05,新竹市,全區,597,167444,651.43
50702,2022-11-04,新竹市,全區,606,166847,683.57
51088,2022-11-03,新竹市,全區,599,166241,705.71
51468,2022-11-02,新竹市,全區,715,165642,728.71
51854,2022-11-01,新竹市,全區,758,164927,742.71
52239,2022-10-31,新竹市,全區,744,164169,772.71
52622,2022-10-30,新竹市,全區,541,163425,777.71
53001,2022-10-29,新竹市,全區,822,162884,784.14
