UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
143,2023-06-14,新竹市,北區,7,71518,1.00
394,2023-03-23,新竹市,北區,2,71511,26.00
515,2023-03-21,新竹市,北區,4,71509,42.86
680,2023-03-20,新竹市,北區,17,71505,57.57
970,2023-03-19,新竹市,北區,47,71488,65.57
1299,2023-03-18,新竹市,北區,54,71441,65.86
1638,2023-03-17,新竹市,北區,58,71387,65.86
1991,2023-03-16,新竹市,北區,47,71329,66.86
2343,2023-03-15,新竹市,北區,73,71282,71.00
2694,2023-03-14,新竹市,北區,107,71209,72.00
3052,2023-03-13,新竹市,北區,73,71102,71.14
3410,2023-03-12,新竹市,北區,49,71029,68.43
3756,2023-03-11,新竹市,北區,54,70980,70.86
4108,2023-03-10,新竹市,北區,65,70926,75.71
4464,2023-03-09,新竹市,北區,76,70861,77.00
4823,2023-03-08,新竹市,北區,80,70785,80.86
5176,2023-03-07,新竹市,北區,101,70705,83.43
5536,2023-03-06,新竹市,北區,54,70604,82.29
5900,2023-03-05,新竹市,北區,66,70550,85.14
6239,2023-03-04,新竹市,北區,88,70484,81.00
6592,2023-03-03,新竹市,北區,74,70396,79.57
6951,2023-03-02,新竹市,北區,103,70322,84.14
7315,2023-03-01,新竹市,北區,98,70219,81.29
7686,2023-02-28,新竹市,北區,93,70121,82.57
8049,2023-02-27,新竹市,北區,74,70028,85.86
8408,2023-02-26,新竹市,北區,37,69954,89.29
8752,2023-02-25,新竹市,北區,78,69917,94.71
9122,2023-02-24,新竹市,北區,106,69839,98.29
9483,2023-02-23,新竹市,北區,83,69733,96.29
9854,2023-02-22,新竹市,北區,107,69650,99.14
10228,2023-02-21,新竹市,北區,116,69543,103.86
10598,2023-02-20,新竹市,北區,98,69427,109.14
10977,2023-02-19,新竹市,北區,75,69329,115.43
11336,2023-02-18,新竹市,北區,103,69254,118.57
11702,2023-02-17,新竹市,北區,92,69151,124.00
12075,2023-02-16,新竹市,北區,103,69059,130.43
12450,2023-02-15,新竹市,北區,140,68956,139.57
12823,2023-02-14,新竹市,北區,153,68816,144.86
13195,2023-02-13,新竹市,北區,142,68663,148.14
13573,2023-02-12,新竹市,北區,97,68521,147.57
13931,2023-02-11,新竹市,北區,141,68424,152.14
14303,2023-02-10,新竹市,北區,137,68283,157.71
14676,2023-02-09,新竹市,北區,167,68146,162.14
15053,2023-02-08,新竹市,北區,177,67979,164.57
15432,2023-02-07,新竹市,北區,176,67802,166.86
15811,2023-02-06,新竹市,北區,138,67626,180.43
16192,2023-02-05,新竹市,北區,129,67488,187.29
16561,2023-02-04,新竹市,北區,180,67359,197.86
16940,2023-02-03,新竹市,北區,168,67179,205.71
17326,2023-02-02,新竹市,北區,184,67011,209.86
17709,2023-02-01,新竹市,北區,193,66827,205.29
18086,2023-01-31,新竹市,北區,271,66634,197.71
18471,2023-01-30,新竹市,北區,186,66363,175.71
