UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
593,2023-03-17,新竹市,東區,1,84,0.29
636,2023-03-16,新竹市,東區,1,83,0.14
1037,2023-03-07,新竹市,東區,1,82,0.29
1192,2023-03-04,新竹市,東區,1,81,0.14
1695,2023-02-23,新竹市,東區,1,80,0.43
1925,2023-02-19,新竹市,東區,1,79,0.43
1985,2023-02-18,新竹市,東區,1,78,0.43
2099,2023-02-16,新竹市,東區,1,77,0.43
2359,2023-02-12,新竹市,東區,1,76,0.43
2485,2023-02-10,新竹市,東區,1,75,0.29
2694,2023-02-07,新竹市,東區,1,74,0.43
2931,2023-02-03,新竹市,東區,1,73,0.29
3074,2023-02-01,新竹市,東區,1,72,0.14
3464,2023-01-25,新竹市,東區,1,71,0.71
3511,2023-01-24,新竹市,東區,1,70,0.57
3565,2023-01-23,新竹市,東區,1,69,0.43
3617,2023-01-22,新竹市,東區,1,68,0.29
3753,2023-01-19,新竹市,東區,1,67,0.43
4065,2023-01-13,新竹市,東區,2,66,0.57
4299,2023-01-08,新竹市,東區,2,64,0.57
4447,2023-01-05,新竹市,東區,1,62,0.43
4555,2023-01-03,新竹市,東區,1,61,0.29
4716,2022-12-31,新竹市,東區,1,60,0.29
4971,2022-12-25,新竹市,東區,1,59,0.14
5262,2022-12-17,新竹市,東區,1,58,0.29
5300,2022-12-16,新竹市,東區,1,57,0.14
6194,2022-11-23,新竹市,東區,1,56,0.14
6682,2022-11-13,新竹市,東區,1,55,0.29
6744,2022-11-12,新竹市,東區,1,54,0.14
7400,2022-11-01,新竹市,東區,1,53,0.43
7586,2022-10-29,新竹市,東區,1,52,0.29
7803,2022-10-26,新竹市,東區,1,51,0.43
8087,2022-10-22,新竹市,東區,1,50,0.29
8234,2022-10-20,新竹市,東區,1,49,0.29
8650,2022-10-14,新竹市,東區,1,48,0.29
9002,2022-10-09,新竹市,東區,1,47,0.43
9118,2022-10-07,新竹市,東區,1,46,0.43
9334,2022-10-04,新竹市,東區,1,45,0.57
9530,2022-10-01,新竹市,東區,1,44,0.57
9585,2022-09-30,新竹市,東區,1,43,0.43
9653,2022-09-29,新竹市,東區,1,42,0.43
9831,2022-09-26,新竹市,東區,1,41,0.57
9999,2022-09-23,新竹市,東區,1,40,0.57
10069,2022-09-22,新竹市,東區,1,39,0.43
10174,2022-09-20,新竹市,東區,1,38,0.29
10269,2022-09-18,新竹市,東區,1,37,0.14
10704,2022-09-10,新竹市,東區,1,36,0.29
10888,2022-09-06,新竹市,東區,1,35,0.14
11301,2022-08-27,新竹市,東區,1,34,0.43
11450,2022-08-23,新竹市,東區,1,33,0.43
11495,2022-08-22,新竹市,東區,1,32,0.29
11602,2022-08-19,新竹市,東區,1,31,0.14
12644,2022-07-26,新竹市,東區,1,30,0.14
13050,2022-07-19,新竹市,東區,1,29,0.29
13445,2022-07-13,新竹市,東區,1,28,0.14
14501,2022-06-30,新竹市,東區,1,27,0.71
14607,2022-06-29,新竹市,東區,2,26,0.71
14698,2022-06-28,新竹市,東區,1,24,0.43
15090,2022-06-24,新竹市,東區,1,23,0.43
15192,2022-06-23,新竹市,東區,1,22,0.43
15422,2022-06-21,新竹市,東區,1,21,0.43
15892,2022-06-17,新竹市,東區,1,20,0.57
16142,2022-06-15,新竹市,東區,1,19,0.71
16524,2022-06-12,新竹市,東區,1,18,1.14
16648,2022-06-11,新竹市,東區,1,17,1.14
16882,2022-06-09,新竹市,東區,2,16,1.00
17008,2022-06-08,新竹市,東區,2,14,0.71
17137,2022-06-07,新竹市,東區,1,12,0.43
17273,2022-06-06,新竹市,東區,1,11,0.43
17384,2022-06-05,新竹市,東區,1,10,0.57
17992,2022-05-31,新竹市,東區,1,9,1.00
18116,2022-05-30,新竹市,東區,2,8,0.86
18239,2022-05-29,新竹市,東區,1,6,0.71
18442,2022-05-27,新竹市,東區,2,5,0.57
18639,2022-05-25,新竹市,東區,1,3,0.29
18822,2022-05-23,新竹市,東區,1,2,0.14
19342,2022-05-16,新竹市,東區,1,1,0.14
