UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
88,2023-06-14,新竹市,東區,6,117615,0.86
349,2023-03-25,新竹市,東區,1,117609,15.00
477,2023-03-21,新竹市,東區,4,117608,76.57
616,2023-03-20,新竹市,東區,41,117604,98.00
900,2023-03-19,新竹市,東區,59,117563,110.71
1228,2023-03-18,新竹市,東區,101,117504,113.86
1568,2023-03-17,新竹市,東區,84,117403,119.71
1920,2023-03-16,新竹市,東區,104,117319,125.00
2273,2023-03-15,新竹市,東區,143,117215,127.14
2624,2023-03-14,新竹市,東區,154,117072,124.00
2981,2023-03-13,新竹市,東區,130,116918,123.43
3340,2023-03-12,新竹市,東區,81,116788,122.14
3685,2023-03-11,新竹市,東區,142,116707,124.71
4038,2023-03-10,新竹市,東區,121,116565,121.71
4393,2023-03-09,新竹市,東區,119,116444,122.14
4752,2023-03-08,新竹市,東區,121,116325,138.86
5106,2023-03-07,新竹市,東區,150,116204,140.57
5465,2023-03-06,新竹市,東區,121,116054,138.29
5830,2023-03-05,新竹市,東區,99,115933,136.00
6169,2023-03-04,新竹市,東區,121,115834,131.14
6521,2023-03-03,新竹市,東區,124,115713,140.86
6880,2023-03-02,新竹市,東區,236,115589,144.29
7244,2023-03-01,新竹市,東區,133,115353,131.57
7615,2023-02-28,新竹市,東區,134,115220,138.86
7978,2023-02-27,新竹市,東區,105,115086,154.43
8337,2023-02-26,新竹市,東區,65,114981,168.86
8682,2023-02-25,新竹市,東區,189,114916,174.57
9052,2023-02-24,新竹市,東區,148,114727,177.57
9413,2023-02-23,新竹市,東區,147,114579,177.71
9783,2023-02-22,新竹市,東區,184,114432,183.71
10158,2023-02-21,新竹市,東區,243,114248,186.71
10527,2023-02-20,新竹市,東區,206,114005,187.57
10907,2023-02-19,新竹市,東區,105,113799,191.86
11265,2023-02-18,新竹市,東區,210,113694,195.57
11632,2023-02-17,新竹市,東區,149,113484,199.43
12004,2023-02-16,新竹市,東區,189,113335,211.00
12379,2023-02-15,新竹市,東區,205,113146,220.43
12752,2023-02-14,新竹市,東區,249,112941,229.43
13124,2023-02-13,新竹市,東區,236,112692,240.00
13503,2023-02-12,新竹市,東區,131,112456,247.86
13860,2023-02-11,新竹市,東區,237,112325,258.86
14232,2023-02-10,新竹市,東區,230,112088,270.57
14606,2023-02-09,新竹市,東區,255,111858,278.86
14982,2023-02-08,新竹市,東區,268,111603,286.43
15361,2023-02-07,新竹市,東區,323,111335,293.43
15740,2023-02-06,新竹市,東區,291,111012,308.00
16122,2023-02-05,新竹市,東區,208,110721,322.43
16490,2023-02-04,新竹市,東區,319,110513,332.14
16869,2023-02-03,新竹市,東區,288,110194,342.71
17255,2023-02-02,新竹市,東區,308,109906,343.57
17638,2023-02-01,新竹市,東區,317,109598,338.71
18015,2023-01-31,新竹市,東區,425,109281,323.57
18400,2023-01-30,新竹市,東區,392,108856,291.86
18789,2023-01-29,新竹市,東區,276,108464,261.14
19165,2023-01-28,新竹市,東區,393,108188,242.00
19544,2023-01-27,新竹市,東區,294,107795,226.29
19922,2023-01-26,新竹市,東區,274,107501,215.71
20299,2023-01-25,新竹市,東區,211,107227,213.14
20664,2023-01-24,新竹市,東區,203,107016,218.43
21039,2023-01-23,新竹市,東區,177,106813,232.57
21406,2023-01-22,新竹市,東區,142,106636,247.00
21770,2023-01-21,新竹市,東區,283,106494,252.86
22142,2023-01-20,新竹市,東區,220,106211,255.29
22509,2023-01-19,新竹市,東區,256,105991,261.86
22880,2023-01-18,新竹市,東區,248,105735,266.43
23252,2023-01-17,新竹市,東區,302,105487,272.00
23616,2023-01-16,新竹市,東區,278,105185,283.43
23992,2023-01-15,新竹市,東區,183,104907,293.71
24359,2023-01-14,新竹市,東區,300,104724,294.14
24727,2023-01-13,新竹市,東區,266,104424,302.71
25095,2023-01-12,新竹市,東區,288,104158,319.14
25470,2023-01-11,新竹市,東區,287,103870,338.43
25846,2023-01-10,新竹市,東區,382,103583,369.00
26218,2023-01-09,新竹市,東區,350,103201,394.86
26597,2023-01-08,新竹市,東區,186,102851,395.43
26954,2023-01-07,新竹市,東區,360,102665,400.71
27325,2023-01-06,新竹市,東區,381,102305,409.86
27701,2023-01-05,新竹市,東區,423,101924,417.86
28081,2023-01-04,新竹市,東區,501,101501,427.86
28462,2023-01-03,新竹市,東區,563,101000,435.14
28844,2023-01-02,新竹市,東區,354,100437,432.71
29215,2023-01-01,新竹市,東區,223,100083,442.29
29577,2022-12-31,新竹市,東區,424,99860,437.71
29943,2022-12-30,新竹市,東區,437,99436,425.71
30315,2022-12-29,新竹市,東區,493,98999,410.14
30688,2022-12-28,新竹市,東區,552,98506,384.71
31058,2022-12-27,新竹市,東區,546,97954,357.71
31435,2022-12-26,新竹市,東區,421,97408,321.00
31807,2022-12-25,新竹市,東區,191,96987,304.29
32161,2022-12-24,新竹市,東區,340,96796,295.29
32521,2022-12-23,新竹市,東區,328,96456,284.57
32885,2022-12-22,新竹市,東區,315,96128,272.00
33252,2022-12-21,新竹市,東區,363,95813,263.43
33622,2022-12-20,新竹市,東區,289,95450,251.71
33985,2022-12-19,新竹市,東區,304,95161,249.29
34356,2022-12-18,新竹市,東區,128,94857,246.57
34704,2022-12-17,新竹市,東區,265,94729,249.14
35064,2022-12-16,新竹市,東區,240,94464,247.86
35429,2022-12-15,新竹市,東區,255,94224,245.71
35800,2022-12-14,新竹市,東區,281,93969,240.57
36159,2022-12-13,新竹市,東區,272,93688,232.29
36533,2022-12-12,新竹市,東區,285,93416,239.43
36905,2022-12-11,新竹市,東區,146,93131,232.71
37256,2022-12-10,新竹市,東區,256,92985,233.43
37625,2022-12-09,新竹市,東區,225,92729,228.86
37990,2022-12-08,新竹市,東區,219,92504,223.43
38363,2022-12-07,新竹市,東區,223,92285,219.71
