UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
109,2023-09-17,新竹市,全區,89.30,84.30,0.60,71.40,20.70,0.00,0.00,0.00
110,2023-09-17,新竹市,6個月-4歲,45.40,28.20,2.90,0.60,0.00,0.00,0.00,0.00
111,2023-09-17,新竹市,5-11歲,83.10,63.40,0.30,22.10,0.30,0.00,0.00,0.00
112,2023-09-17,新竹市,12-17歲,93.40,85.70,0.30,64.80,16.20,0.00,0.00,0.00
113,2023-09-17,新竹市,18-29歲,94.80,91.60,0.30,79.20,11.90,0.00,0.00,0.00
114,2023-09-17,新竹市,30-49歲,93.70,91.20,0.50,82.90,19.70,0.00,0.00,0.00
115,2023-09-17,新竹市,50-64歲,90.10,87.70,0.60,79.80,25.90,0.00,0.00,0.00
116,2023-09-17,新竹市,65-74歲,90.50,88.40,0.70,82.60,44.60,11.10,0.00,0.00
117,2023-09-17,新竹市,75歲以上,85.70,82.10,0.90,74.40,44.50,10.90,0.00,0.00
364,2023-09-10,新竹市,全區,89.30,84.30,0.60,71.40,20.70,0.00,0.00,0.00
365,2023-09-10,新竹市,6個月-4歲,45.70,28.30,2.90,0.60,0.00,0.00,0.00,0.00
366,2023-09-10,新竹市,5-11歲,83.10,63.40,0.30,22.10,0.30,0.00,0.00,0.00
367,2023-09-10,新竹市,12-17歲,93.40,85.70,0.30,64.90,16.20,0.00,0.00,0.00
368,2023-09-10,新竹市,18-29歲,94.90,91.70,0.30,79.30,11.90,0.00,0.00,0.00
369,2023-09-10,新竹市,30-49歲,93.60,91.20,0.50,82.90,19.70,0.00,0.00,0.00
370,2023-09-10,新竹市,50-64歲,90.10,87.70,0.60,79.80,25.90,0.00,0.00,0.00
371,2023-09-10,新竹市,65-74歲,90.40,88.30,0.70,82.50,44.60,11.10,0.00,0.00
372,2023-09-10,新竹市,75歲以上,85.60,82.00,0.90,74.30,44.50,10.90,0.00,0.00
619,2023-09-03,新竹市,全區,89.30,84.30,0.60,71.40,20.70,0.00,0.00,0.00
620,2023-09-03,新竹市,6個月-4歲,46.00,28.50,2.90,0.60,0.00,0.00,0.00,0.00
621,2023-09-03,新竹市,5-11歲,83.20,63.60,0.30,22.20,0.30,0.00,0.00,0.00
622,2023-09-03,新竹市,12-17歲,93.30,85.70,0.30,65.00,16.20,0.00,0.00,0.00
623,2023-09-03,新竹市,18-29歲,94.90,91.70,0.30,79.30,11.90,0.00,0.00,0.00
624,2023-09-03,新竹市,30-49歲,93.60,91.20,0.50,82.90,19.70,0.00,0.00,0.00
625,2023-09-03,新竹市,50-64歲,90.10,87.70,0.60,79.80,25.90,0.00,0.00,0.00
626,2023-09-03,新竹市,65-74歲,90.30,88.20,0.70,82.40,44.60,11.10,0.00,0.00
627,2023-09-03,新竹市,75歲以上,85.50,81.90,0.90,74.20,44.40,10.90,0.00,0.00
874,2023-08-27,新竹市,全區,89.30,84.30,0.60,71.40,20.70,0.00,0.00,0.00
875,2023-08-27,新竹市,6個月-4歲,46.30,28.70,2.90,0.50,0.00,0.00,0.00,0.00
876,2023-08-27,新竹市,5-11歲,83.40,63.70,0.30,22.30,0.30,0.00,0.00,0.00
877,2023-08-27,新竹市,12-17歲,93.20,85.70,0.30,65.10,16.30,0.00,0.00,0.00
878,2023-08-27,新竹市,18-29歲,95.00,91.80,0.30,79.40,11.90,0.00,0.00,0.00
879,2023-08-27,新竹市,30-49歲,93.70,91.20,0.50,82.90,19.70,0.00,0.00,0.00
880,2023-08-27,新竹市,50-64歲,90.00,87.60,0.60,79.70,25.90,0.00,0.00,0.00
881,2023-08-27,新竹市,65-74歲,90.30,88.20,0.70,82.40,44.60,11.10,0.00,0.00
882,2023-08-27,新竹市,75歲以上,85.40,81.80,0.90,74.10,44.30,10.90,0.00,0.00
1129,2023-08-20,新竹市,全區,89.40,84.40,0.60,71.50,20.80,0.00,0.00,0.00
1130,2023-08-20,新竹市,6個月-4歲,46.20,28.70,2.90,0.60,0.00,0.00,0.00,0.00
1131,2023-08-20,新竹市,5-11歲,83.60,63.90,0.30,22.40,0.30,0.00,0.00,0.00
1132,2023-08-20,新竹市,12-17歲,93.70,86.20,0.30,65.60,16.40,0.00,0.00,0.00
1133,2023-08-20,新竹市,18-29歲,94.90,91.70,0.30,79.30,11.90,0.00,0.00,0.00
1134,2023-08-20,新竹市,30-49歲,93.80,91.30,0.50,83.00,19.80,0.00,0.00,0.00
1135,2023-08-20,新竹市,50-64歲,90.10,87.70,0.60,79.80,25.90,0.00,0.00,0.00
1136,2023-08-20,新竹市,65-74歲,90.60,88.50,0.70,82.70,44.80,11.20,0.00,0.00
1137,2023-08-20,新竹市,75歲以上,85.40,81.80,0.90,74.10,44.30,10.90,0.00,0.00
1384,2023-08-13,新竹市,全區,89.40,84.40,0.60,71.50,20.80,0.00,0.00,0.00
1385,2023-08-13,新竹市,6個月-4歲,46.40,28.80,2.90,0.60,0.00,0.00,0.00,0.00
1386,2023-08-13,新竹市,5-11歲,83.70,64.00,0.30,22.50,0.30,0.00,0.00,0.00
1387,2023-08-13,新竹市,12-17歲,93.70,86.20,0.30,65.70,16.40,0.00,0.00,0.00
1388,2023-08-13,新竹市,18-29歲,94.90,91.80,0.30,79.30,11.90,0.00,0.00,0.00
1389,2023-08-13,新竹市,30-49歲,93.80,91.30,0.50,83.00,19.80,0.00,0.00,0.00
1390,2023-08-13,新竹市,50-64歲,90.10,87.70,0.60,79.70,25.90,0.00,0.00,0.00
1391,2023-08-13,新竹市,65-74歲,90.50,88.40,0.70,82.60,44.80,11.10,0.00,0.00
1392,2023-08-13,新竹市,75歲以上,85.30,81.70,0.90,74.10,44.30,10.90,0.00,0.00
1639,2023-08-06,新竹市,全區,89.40,84.50,0.60,71.50,20.80,0.00,0.00,0.00
1640,2023-08-06,新竹市,6個月-4歲,46.50,28.90,2.90,0.60,0.00,0.00,0.00,0.00
1641,2023-08-06,新竹市,5-11歲,83.80,64.10,0.30,22.50,0.30,0.00,0.00,0.00
1642,2023-08-06,新竹市,12-17歲,93.80,86.30,0.30,65.90,16.50,0.00,0.00,0.00
1643,2023-08-06,新竹市,18-29歲,95.00,91.80,0.30,79.40,11.80,0.00,0.00,0.00
1644,2023-08-06,新竹市,30-49歲,93.80,91.30,0.50,83.00,19.80,0.00,0.00,0.00
1645,2023-08-06,新竹市,50-64歲,90.10,87.70,0.60,79.70,25.90,0.00,0.00,0.00
