UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
157,2023-06-14,新竹市,香山區,5,40522,0.71
525,2023-03-21,新竹市,香山區,5,40517,26.57
702,2023-03-20,新竹市,香山區,9,40512,31.57
993,2023-03-19,新竹市,香山區,40,40503,35.57
1322,2023-03-18,新竹市,香山區,54,40463,32.57
1661,2023-03-17,新竹市,香山區,25,40409,29.57
2014,2023-03-16,新竹市,香山區,24,40384,29.29
2366,2023-03-15,新竹市,香山區,29,40360,29.86
2717,2023-03-14,新竹市,香山區,40,40331,28.86
3075,2023-03-13,新竹市,香山區,37,40291,29.43
3433,2023-03-12,新竹市,香山區,19,40254,30.43
3779,2023-03-11,新竹市,香山區,33,40235,31.00
4131,2023-03-10,新竹市,香山區,23,40202,33.00
4487,2023-03-09,新竹市,香山區,28,40179,35.14
4846,2023-03-08,新竹市,香山區,22,40151,37.43
5199,2023-03-07,新竹市,香山區,44,40129,40.86
5559,2023-03-06,新竹市,香山區,44,40085,39.86
5923,2023-03-05,新竹市,香山區,23,40041,37.71
6262,2023-03-04,新竹市,香山區,47,40018,39.57
6615,2023-03-03,新竹市,香山區,38,39971,40.43
6974,2023-03-02,新竹市,香山區,44,39933,44.00
7338,2023-03-01,新竹市,香山區,46,39889,45.00
7709,2023-02-28,新竹市,香山區,37,39843,45.00
8072,2023-02-27,新竹市,香山區,29,39806,47.71
8431,2023-02-26,新竹市,香山區,36,39777,55.00
8775,2023-02-25,新竹市,香山區,53,39741,57.43
9145,2023-02-24,新竹市,香山區,63,39688,59.43
9506,2023-02-23,新竹市,香山區,51,39625,60.71
9877,2023-02-22,新竹市,香山區,46,39574,62.86
10251,2023-02-21,新竹市,香山區,56,39528,64.71
10621,2023-02-20,新竹市,香山區,80,39472,68.86
11000,2023-02-19,新竹市,香山區,53,39392,68.29
11359,2023-02-18,新竹市,香山區,67,39339,64.57
11725,2023-02-17,新竹市,香山區,72,39272,62.86
12098,2023-02-16,新竹市,香山區,66,39200,63.00
12473,2023-02-15,新竹市,香山區,59,39134,63.14
12846,2023-02-14,新竹市,香山區,85,39075,68.29
13218,2023-02-13,新竹市,香山區,76,38990,70.86
13596,2023-02-12,新竹市,香山區,27,38914,73.00
13954,2023-02-11,新竹市,香山區,55,38887,80.00
14326,2023-02-10,新竹市,香山區,73,38832,85.29
14699,2023-02-09,新竹市,香山區,67,38759,89.86
15076,2023-02-08,新竹市,香山區,95,38692,94.71
15455,2023-02-07,新竹市,香山區,103,38597,93.57
15834,2023-02-06,新竹市,香山區,91,38494,98.43
16215,2023-02-05,新竹市,香山區,76,38403,102.29
16584,2023-02-04,新竹市,香山區,92,38327,102.86
16963,2023-02-03,新竹市,香山區,105,38235,107.43
17349,2023-02-02,新竹市,香山區,101,38130,110.29
17732,2023-02-01,新竹市,香山區,87,38029,110.00
18109,2023-01-31,新竹市,香山區,137,37942,109.00
18494,2023-01-30,新竹市,香山區,118,37805,102.29
18883,2023-01-29,新竹市,香山區,80,37687,95.43
19259,2023-01-28,新竹市,香山區,124,37607,89.86
19638,2023-01-27,新竹市,香山區,125,37483,86.71
20016,2023-01-26,新竹市,香山區,99,37358,80.43
20393,2023-01-25,新竹市,香山區,80,37259,80.14
20758,2023-01-24,新竹市,香山區,90,37179,82.86
21133,2023-01-23,新竹市,香山區,70,37089,84.71
21500,2023-01-22,新竹市,香山區,41,37019,90.86
21864,2023-01-21,新竹市,香山區,102,36978,96.29
22236,2023-01-20,新竹市,香山區,81,36876,96.86
22603,2023-01-19,新竹市,香山區,97,36795,99.57
22974,2023-01-18,新竹市,香山區,99,36698,97.86
23345,2023-01-17,新竹市,香山區,103,36599,98.71
23710,2023-01-16,新竹市,香山區,113,36496,103.71
24086,2023-01-15,新竹市,香山區,79,36383,101.43
24452,2023-01-14,新竹市,香山區,106,36304,101.57
24821,2023-01-13,新竹市,香山區,100,36198,100.43
25189,2023-01-12,新竹市,香山區,85,36098,100.29
25564,2023-01-11,新竹市,香山區,105,36013,105.71
25940,2023-01-10,新竹市,香山區,138,35908,109.43
26312,2023-01-09,新竹市,香山區,97,35770,109.00
26690,2023-01-08,新竹市,香山區,80,35673,110.29
27047,2023-01-07,新竹市,香山區,98,35593,111.14
27419,2023-01-06,新竹市,香山區,99,35495,114.57
27795,2023-01-05,新竹市,香山區,123,35396,117.57
28175,2023-01-04,新竹市,香山區,131,35273,118.86
28556,2023-01-03,新竹市,香山區,135,35142,118.14
28937,2023-01-02,新竹市,香山區,106,35007,116.57
29309,2023-01-01,新竹市,香山區,86,34901,118.14
29671,2022-12-31,新竹市,香山區,122,34815,118.29
30037,2022-12-30,新竹市,香山區,120,34693,116.14
30409,2022-12-29,新竹市,香山區,132,34573,110.00
30781,2022-12-28,新竹市,香山區,126,34441,104.29
31152,2022-12-27,新竹市,香山區,124,34315,97.43
31529,2022-12-26,新竹市,香山區,117,34191,92.86
31901,2022-12-25,新竹市,香山區,87,34074,87.00
32255,2022-12-24,新竹市,香山區,107,33987,82.57
32615,2022-12-23,新竹市,香山區,77,33880,79.43
32979,2022-12-22,新竹市,香山區,92,33803,80.14
33346,2022-12-21,新竹市,香山區,78,33711,76.57
33716,2022-12-20,新竹市,香山區,92,33633,77.14
34079,2022-12-19,新竹市,香山區,76,33541,80.29
34450,2022-12-18,新竹市,香山區,56,33465,81.43
34798,2022-12-17,新竹市,香山區,85,33409,83.29
35158,2022-12-16,新竹市,香山區,82,33324,82.71
35523,2022-12-15,新竹市,香山區,67,33242,79.29
35894,2022-12-14,新竹市,香山區,82,33175,79.86
36253,2022-12-13,新竹市,香山區,114,33093,79.00
36627,2022-12-12,新竹市,香山區,84,32979,77.43
36998,2022-12-11,新竹市,香山區,69,32895,76.71
37350,2022-12-10,新竹市,香山區,81,32826,77.00
37719,2022-12-09,新竹市,香山區,58,32745,76.00
38084,2022-12-08,新竹市,香山區,71,32687,78.29
38457,2022-12-07,新竹市,香山區,76,32616,79.71
38828,2022-12-06,新竹市,香山區,103,32540,82.29
39200,2022-12-05,新竹市,香山區,79,32437,83.29
39578,2022-12-04,新竹市,香山區,71,32358,84.00
39943,2022-12-03,新竹市,香山區,74,32287,82.43
40313,2022-12-02,新竹市,香山區,74,32213,81.57
40682,2022-12-01,新竹市,香山區,81,32139,82.71
41052,2022-11-30,新竹市,香山區,94,32058,80.86
41423,2022-11-29,新竹市,香山區,110,31964,76.00
41803,2022-11-28,新竹市,香山區,84,31854,75.71
42180,2022-11-27,新竹市,香山區,60,31770,74.86
42541,2022-11-26,新竹市,香山區,68,31710,73.43
42897,2022-11-25,新竹市,香山區,82,31642,75.71
43269,2022-11-24,新竹市,香山區,68,31560,73.43
43639,2022-11-23,新竹市,香山區,60,31492,77.29
44010,2022-11-22,新竹市,香山區,108,31432,80.43
44384,2022-11-21,新竹市,香山區,78,31324,80.14
44766,2022-11-20,新竹市,香山區,50,31246,80.57
45130,2022-11-19,新竹市,香山區,84,31196,84.00
45504,2022-11-18,新竹市,香山區,66,31112,82.71
45876,2022-11-17,新竹市,香山區,95,31046,85.43
46249,2022-11-16,新竹市,香山區,82,30951,86.14
46629,2022-11-15,新竹市,香山區,106,30869,89.71
47010,2022-11-14,新竹市,香山區,81,30763,89.57
47391,2022-11-13,新竹市,香山區,74,30682,91.57
47761,2022-11-12,新竹市,香山區,75,30608,91.57
