UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6157,2023-03-16,新竹縣,五峰鄉,55-59,104
6158,2023-03-15,新竹縣,五峰鄉,5-9,88
6159,2023-03-14,新竹縣,五峰鄉,70+,95
6160,2023-03-13,新竹縣,五峰鄉,25-29,80
6161,2023-03-07,新竹縣,五峰鄉,35-39,65
6162,2023-02-26,新竹縣,五峰鄉,20-24,95
6163,2023-02-23,新竹縣,五峰鄉,30-34,61
6164,2023-02-22,新竹縣,五峰鄉,45-49,72
6165,2023-02-20,新竹縣,五峰鄉,50-54,67
6166,2023-02-13,新竹縣,五峰鄉,40-44,75
6167,2023-02-07,新竹縣,五峰鄉,10-14,64
6168,2023-02-06,新竹縣,五峰鄉,60-64,84
6169,2023-02-04,新竹縣,五峰鄉,65-69,77
6170,2023-01-10,新竹縣,五峰鄉,15-19,84
6171,2022-11-16,新竹縣,五峰鄉,0,8
6172,2022-11-13,新竹縣,五峰鄉,3,18
6173,2022-11-08,新竹縣,五峰鄉,4,16
6174,2022-10-20,新竹縣,五峰鄉,2,20
6175,2022-09-19,新竹縣,五峰鄉,1,14
