UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2227,2023-03-16,新竹縣,五峰鄉,1,1187,0.86
2580,2023-03-15,新竹縣,五峰鄉,1,1186,0.86
2936,2023-03-14,新竹縣,五峰鄉,1,1185,0.71
3293,2023-03-13,新竹縣,五峰鄉,2,1184,0.71
4347,2023-03-10,新竹縣,五峰鄉,1,1182,0.43
4703,2023-03-09,新竹縣,五峰鄉,1,1181,0.29
5418,2023-03-07,新竹縣,五峰鄉,1,1180,0.14
8637,2023-02-26,新竹縣,五峰鄉,1,1179,1.00
9007,2023-02-25,新竹縣,五峰鄉,1,1178,1.00
9735,2023-02-23,新竹縣,五峰鄉,1,1177,1.43
10109,2023-02-22,新竹縣,五峰鄉,3,1176,1.57
10855,2023-02-20,新竹縣,五峰鄉,1,1173,1.29
11216,2023-02-19,新竹縣,五峰鄉,1,1172,1.43
11585,2023-02-18,新竹縣,五峰鄉,4,1171,1.29
12331,2023-02-16,新竹縣,五峰鄉,2,1167,1.00
13078,2023-02-14,新竹縣,五峰鄉,1,1165,1.14
13453,2023-02-13,新竹縣,五峰鄉,2,1164,1.29
14189,2023-02-11,新竹縣,五峰鄉,1,1162,1.14
14556,2023-02-10,新竹縣,五峰鄉,1,1161,1.29
14931,2023-02-09,新竹縣,五峰鄉,1,1160,1.29
15310,2023-02-08,新竹縣,五峰鄉,2,1159,1.43
15691,2023-02-07,新竹縣,五峰鄉,2,1157,1.14
16071,2023-02-06,新竹縣,五峰鄉,1,1155,1.00
16819,2023-02-04,新竹縣,五峰鄉,2,1154,1.14
17202,2023-02-03,新竹縣,五峰鄉,1,1152,1.14
17586,2023-02-02,新竹縣,五峰鄉,2,1151,1.29
18348,2023-01-31,新竹縣,五峰鄉,1,1149,1.71
18736,2023-01-30,新竹縣,五峰鄉,1,1148,1.86
19117,2023-01-29,新竹縣,五峰鄉,1,1147,1.71
19496,2023-01-28,新竹縣,五峰鄉,2,1146,2.14
19871,2023-01-27,新竹縣,五峰鄉,2,1144,2.43
20249,2023-01-26,新竹縣,五峰鄉,4,1142,2.14
20621,2023-01-25,新竹縣,五峰鄉,1,1138,2.00
20989,2023-01-24,新竹縣,五峰鄉,2,1137,1.86
21723,2023-01-22,新竹縣,五峰鄉,4,1135,1.71
22096,2023-01-21,新竹縣,五峰鄉,4,1131,1.14
22831,2023-01-19,新竹縣,五峰鄉,3,1127,0.71
23943,2023-01-16,新竹縣,五峰鄉,1,1124,1.00
25046,2023-01-13,新竹縣,五峰鄉,1,1123,1.43
25423,2023-01-12,新竹縣,五峰鄉,2,1122,1.86
25795,2023-01-11,新竹縣,五峰鄉,2,1120,1.71
26169,2023-01-10,新竹縣,五峰鄉,1,1118,2.14
26546,2023-01-09,新竹縣,五峰鄉,1,1117,2.14
26913,2023-01-08,新竹縣,五峰鄉,2,1116,2.14
27278,2023-01-07,新竹縣,五峰鄉,1,1114,1.86
27649,2023-01-06,新竹縣,五峰鄉,4,1113,1.71
28030,2023-01-05,新竹縣,五峰鄉,1,1109,1.14
28411,2023-01-04,新竹縣,五峰鄉,5,1108,1.14
28792,2023-01-03,新竹縣,五峰鄉,1,1103,0.43
29167,2023-01-02,新竹縣,五峰鄉,1,1102,0.43
30639,2022-12-29,新竹縣,五峰鄉,1,1101,0.29
31387,2022-12-27,新竹縣,五峰鄉,1,1100,0.14
34308,2022-12-19,新竹縣,五峰鄉,1,1099,0.57
34660,2022-12-18,新竹縣,五峰鄉,1,1098,0.43
35751,2022-12-15,新竹縣,五峰鄉,1,1097,0.29
36484,2022-12-13,新竹縣,五峰鄉,1,1096,0.14
39056,2022-12-06,新竹縣,五峰鄉,1,1095,0.86
39803,2022-12-04,新竹縣,五峰鄉,1,1094,1.57
40173,2022-12-03,新竹縣,五峰鄉,1,1093,1.43
40543,2022-12-02,新竹縣,五峰鄉,3,1092,1.29
41659,2022-11-29,新竹縣,五峰鄉,2,1089,0.86
42038,2022-11-28,新竹縣,五峰鄉,4,1087,0.57
44991,2022-11-20,新竹縣,五峰鄉,1,1083,1.86
45731,2022-11-18,新竹縣,五峰鄉,2,1082,2.57
