UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
11,2023-05-29,新竹縣,全區,1,323,0.14
91,2023-04-12,新竹縣,全區,1,322,0.14
165,2023-04-04,新竹縣,全區,1,321,0.43
181,2023-04-03,新竹縣,全區,1,320,0.29
191,2023-04-02,新竹縣,全區,1,319,0.14
340,2023-03-24,新竹縣,全區,2,318,0.57
534,2023-03-18,新竹縣,全區,2,316,0.57
621,2023-03-16,新竹縣,全區,1,314,0.57
745,2023-03-13,新竹縣,全區,1,313,0.43
833,2023-03-11,新竹縣,全區,2,312,0.71
1064,2023-03-06,新竹縣,全區,1,310,1.57
1118,2023-03-05,新竹縣,全區,2,309,1.43
1170,2023-03-04,新竹縣,全區,1,307,1.43
1228,2023-03-03,新竹縣,全區,1,306,1.57
1283,2023-03-02,新竹縣,全區,1,305,1.71
1333,2023-03-01,新竹縣,全區,4,304,2.00
1387,2023-02-28,新竹縣,全區,1,300,1.86
1501,2023-02-26,新竹縣,全區,2,299,1.86
1563,2023-02-25,新竹縣,全區,2,297,1.57
1616,2023-02-24,新竹縣,全區,2,295,1.43
1672,2023-02-23,新竹縣,全區,3,293,1.14
1743,2023-02-22,新竹縣,全區,3,290,1.14
1855,2023-02-20,新竹縣,全區,1,287,1.14
1961,2023-02-18,新竹縣,全區,1,286,1.00
2078,2023-02-16,新竹縣,全區,3,285,1.00
2143,2023-02-15,新竹縣,全區,3,282,0.86
2397,2023-02-11,新竹縣,全區,1,279,1.29
2528,2023-02-09,新竹縣,全區,2,278,1.14
2593,2023-02-08,新竹縣,全區,1,276,0.86
2678,2023-02-07,新竹縣,全區,1,275,0.86
2738,2023-02-06,新竹縣,全區,1,274,0.71
2800,2023-02-05,新竹縣,全區,3,273,0.71
3050,2023-02-01,新竹縣,全區,1,270,0.43
3168,2023-01-30,新竹縣,全區,1,269,0.86
3383,2023-01-26,新竹縣,全區,1,268,1.00
3438,2023-01-25,新竹縣,全區,1,267,1.00
3497,2023-01-24,新竹縣,全區,3,266,1.00
3602,2023-01-22,新竹縣,全區,1,263,1.00
3650,2023-01-21,新竹縣,全區,1,262,0.86
3736,2023-01-19,新竹縣,全區,1,261,0.86
3787,2023-01-18,新竹縣,全區,1,260,0.71
3826,2023-01-17,新竹縣,全區,1,259,0.86
3880,2023-01-16,新竹縣,全區,2,258,0.71
3993,2023-01-14,新竹縣,全區,1,256,0.86
