UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
103,2023-06-14,新竹縣,全區,29,285768,4.14
275,2023-06-02,新竹縣,全區,1,285739,0.14
308,2023-05-12,新竹縣,全區,2,285738,0.29
351,2023-03-25,新竹縣,全區,1,285736,36.71
386,2023-03-23,新竹縣,全區,2,285735,107.14
489,2023-03-21,新竹縣,全區,12,285733,181.57
631,2023-03-20,新竹縣,全區,64,285721,225.86
915,2023-03-19,新竹縣,全區,178,285657,259.86
1243,2023-03-18,新竹縣,全區,260,285479,267.57
1583,2023-03-17,新竹縣,全區,234,285219,264.43
1935,2023-03-16,新竹縣,全區,249,284985,264.71
2288,2023-03-15,新竹縣,全區,274,284736,267.71
2639,2023-03-14,新竹縣,全區,322,284462,269.57
2996,2023-03-13,新竹縣,全區,302,284140,274.29
3355,2023-03-12,新竹縣,全區,232,283838,272.00
3700,2023-03-11,新竹縣,全區,238,283606,270.86
4053,2023-03-10,新竹縣,全區,236,283368,278.14
4408,2023-03-09,新竹縣,全區,270,283132,294.00
4767,2023-03-08,新竹縣,全區,287,282862,308.00
5121,2023-03-07,新竹縣,全區,355,282575,332.00
5480,2023-03-06,新竹縣,全區,286,282220,326.43
5845,2023-03-05,新竹縣,全區,224,281934,324.00
6184,2023-03-04,新竹縣,全區,289,281710,323.86
6536,2023-03-03,新竹縣,全區,347,281421,337.29
6895,2023-03-02,新竹縣,全區,368,281074,343.57
7259,2023-03-01,新竹縣,全區,455,280706,347.57
7630,2023-02-28,新竹縣,全區,316,280251,340.29
7993,2023-02-27,新竹縣,全區,269,279935,370.14
8352,2023-02-26,新竹縣,全區,223,279666,399.14
8697,2023-02-25,新竹縣,全區,383,279443,421.57
9067,2023-02-24,新竹縣,全區,391,279060,438.29
9428,2023-02-23,新竹縣,全區,396,278669,450.14
9798,2023-02-22,新竹縣,全區,404,278273,456.86
10173,2023-02-21,新竹縣,全區,525,277869,467.14
10542,2023-02-20,新竹縣,全區,472,277344,470.00
10922,2023-02-19,新竹縣,全區,380,276872,484.43
11280,2023-02-18,新竹縣,全區,500,276492,488.14
11647,2023-02-17,新竹縣,全區,474,275992,491.43
12019,2023-02-16,新竹縣,全區,443,275518,494.71
12394,2023-02-15,新竹縣,全區,476,275075,525.14
12767,2023-02-14,新竹縣,全區,545,274599,551.71
13139,2023-02-13,新竹縣,全區,573,274054,582.00
13518,2023-02-12,新竹縣,全區,406,273481,594.14
13875,2023-02-11,新竹縣,全區,523,273075,619.29
14247,2023-02-10,新竹縣,全區,497,272552,642.43
14621,2023-02-09,新竹縣,全區,656,272055,683.57
14997,2023-02-08,新竹縣,全區,662,271399,707.43
15376,2023-02-07,新竹縣,全區,757,270737,731.43
15755,2023-02-06,新竹縣,全區,658,269980,776.57
16137,2023-02-05,新竹縣,全區,582,269322,822.00
16505,2023-02-04,新竹縣,全區,685,268740,867.43
16884,2023-02-03,新竹縣,全區,785,268055,882.00
17270,2023-02-02,新竹縣,全區,823,267270,892.57
17653,2023-02-01,新竹縣,全區,830,266447,890.14
18030,2023-01-31,新竹縣,全區,1073,265617,852.86
18415,2023-01-30,新竹縣,全區,976,264544,772.43
18804,2023-01-29,新竹縣,全區,900,263568,698.43
19180,2023-01-28,新竹縣,全區,787,262668,616.14
19559,2023-01-27,新竹縣,全區,859,261881,586.14
19937,2023-01-26,新竹縣,全區,806,261022,544.71
20314,2023-01-25,新竹縣,全區,569,260216,502.86
20679,2023-01-24,新竹縣,全區,510,259647,504.71
21054,2023-01-23,新竹縣,全區,458,259137,518.43
21421,2023-01-22,新竹縣,全區,324,258679,533.14
21785,2023-01-21,新竹縣,全區,577,258355,566.00
22157,2023-01-20,新竹縣,全區,569,257778,577.14
22524,2023-01-19,新竹縣,全區,513,257209,583.57
22895,2023-01-18,新竹縣,全區,582,256696,607.00
23267,2023-01-17,新竹縣,全區,606,256114,621.57
23631,2023-01-16,新竹縣,全區,561,255508,657.43
24007,2023-01-15,新竹縣,全區,554,254947,678.00
24374,2023-01-14,新竹縣,全區,655,254393,675.29
24742,2023-01-13,新竹縣,全區,614,253738,693.71
25110,2023-01-12,新竹縣,全區,677,253124,719.71
