UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
253,2023-06-14,新竹縣,北埔鄉,2,2752,0.29
1504,2023-03-18,新竹縣,北埔鄉,5,2750,3.43
1858,2023-03-17,新竹縣,北埔鄉,6,2745,3.29
2205,2023-03-16,新竹縣,北埔鄉,2,2739,2.57
2557,2023-03-15,新竹縣,北埔鄉,2,2737,2.29
2914,2023-03-14,新竹縣,北埔鄉,2,2735,2.43
3272,2023-03-13,新竹縣,北埔鄉,1,2733,2.43
3619,2023-03-12,新竹縣,北埔鄉,6,2732,3.00
3975,2023-03-11,新竹縣,北埔鄉,4,2726,2.71
4329,2023-03-10,新竹縣,北埔鄉,1,2722,2.57
5039,2023-03-08,新竹縣,北埔鄉,3,2721,3.29
5395,2023-03-07,新竹縣,北埔鄉,2,2718,3.43
5761,2023-03-06,新竹縣,北埔鄉,5,2716,3.71
6105,2023-03-05,新竹縣,北埔鄉,4,2711,3.14
6456,2023-03-04,新竹縣,北埔鄉,3,2707,2.71
6810,2023-03-03,新竹縣,北埔鄉,4,2704,3.29
7175,2023-03-02,新竹縣,北埔鄉,2,2700,3.86
7540,2023-03-01,新竹縣,北埔鄉,4,2698,4.71
7909,2023-02-28,新竹縣,北埔鄉,4,2694,4.71
8269,2023-02-27,新竹縣,北埔鄉,1,2690,5.00
8617,2023-02-26,新竹縣,北埔鄉,1,2689,6.14
8981,2023-02-25,新竹縣,北埔鄉,7,2688,6.86
9345,2023-02-24,新竹縣,北埔鄉,8,2681,6.71
9711,2023-02-23,新竹縣,北埔鄉,8,2673,6.43
10086,2023-02-22,新竹縣,北埔鄉,4,2665,6.43
10457,2023-02-21,新竹縣,北埔鄉,6,2661,6.43
10830,2023-02-20,新竹縣,北埔鄉,9,2655,6.71
11192,2023-02-19,新竹縣,北埔鄉,6,2646,6.43
11560,2023-02-18,新竹縣,北埔鄉,6,2640,6.71
11932,2023-02-17,新竹縣,北埔鄉,6,2634,7.00
12306,2023-02-16,新竹縣,北埔鄉,8,2628,6.57
12678,2023-02-15,新竹縣,北埔鄉,4,2620,6.86
13054,2023-02-14,新竹縣,北埔鄉,8,2616,7.00
13429,2023-02-13,新竹縣,北埔鄉,7,2608,7.14
13795,2023-02-12,新竹縣,北埔鄉,8,2601,6.86
14164,2023-02-11,新竹縣,北埔鄉,8,2593,6.29
14531,2023-02-10,新竹縣,北埔鄉,3,2585,5.71
14906,2023-02-09,新竹縣,北埔鄉,10,2582,5.86
15285,2023-02-08,新竹縣,北埔鄉,5,2572,5.43
15666,2023-02-07,新竹縣,北埔鄉,9,2567,5.71
16045,2023-02-06,新竹縣,北埔鄉,5,2558,6.57
16418,2023-02-05,新竹縣,北埔鄉,4,2553,7.43
16795,2023-02-04,新竹縣,北埔鄉,4,2549,7.86
17175,2023-02-03,新竹縣,北埔鄉,4,2545,8.71
17561,2023-02-02,新竹縣,北埔鄉,7,2541,9.29
17941,2023-02-01,新竹縣,北埔鄉,7,2534,8.57
18324,2023-01-31,新竹縣,北埔鄉,15,2527,7.86
18709,2023-01-30,新竹縣,北埔鄉,11,2512,6.43
19093,2023-01-29,新竹縣,北埔鄉,7,2501,5.00
19471,2023-01-28,新竹縣,北埔鄉,10,2494,4.14
19847,2023-01-27,新竹縣,北埔鄉,8,2484,3.29
20224,2023-01-26,新竹縣,北埔鄉,2,2476,2.71
20596,2023-01-25,新竹縣,北埔鄉,2,2474,3.00
20965,2023-01-24,新竹縣,北埔鄉,5,2472,3.29
21333,2023-01-23,新竹縣,北埔鄉,1,2467,3.43
21703,2023-01-22,新竹縣,北埔鄉,1,2466,3.71
22072,2023-01-21,新竹縣,北埔鄉,4,2465,4.00
22439,2023-01-20,新竹縣,北埔鄉,4,2461,4.00
22807,2023-01-19,新竹縣,北埔鄉,4,2457,3.71
23179,2023-01-18,新竹縣,北埔鄉,4,2453,4.57
23545,2023-01-17,新竹縣,北埔鄉,6,2449,4.57
23918,2023-01-16,新竹縣,北埔鄉,3,2443,5.00
24290,2023-01-15,新竹縣,北埔鄉,3,2440,5.43
24656,2023-01-14,新竹縣,北埔鄉,4,2437,5.29
25024,2023-01-13,新竹縣,北埔鄉,2,2433,5.57
25398,2023-01-12,新竹縣,北埔鄉,10,2431,5.71
25771,2023-01-11,新竹縣,北埔鄉,4,2421,4.86
26145,2023-01-10,新竹縣,北埔鄉,9,2417,5.57
26522,2023-01-09,新竹縣,北埔鄉,6,2408,5.43
26888,2023-01-08,新竹縣,北埔鄉,2,2402,6.14
27253,2023-01-07,新竹縣,北埔鄉,6,2400,7.14
27625,2023-01-06,新竹縣,北埔鄉,3,2394,7.00
28006,2023-01-05,新竹縣,北埔鄉,4,2391,7.43
28386,2023-01-04,新竹縣,北埔鄉,9,2387,7.86
28767,2023-01-03,新竹縣,北埔鄉,8,2378,7.14
29142,2023-01-02,新竹縣,北埔鄉,11,2370,6.71
29508,2023-01-01,新竹縣,北埔鄉,9,2359,5.43
29875,2022-12-31,新竹縣,北埔鄉,5,2350,5.00
30242,2022-12-30,新竹縣,北埔鄉,6,2345,4.57
30614,2022-12-29,新竹縣,北埔鄉,7,2339,3.86
30986,2022-12-28,新竹縣,北埔鄉,4,2332,3.86
31361,2022-12-27,新竹縣,北埔鄉,5,2328,3.86
31735,2022-12-26,新竹縣,北埔鄉,2,2323,3.86
32093,2022-12-25,新竹縣,北埔鄉,6,2321,3.71
32453,2022-12-24,新竹縣,北埔鄉,2,2315,3.29
32813,2022-12-23,新竹縣,北埔鄉,1,2313,3.29
33180,2022-12-22,新竹縣,北埔鄉,7,2312,3.29
33551,2022-12-21,新竹縣,北埔鄉,4,2305,2.57
33916,2022-12-20,新竹縣,北埔鄉,5,2301,2.29
34283,2022-12-19,新竹縣,北埔鄉,1,2296,2.29
34637,2022-12-18,新竹縣,北埔鄉,3,2295,2.86
34998,2022-12-17,新竹縣,北埔鄉,2,2292,3.14
35361,2022-12-16,新竹縣,北埔鄉,1,2290,4.57
35727,2022-12-15,新竹縣,北埔鄉,2,2289,5.00
36087,2022-12-14,新竹縣,北埔鄉,2,2287,5.71
36458,2022-12-13,新竹縣,北埔鄉,5,2285,6.00
36835,2022-12-12,新竹縣,北埔鄉,5,2280,5.71
37187,2022-12-11,新竹縣,北埔鄉,5,2275,5.14
37554,2022-12-10,新竹縣,北埔鄉,12,2270,5.14
37920,2022-12-09,新竹縣,北埔鄉,4,2258,3.86
38291,2022-12-08,新竹縣,北埔鄉,7,2254,3.43
38664,2022-12-07,新竹縣,北埔鄉,4,2247,2.86
39031,2022-12-06,新竹縣,北埔鄉,3,2243,2.29
39408,2022-12-05,新竹縣,北埔鄉,1,2240,2.14
39781,2022-12-04,新竹縣,北埔鄉,5,2239,2.43
40149,2022-12-03,新竹縣,北埔鄉,3,2234,1.71
40517,2022-12-02,新竹縣,北埔鄉,1,2231,1.29
40884,2022-12-01,新竹縣,北埔鄉,3,2230,1.29
41633,2022-11-29,新竹縣,北埔鄉,2,2227,2.57
42012,2022-11-28,新竹縣,北埔鄉,3,2225,3.43
43104,2022-11-25,新竹縣,北埔鄉,1,2222,4.14
43474,2022-11-24,新竹縣,北埔鄉,6,2221,4.57
43842,2022-11-23,新竹縣,北埔鄉,6,2215,4.57
44217,2022-11-22,新竹縣,北埔鄉,8,2209,4.43
