UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
765,2023-03-20,新竹縣,寶山鄉,4,6942,6.43
1066,2023-03-19,新竹縣,寶山鄉,6,6938,7.29
1394,2023-03-18,新竹縣,寶山鄉,5,6932,7.29
1737,2023-03-17,新竹縣,寶山鄉,2,6927,7.86
2091,2023-03-16,新竹縣,寶山鄉,6,6925,8.57
2444,2023-03-15,新竹縣,寶山鄉,6,6919,8.71
2792,2023-03-14,新竹縣,寶山鄉,16,6913,9.57
3150,2023-03-13,新竹縣,寶山鄉,10,6897,9.43
3505,2023-03-12,新竹縣,寶山鄉,6,6887,9.71
3855,2023-03-11,新竹縣,寶山鄉,9,6881,9.43
4206,2023-03-10,新竹縣,寶山鄉,7,6872,9.29
4563,2023-03-09,新竹縣,寶山鄉,7,6865,9.00
4919,2023-03-08,新竹縣,寶山鄉,12,6858,9.00
5275,2023-03-07,新竹縣,寶山鄉,15,6846,8.57
5638,2023-03-06,新竹縣,寶山鄉,12,6831,7.29
5997,2023-03-05,新竹縣,寶山鄉,4,6819,6.14
6337,2023-03-04,新竹縣,寶山鄉,8,6815,6.14
6692,2023-03-03,新竹縣,寶山鄉,5,6807,6.43
7051,2023-03-02,新竹縣,寶山鄉,7,6802,7.29
7416,2023-03-01,新竹縣,寶山鄉,9,6795,7.57
7786,2023-02-28,新竹縣,寶山鄉,6,6786,7.14
8152,2023-02-27,新竹縣,寶山鄉,4,6780,9.43
8504,2023-02-26,新竹縣,寶山鄉,4,6776,10.43
8854,2023-02-25,新竹縣,寶山鄉,10,6772,10.57
9222,2023-02-24,新竹縣,寶山鄉,11,6762,10.71
9585,2023-02-23,新竹縣,寶山鄉,9,6751,10.29
9956,2023-02-22,新竹縣,寶山鄉,6,6742,11.14
10330,2023-02-21,新竹縣,寶山鄉,22,6736,12.29
10700,2023-02-20,新竹縣,寶山鄉,11,6714,11.29
11077,2023-02-19,新竹縣,寶山鄉,5,6703,11.86
11438,2023-02-18,新竹縣,寶山鄉,11,6698,11.57
11805,2023-02-17,新竹縣,寶山鄉,8,6687,11.86
12178,2023-02-16,新竹縣,寶山鄉,15,6679,13.00
12552,2023-02-15,新竹縣,寶山鄉,14,6664,13.29
12925,2023-02-14,新竹縣,寶山鄉,15,6650,13.29
13297,2023-02-13,新竹縣,寶山鄉,15,6635,14.43
13675,2023-02-12,新竹縣,寶山鄉,3,6620,13.71
14033,2023-02-11,新竹縣,寶山鄉,13,6617,15.14
14404,2023-02-10,新竹縣,寶山鄉,16,6604,16.29
14778,2023-02-09,新竹縣,寶山鄉,17,6588,16.14
15156,2023-02-08,新竹縣,寶山鄉,14,6571,16.43
15534,2023-02-07,新竹縣,寶山鄉,23,6557,18.00
15914,2023-02-06,新竹縣,寶山鄉,10,6534,19.86
16291,2023-02-05,新竹縣,寶山鄉,13,6524,21.29
16663,2023-02-04,新竹縣,寶山鄉,21,6511,21.86
17043,2023-02-03,新竹縣,寶山鄉,15,6490,23.00
17428,2023-02-02,新竹縣,寶山鄉,19,6475,22.86
17810,2023-02-01,新竹縣,寶山鄉,25,6456,21.86
18189,2023-01-31,新竹縣,寶山鄉,36,6431,19.71
18574,2023-01-30,新竹縣,寶山鄉,20,6395,16.00
18960,2023-01-29,新竹縣,寶山鄉,17,6375,13.71
19338,2023-01-28,新竹縣,寶山鄉,29,6358,12.43
19714,2023-01-27,新竹縣,寶山鄉,14,6329,11.00
20095,2023-01-26,新竹縣,寶山鄉,12,6315,10.29
20468,2023-01-25,新竹縣,寶山鄉,10,6303,10.29
20836,2023-01-24,新竹縣,寶山鄉,10,6293,11.43
21209,2023-01-23,新竹縣,寶山鄉,4,6283,11.86
21577,2023-01-22,新竹縣,寶山鄉,8,6279,12.29
21943,2023-01-21,新竹縣,寶山鄉,19,6271,13.29
22316,2023-01-20,新竹縣,寶山鄉,9,6252,13.14
22682,2023-01-19,新竹縣,寶山鄉,12,6243,15.00
23054,2023-01-18,新竹縣,寶山鄉,18,6231,15.57
23423,2023-01-17,新竹縣,寶山鄉,13,6213,15.86
23788,2023-01-16,新竹縣,寶山鄉,7,6200,17.43
24165,2023-01-15,新竹縣,寶山鄉,15,6193,18.14
24530,2023-01-14,新竹縣,寶山鄉,18,6178,17.14
24896,2023-01-13,新竹縣,寶山鄉,22,6160,16.57
25266,2023-01-12,新竹縣,寶山鄉,16,6138,16.00
25641,2023-01-11,新竹縣,寶山鄉,20,6122,16.71
26017,2023-01-10,新竹縣,寶山鄉,24,6102,16.86
26390,2023-01-09,新竹縣,寶山鄉,12,6078,17.14
26764,2023-01-08,新竹縣,寶山鄉,8,6066,18.29
27125,2023-01-07,新竹縣,寶山鄉,14,6058,20.86
27497,2023-01-06,新竹縣,寶山鄉,18,6044,23.71
27874,2023-01-05,新竹縣,寶山鄉,21,6026,24.14
28253,2023-01-04,新竹縣,寶山鄉,21,6005,24.57
28634,2023-01-03,新竹縣,寶山鄉,26,5984,25.29
29015,2023-01-02,新竹縣,寶山鄉,20,5958,25.71
29388,2023-01-01,新竹縣,寶山鄉,26,5938,26.43
29749,2022-12-31,新竹縣,寶山鄉,34,5912,23.43
30115,2022-12-30,新竹縣,寶山鄉,21,5878,20.29
30489,2022-12-29,新竹縣,寶山鄉,24,5857,19.57
30861,2022-12-28,新竹縣,寶山鄉,26,5833,18.29
31230,2022-12-27,新竹縣,寶山鄉,29,5807,18.29
31606,2022-12-26,新竹縣,寶山鄉,25,5778,17.29
31974,2022-12-25,新竹縣,寶山鄉,5,5753,16.71
32332,2022-12-24,新竹縣,寶山鄉,12,5748,16.86
32691,2022-12-23,新竹縣,寶山鄉,16,5736,17.29
33057,2022-12-22,新竹縣,寶山鄉,15,5720,16.57
33423,2022-12-21,新竹縣,寶山鄉,26,5705,17.43
33791,2022-12-20,新竹縣,寶山鄉,22,5679,14.57
34157,2022-12-19,新竹縣,寶山鄉,21,5657,14.00
34526,2022-12-18,新竹縣,寶山鄉,6,5636,12.86
34874,2022-12-17,新竹縣,寶山鄉,15,5630,13.57
35236,2022-12-16,新竹縣,寶山鄉,11,5615,12.86
35600,2022-12-15,新竹縣,寶山鄉,21,5604,12.86
35968,2022-12-14,新竹縣,寶山鄉,6,5583,11.57
36328,2022-12-13,新竹縣,寶山鄉,18,5577,12.43
36707,2022-12-12,新竹縣,寶山鄉,13,5559,11.14
37071,2022-12-11,新竹縣,寶山鄉,11,5546,10.57
37428,2022-12-10,新竹縣,寶山鄉,10,5535,10.14
37797,2022-12-09,新竹縣,寶山鄉,11,5525,10.29
38162,2022-12-08,新竹縣,寶山鄉,12,5514,9.71
38535,2022-12-07,新竹縣,寶山鄉,12,5502,9.14
38906,2022-12-06,新竹縣,寶山鄉,9,5490,9.86
39279,2022-12-05,新竹縣,寶山鄉,9,5481,11.00
39657,2022-12-04,新竹縣,寶山鄉,8,5472,10.57
40021,2022-12-03,新竹縣,寶山鄉,11,5464,10.57
40392,2022-12-02,新竹縣,寶山鄉,7,5453,10.29
40757,2022-12-01,新竹縣,寶山鄉,8,5446,11.29
