UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6138,2023-03-19,新竹縣,尖石鄉,0,44
6139,2023-03-16,新竹縣,尖石鄉,25-29,197
6140,2023-03-15,新竹縣,尖石鄉,35-39,191
6141,2023-03-13,新竹縣,尖石鄉,15-19,258
6142,2023-03-13,新竹縣,尖石鄉,10-14,285
6143,2023-03-13,新竹縣,尖石鄉,40-44,190
6144,2023-03-13,新竹縣,尖石鄉,45-49,169
6145,2023-03-11,新竹縣,尖石鄉,50-54,136
6146,2023-03-07,新竹縣,尖石鄉,20-24,207
6147,2023-03-03,新竹縣,尖石鄉,70+,141
6148,2023-02-26,新竹縣,尖石鄉,55-59,146
6149,2023-02-26,新竹縣,尖石鄉,65-69,124
6150,2023-02-23,新竹縣,尖石鄉,5-9,232
6151,2023-02-20,新竹縣,尖石鄉,60-64,125
6152,2023-02-11,新竹縣,尖石鄉,3,43
6153,2023-02-10,新竹縣,尖石鄉,30-34,173
6154,2023-02-02,新竹縣,尖石鄉,1,56
6155,2023-01-12,新竹縣,尖石鄉,4,58
6156,2022-12-16,新竹縣,尖石鄉,2,35
