UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1164,2023-03-19,新竹縣,尖石鄉,1,2810,1.43
2196,2023-03-16,新竹縣,尖石鄉,1,2809,1.86
2548,2023-03-15,新竹縣,尖石鄉,1,2808,1.86
2906,2023-03-14,新竹縣,尖石鄉,1,2807,1.71
3263,2023-03-13,新竹縣,尖石鄉,6,2806,1.71
3966,2023-03-11,新竹縣,尖石鄉,3,2800,1.29
4319,2023-03-10,新竹縣,尖石鄉,1,2797,0.86
4672,2023-03-09,新竹縣,尖石鄉,1,2796,1.14
5386,2023-03-07,新竹縣,尖石鄉,1,2795,1.43
5751,2023-03-06,新竹縣,尖石鄉,3,2794,1.57
6801,2023-03-03,新竹縣,尖石鄉,3,2791,1.71
7165,2023-03-02,新竹縣,尖石鄉,3,2788,1.86
7900,2023-02-28,新竹縣,尖石鄉,2,2785,2.71
8608,2023-02-26,新竹縣,尖石鄉,3,2783,3.86
8972,2023-02-25,新竹縣,尖石鄉,1,2780,3.43
9335,2023-02-24,新竹縣,尖石鄉,4,2779,3.71
9702,2023-02-23,新竹縣,尖石鄉,5,2775,3.43
10076,2023-02-22,新竹縣,尖石鄉,4,2770,2.86
10447,2023-02-21,新竹縣,尖石鄉,6,2766,2.29
10821,2023-02-20,新竹縣,尖石鄉,4,2760,1.71
11551,2023-02-18,新竹縣,尖石鄉,3,2756,1.43
11923,2023-02-17,新竹縣,尖石鄉,2,2753,1.71
12296,2023-02-16,新竹縣,尖石鄉,1,2751,2.00
13044,2023-02-14,新竹縣,尖石鄉,2,2750,2.57
13419,2023-02-13,新竹縣,尖石鄉,1,2748,2.71
13787,2023-02-12,新竹縣,尖石鄉,1,2747,2.57
14154,2023-02-11,新竹縣,尖石鄉,5,2746,2.86
14522,2023-02-10,新竹縣,尖石鄉,4,2741,2.29
14896,2023-02-09,新竹縣,尖石鄉,2,2737,1.86
15275,2023-02-08,新竹縣,尖石鄉,3,2735,2.00
15656,2023-02-07,新竹縣,尖石鄉,3,2732,1.71
16408,2023-02-05,新竹縣,尖石鄉,3,2729,2.43
16785,2023-02-04,新竹縣,尖石鄉,1,2726,2.71
17165,2023-02-03,新竹縣,尖石鄉,1,2725,2.71
17552,2023-02-02,新竹縣,尖石鄉,3,2724,2.71
17931,2023-02-01,新竹縣,尖石鄉,1,2721,2.29
18314,2023-01-31,新竹縣,尖石鄉,2,2720,2.43
18699,2023-01-30,新竹縣,尖石鄉,6,2718,2.29
19083,2023-01-29,新竹縣,尖石鄉,5,2712,1.86
19461,2023-01-28,新竹縣,尖石鄉,1,2707,1.14
19838,2023-01-27,新竹縣,尖石鄉,1,2706,1.57
20587,2023-01-25,新竹縣,尖石鄉,2,2705,1.71
20956,2023-01-24,新竹縣,尖石鄉,1,2703,1.57
21324,2023-01-23,新竹縣,尖石鄉,3,2702,1.57
22062,2023-01-21,新竹縣,尖石鄉,4,2699,1.71
22798,2023-01-19,新竹縣,尖石鄉,2,2695,2.00
23170,2023-01-18,新竹縣,尖石鄉,1,2693,2.29
23535,2023-01-17,新竹縣,尖石鄉,1,2692,2.71
23908,2023-01-16,新竹縣,尖石鄉,3,2691,2.71
24280,2023-01-15,新竹縣,尖石鄉,1,2688,2.43
24646,2023-01-14,新竹縣,尖石鄉,4,2687,2.57
25014,2023-01-13,新竹縣,尖石鄉,2,2683,2.71
25388,2023-01-12,新竹縣,尖石鄉,4,2681,3.57
25761,2023-01-11,新竹縣,尖石鄉,4,2677,3.14
26136,2023-01-10,新竹縣,尖石鄉,1,2673,3.00
26512,2023-01-09,新竹縣,尖石鄉,1,2672,3.29
26878,2023-01-08,新竹縣,尖石鄉,2,2671,3.71
27243,2023-01-07,新竹縣,尖石鄉,5,2669,3.43
27615,2023-01-06,新竹縣,尖石鄉,8,2664,3.14
27996,2023-01-05,新竹縣,尖石鄉,1,2656,2.57
28376,2023-01-04,新竹縣,尖石鄉,3,2655,3.14
28758,2023-01-03,新竹縣,尖石鄉,3,2652,3.14
29133,2023-01-02,新竹縣,尖石鄉,4,2649,2.71
29866,2022-12-31,新竹縣,尖石鄉,3,2645,2.29
30232,2022-12-30,新竹縣,尖石鄉,4,2642,1.86
30605,2022-12-29,新竹縣,尖石鄉,5,2638,1.29
30977,2022-12-28,新竹縣,尖石鄉,3,2633,1.14
31725,2022-12-26,新竹縣,尖石鄉,1,2630,1.57
33172,2022-12-22,新竹縣,尖石鄉,4,2629,2.86
33541,2022-12-21,新竹縣,尖石鄉,2,2625,2.86
33907,2022-12-20,新竹縣,尖石鄉,4,2623,2.86
34274,2022-12-19,新竹縣,尖石鄉,2,2619,3.00
34629,2022-12-18,新竹縣,尖石鄉,3,2617,3.14
34989,2022-12-17,新竹縣,尖石鄉,2,2614,2.86
35352,2022-12-16,新竹縣,尖石鄉,3,2612,3.14
35717,2022-12-15,新竹縣,尖石鄉,4,2609,2.86
36079,2022-12-14,新竹縣,尖石鄉,2,2605,2.43
36448,2022-12-13,新竹縣,尖石鄉,5,2603,2.43
36826,2022-12-12,新竹縣,尖石鄉,3,2598,2.14
37177,2022-12-11,新竹縣,尖石鄉,1,2595,2.43
37544,2022-12-10,新竹縣,尖石鄉,4,2594,3.00
