UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
185,2023-06-14,新竹縣,新埔鎮,2,14159,0.29
751,2023-03-20,新竹縣,新埔鎮,1,14157,10.14
1050,2023-03-19,新竹縣,新埔鎮,8,14156,12.14
1378,2023-03-18,新竹縣,新埔鎮,8,14148,12.00
1719,2023-03-17,新竹縣,新埔鎮,9,14140,12.14
2072,2023-03-16,新竹縣,新埔鎮,14,14131,12.86
2426,2023-03-15,新竹縣,新埔鎮,12,14117,12.43
2775,2023-03-14,新竹縣,新埔鎮,19,14105,11.86
3134,2023-03-13,新竹縣,新埔鎮,15,14086,12.00
3488,2023-03-12,新竹縣,新埔鎮,7,14071,11.86
3838,2023-03-11,新竹縣,新埔鎮,9,14064,12.71
4188,2023-03-10,新竹縣,新埔鎮,14,14055,12.71
4545,2023-03-09,新竹縣,新埔鎮,11,14041,14.29
4902,2023-03-08,新竹縣,新埔鎮,8,14030,15.29
5257,2023-03-07,新竹縣,新埔鎮,20,14022,18.00
5619,2023-03-06,新竹縣,新埔鎮,14,14002,17.29
5980,2023-03-05,新竹縣,新埔鎮,13,13988,17.43
6319,2023-03-04,新竹縣,新埔鎮,9,13975,17.14
6673,2023-03-03,新竹縣,新埔鎮,25,13966,17.14
7033,2023-03-02,新竹縣,新埔鎮,18,13941,16.57
7397,2023-03-01,新竹縣,新埔鎮,27,13923,15.57
7769,2023-02-28,新竹縣,新埔鎮,15,13896,14.29
8133,2023-02-27,新竹縣,新埔鎮,15,13881,15.00
8488,2023-02-26,新竹縣,新埔鎮,11,13866,16.14
8836,2023-02-25,新竹縣,新埔鎮,9,13855,17.71
9205,2023-02-24,新竹縣,新埔鎮,21,13846,19.29
9567,2023-02-23,新竹縣,新埔鎮,11,13825,20.29
9937,2023-02-22,新竹縣,新埔鎮,18,13814,21.00
10312,2023-02-21,新竹縣,新埔鎮,20,13796,21.71
10682,2023-02-20,新竹縣,新埔鎮,23,13776,21.57
11059,2023-02-19,新竹縣,新埔鎮,22,13753,21.71
11419,2023-02-18,新竹縣,新埔鎮,20,13731,21.29
11786,2023-02-17,新竹縣,新埔鎮,28,13711,23.00
12159,2023-02-16,新竹縣,新埔鎮,16,13683,23.71
12533,2023-02-15,新竹縣,新埔鎮,23,13667,26.43
12906,2023-02-14,新竹縣,新埔鎮,19,13644,27.86
13278,2023-02-13,新竹縣,新埔鎮,24,13625,33.43
13657,2023-02-12,新竹縣,新埔鎮,19,13601,32.86
14014,2023-02-11,新竹縣,新埔鎮,32,13582,33.86
14386,2023-02-10,新竹縣,新埔鎮,33,13550,33.57
14759,2023-02-09,新竹縣,新埔鎮,35,13517,33.71
15137,2023-02-08,新竹縣,新埔鎮,33,13482,34.43
15517,2023-02-07,新竹縣,新埔鎮,58,13449,35.14
15895,2023-02-06,新竹縣,新埔鎮,20,13391,34.00
16274,2023-02-05,新竹縣,新埔鎮,26,13371,37.43
16645,2023-02-04,新竹縣,新埔鎮,30,13345,39.86
17025,2023-02-03,新竹縣,新埔鎮,34,13315,41.00
17410,2023-02-02,新竹縣,新埔鎮,40,13281,41.86
17793,2023-02-01,新竹縣,新埔鎮,38,13241,41.57
18171,2023-01-31,新竹縣,新埔鎮,50,13203,41.29
18555,2023-01-30,新竹縣,新埔鎮,44,13153,36.57
18942,2023-01-29,新竹縣,新埔鎮,43,13109,34.00
19320,2023-01-28,新竹縣,新埔鎮,38,13066,30.14
19697,2023-01-27,新竹縣,新埔鎮,40,13028,30.00
20077,2023-01-26,新竹縣,新埔鎮,38,12988,29.14
20450,2023-01-25,新竹縣,新埔鎮,36,12950,29.29
20817,2023-01-24,新竹縣,新埔鎮,17,12914,28.00
21191,2023-01-23,新竹縣,新埔鎮,26,12897,29.43
21559,2023-01-22,新竹縣,新埔鎮,16,12871,31.29
21924,2023-01-21,新竹縣,新埔鎮,37,12855,32.71
22297,2023-01-20,新竹縣,新埔鎮,34,12818,33.14
22663,2023-01-19,新竹縣,新埔鎮,39,12784,31.71
23036,2023-01-18,新竹縣,新埔鎮,27,12745,30.57
23404,2023-01-17,新竹縣,新埔鎮,27,12718,31.57
23771,2023-01-16,新竹縣,新埔鎮,39,12691,32.14
24146,2023-01-15,新竹縣,新埔鎮,26,12652,30.71
24512,2023-01-14,新竹縣,新埔鎮,40,12626,30.86
24879,2023-01-13,新竹縣,新埔鎮,24,12586,29.86
25248,2023-01-12,新竹縣,新埔鎮,31,12562,31.00
25623,2023-01-11,新竹縣,新埔鎮,34,12531,32.86
25999,2023-01-10,新竹縣,新埔鎮,31,12497,34.86
26372,2023-01-09,新竹縣,新埔鎮,29,12466,38.00
26747,2023-01-08,新竹縣,新埔鎮,27,12437,40.00
27108,2023-01-07,新竹縣,新埔鎮,33,12410,41.43
