UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6024,2023-06-14,新竹縣,新豐鄉,35-39,2859
6025,2023-03-21,新竹縣,新豐鄉,20-24,2359
6026,2023-03-20,新竹縣,新豐鄉,45-49,2069
6027,2023-03-20,新竹縣,新豐鄉,30-34,2821
6028,2023-03-20,新竹縣,新豐鄉,40-44,3005
6029,2023-03-20,新竹縣,新豐鄉,3,307
6030,2023-03-20,新竹縣,新豐鄉,25-29,2928
6031,2023-03-19,新竹縣,新豐鄉,55-59,1288
6032,2023-03-19,新竹縣,新豐鄉,70+,1227
6033,2023-03-19,新竹縣,新豐鄉,60-64,1057
6034,2023-03-19,新竹縣,新豐鄉,5-9,1873
6035,2023-03-19,新竹縣,新豐鄉,15-19,1719
6036,2023-03-19,新竹縣,新豐鄉,10-14,1678
6037,2023-03-18,新竹縣,新豐鄉,50-54,1535
6038,2023-03-18,新竹縣,新豐鄉,65-69,842
6039,2023-03-17,新竹縣,新豐鄉,4,323
6040,2023-03-16,新竹縣,新豐鄉,0,177
6041,2023-03-16,新竹縣,新豐鄉,2,253
6042,2023-03-12,新竹縣,新豐鄉,1,250
