UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
158,2023-06-14,新竹縣,新豐鄉,1,28570,0.14
310,2023-05-12,新竹縣,新豐鄉,1,28569,0.14
526,2023-03-21,新竹縣,新豐鄉,2,28568,18.29
703,2023-03-20,新竹縣,新豐鄉,7,28566,21.57
994,2023-03-19,新竹縣,新豐鄉,16,28559,24.71
1323,2023-03-18,新竹縣,新豐鄉,31,28543,25.71
1662,2023-03-17,新竹縣,新豐鄉,22,28512,24.43
2015,2023-03-16,新竹縣,新豐鄉,27,28490,26.29
2367,2023-03-15,新竹縣,新豐鄉,23,28463,26.43
2718,2023-03-14,新竹縣,新豐鄉,25,28440,26.86
3076,2023-03-13,新竹縣,新豐鄉,29,28415,27.86
3434,2023-03-12,新竹縣,新豐鄉,23,28386,27.57
3780,2023-03-11,新竹縣,新豐鄉,22,28363,27.43
4132,2023-03-10,新竹縣,新豐鄉,35,28341,28.00
4488,2023-03-09,新竹縣,新豐鄉,28,28306,28.57
4847,2023-03-08,新竹縣,新豐鄉,26,28278,29.86
5200,2023-03-07,新竹縣,新豐鄉,32,28252,30.71
5560,2023-03-06,新竹縣,新豐鄉,27,28220,30.71
5924,2023-03-05,新竹縣,新豐鄉,22,28193,30.29
6263,2023-03-04,新竹縣,新豐鄉,26,28171,30.29
6616,2023-03-03,新竹縣,新豐鄉,39,28145,31.71
6975,2023-03-02,新竹縣,新豐鄉,37,28106,31.14
7339,2023-03-01,新竹縣,新豐鄉,32,28069,31.00
7710,2023-02-28,新竹縣,新豐鄉,32,28037,32.00
8073,2023-02-27,新竹縣,新豐鄉,24,28005,36.29
8432,2023-02-26,新竹縣,新豐鄉,22,27981,39.14
8776,2023-02-25,新竹縣,新豐鄉,36,27959,41.57
9146,2023-02-24,新竹縣,新豐鄉,35,27923,42.71
9507,2023-02-23,新竹縣,新豐鄉,36,27888,45.86
9878,2023-02-22,新竹縣,新豐鄉,39,27852,48.43
10252,2023-02-21,新竹縣,新豐鄉,62,27813,49.57
10622,2023-02-20,新竹縣,新豐鄉,44,27751,47.29
11001,2023-02-19,新竹縣,新豐鄉,39,27707,49.00
11360,2023-02-18,新竹縣,新豐鄉,44,27668,47.71
11726,2023-02-17,新竹縣,新豐鄉,57,27624,47.29
12099,2023-02-16,新竹縣,新豐鄉,54,27567,44.29
12474,2023-02-15,新竹縣,新豐鄉,47,27513,44.29
12847,2023-02-14,新竹縣,新豐鄉,46,27466,45.00
13219,2023-02-13,新竹縣,新豐鄉,56,27420,48.00
13597,2023-02-12,新竹縣,新豐鄉,30,27364,48.57
13955,2023-02-11,新竹縣,新豐鄉,41,27334,50.57
14327,2023-02-10,新竹縣,新豐鄉,36,27293,53.14
14700,2023-02-09,新竹縣,新豐鄉,54,27257,59.57
15077,2023-02-08,新竹縣,新豐鄉,52,27203,63.57
15456,2023-02-07,新竹縣,新豐鄉,67,27151,68.43
15835,2023-02-06,新竹縣,新豐鄉,60,27084,71.43
16216,2023-02-05,新竹縣,新豐鄉,44,27024,78.43
16585,2023-02-04,新竹縣,新豐鄉,59,26980,83.71
16964,2023-02-03,新竹縣,新豐鄉,81,26921,86.71
17350,2023-02-02,新竹縣,新豐鄉,82,26840,86.43
17733,2023-02-01,新竹縣,新豐鄉,86,26758,84.57
