UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5986,2023-06-14,新竹縣,湖口鄉,20-24,3361
5987,2023-03-21,新竹縣,湖口鄉,35-39,4931
5988,2023-03-20,新竹縣,湖口鄉,10-14,2146
5989,2023-03-20,新竹縣,湖口鄉,55-59,1993
5990,2023-03-20,新竹縣,湖口鄉,40-44,4480
5991,2023-03-20,新竹縣,湖口鄉,30-34,5612
5992,2023-03-20,新竹縣,湖口鄉,70+,2107
5993,2023-03-19,新竹縣,湖口鄉,60-64,1665
5994,2023-03-19,新竹縣,湖口鄉,3,377
5995,2023-03-19,新竹縣,湖口鄉,1,410
5996,2023-03-19,新竹縣,湖口鄉,25-29,5363
5997,2023-03-19,新竹縣,湖口鄉,4,401
5998,2023-03-19,新竹縣,湖口鄉,50-54,2185
5999,2023-03-19,新竹縣,湖口鄉,5-9,2431
6000,2023-03-19,新竹縣,湖口鄉,45-49,2936
6001,2023-03-18,新竹縣,湖口鄉,15-19,2175
6002,2023-03-18,新竹縣,湖口鄉,0,321
6003,2023-03-17,新竹縣,湖口鄉,65-69,1199
6004,2023-03-14,新竹縣,湖口鄉,2,369
