UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
190,2023-06-14,新竹縣,湖口鄉,1,44462,0.14
548,2023-03-21,新竹縣,湖口鄉,1,44461,29.29
757,2023-03-20,新竹縣,湖口鄉,7,44460,36.00
1057,2023-03-19,新竹縣,湖口鄉,44,44453,40.29
1385,2023-03-18,新竹縣,湖口鄉,39,44409,38.71
1726,2023-03-17,新竹縣,湖口鄉,30,44370,37.00
2080,2023-03-16,新竹縣,湖口鄉,42,44340,37.57
2433,2023-03-15,新竹縣,湖口鄉,42,44298,35.29
2782,2023-03-14,新竹縣,湖口鄉,48,44256,35.00
3141,2023-03-13,新竹縣,湖口鄉,37,44208,37.86
3495,2023-03-12,新竹縣,湖口鄉,33,44171,36.00
3845,2023-03-11,新竹縣,湖口鄉,27,44138,37.43
4195,2023-03-10,新竹縣,湖口鄉,34,44111,38.71
4552,2023-03-09,新竹縣,湖口鄉,26,44077,42.29
4909,2023-03-08,新竹縣,湖口鄉,40,44051,46.57
5264,2023-03-07,新竹縣,湖口鄉,68,44011,52.29
5627,2023-03-06,新竹縣,湖口鄉,24,43943,48.14
5987,2023-03-05,新竹縣,湖口鄉,43,43919,49.57
6326,2023-03-04,新竹縣,湖口鄉,36,43876,49.29
6681,2023-03-03,新竹縣,湖口鄉,59,43840,53.00
7041,2023-03-02,新竹縣,湖口鄉,56,43781,54.29
7405,2023-03-01,新竹縣,湖口鄉,80,43725,56.29
7777,2023-02-28,新竹縣,湖口鄉,39,43645,52.71
8141,2023-02-27,新竹縣,湖口鄉,34,43606,58.43
8495,2023-02-26,新竹縣,湖口鄉,41,43572,62.29
8843,2023-02-25,新竹縣,湖口鄉,62,43531,65.57
9212,2023-02-24,新竹縣,湖口鄉,68,43469,68.29
9574,2023-02-23,新竹縣,湖口鄉,70,43401,69.14
9945,2023-02-22,新竹縣,湖口鄉,55,43331,66.14
10319,2023-02-21,新竹縣,湖口鄉,79,43276,71.71
10690,2023-02-20,新竹縣,湖口鄉,61,43197,71.14
11066,2023-02-19,新竹縣,湖口鄉,64,43136,73.57
11427,2023-02-18,新竹縣,湖口鄉,81,43072,75.14
11794,2023-02-17,新竹縣,湖口鄉,74,42991,75.57
12167,2023-02-16,新竹縣,湖口鄉,49,42917,75.43
12541,2023-02-15,新竹縣,湖口鄉,94,42868,84.14
12914,2023-02-14,新竹縣,湖口鄉,75,42774,87.29
13286,2023-02-13,新竹縣,湖口鄉,78,42699,92.86
13665,2023-02-12,新竹縣,湖口鄉,75,42621,98.29
14022,2023-02-11,新竹縣,湖口鄉,84,42546,100.00
14394,2023-02-10,新竹縣,湖口鄉,73,42462,102.14
14767,2023-02-09,新竹縣,湖口鄉,110,42389,111.43
15145,2023-02-08,新竹縣,湖口鄉,116,42279,114.57
15524,2023-02-07,新竹縣,湖口鄉,114,42163,116.71
15903,2023-02-06,新竹縣,湖口鄉,116,42049,127.71
16281,2023-02-05,新竹縣,湖口鄉,87,41933,129.14
16652,2023-02-04,新竹縣,湖口鄉,99,41846,139.29
17032,2023-02-03,新竹縣,湖口鄉,138,41747,141.57
17417,2023-02-02,新竹縣,湖口鄉,132,41609,143.00
17800,2023-02-01,新竹縣,湖口鄉,131,41477,138.29
18178,2023-01-31,新竹縣,湖口鄉,191,41346,132.14
18563,2023-01-30,新竹縣,湖口鄉,126,41155,115.29
18949,2023-01-29,新竹縣,湖口鄉,158,41029,106.43
19327,2023-01-28,新竹縣,湖口鄉,115,40871,91.14
19704,2023-01-27,新竹縣,湖口鄉,148,40756,85.29
20084,2023-01-26,新竹縣,湖口鄉,99,40608,73.86
20457,2023-01-25,新竹縣,湖口鄉,88,40509,69.86
20825,2023-01-24,新竹縣,湖口鄉,73,40421,68.86
21198,2023-01-23,新竹縣,湖口鄉,64,40348,71.71
21566,2023-01-22,新竹縣,湖口鄉,51,40284,71.43
21932,2023-01-21,新竹縣,湖口鄉,74,40233,74.86
22305,2023-01-20,新竹縣,湖口鄉,68,40159,76.00
22671,2023-01-19,新竹縣,湖口鄉,71,40091,79.57
23044,2023-01-18,新竹縣,湖口鄉,81,40020,82.86
23412,2023-01-17,新竹縣,湖口鄉,93,39939,85.00
23778,2023-01-16,新竹縣,湖口鄉,62,39846,88.14
24154,2023-01-15,新竹縣,湖口鄉,75,39784,94.43
24519,2023-01-14,新竹縣,湖口鄉,82,39709,96.29
24886,2023-01-13,新竹縣,湖口鄉,93,39627,100.43
25255,2023-01-12,新竹縣,湖口鄉,94,39534,103.29
25630,2023-01-11,新竹縣,湖口鄉,96,39440,104.29
26006,2023-01-10,新竹縣,湖口鄉,115,39344,111.14
26379,2023-01-09,新竹縣,湖口鄉,106,39229,118.57
26754,2023-01-08,新竹縣,湖口鄉,88,39123,116.57
27115,2023-01-07,新竹縣,湖口鄉,111,39035,119.14
27486,2023-01-06,新竹縣,湖口鄉,113,38924,119.00
27863,2023-01-05,新竹縣,湖口鄉,101,38811,121.71
28242,2023-01-04,新竹縣,湖口鄉,144,38710,121.57
28623,2023-01-03,新竹縣,湖口鄉,167,38566,116.00
29004,2023-01-02,新竹縣,湖口鄉,92,38399,108.86
29378,2023-01-01,新竹縣,湖口鄉,106,38307,110.00
29739,2022-12-31,新竹縣,湖口鄉,110,38201,106.86
30104,2022-12-30,新竹縣,湖口鄉,132,38091,101.43
30478,2022-12-29,新竹縣,湖口鄉,100,37959,93.71
30850,2022-12-28,新竹縣,湖口鄉,105,37859,92.86
31219,2022-12-27,新竹縣,湖口鄉,117,37754,87.86
31595,2022-12-26,新竹縣,湖口鄉,100,37637,84.43
31964,2022-12-25,新竹縣,湖口鄉,84,37537,78.57
32322,2022-12-24,新竹縣,湖口鄉,72,37453,71.71
32680,2022-12-23,新竹縣,湖口鄉,78,37381,71.43
33046,2022-12-22,新竹縣,湖口鄉,94,37303,68.29
33412,2022-12-21,新竹縣,湖口鄉,70,37209,63.43
33781,2022-12-20,新竹縣,湖口鄉,93,37139,63.86
34146,2022-12-19,新竹縣,湖口鄉,59,37046,62.57
34515,2022-12-18,新竹縣,湖口鄉,36,36987,65.57
34863,2022-12-17,新竹縣,湖口鄉,70,36951,70.14
35225,2022-12-16,新竹縣,湖口鄉,56,36881,68.00
35589,2022-12-15,新竹縣,湖口鄉,60,36825,70.00
35958,2022-12-14,新竹縣,湖口鄉,73,36765,70.43
36317,2022-12-13,新竹縣,湖口鄉,84,36692,67.43
36696,2022-12-12,新竹縣,湖口鄉,80,36608,67.86
37061,2022-12-11,新竹縣,湖口鄉,68,36528,62.29
37417,2022-12-10,新竹縣,湖口鄉,55,36460,63.29
37787,2022-12-09,新竹縣,湖口鄉,70,36405,64.00
38151,2022-12-08,新竹縣,湖口鄉,63,36335,65.00
