UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
622,2023-03-16,新竹縣,竹東鎮,1,65,0.29
746,2023-03-13,新竹縣,竹東鎮,1,64,0.14
1121,2023-03-05,新竹縣,竹東鎮,1,63,0.43
1172,2023-03-04,新竹縣,竹東鎮,1,62,0.43
1335,2023-03-01,新竹縣,竹東鎮,1,61,0.29
1502,2023-02-26,新竹縣,竹東鎮,1,60,0.14
1962,2023-02-18,新竹縣,竹東鎮,1,59,0.29
2079,2023-02-16,新竹縣,竹東鎮,1,58,0.29
2398,2023-02-11,新竹縣,竹東鎮,1,57,0.57
2530,2023-02-09,新竹縣,竹東鎮,1,56,0.43
2679,2023-02-07,新竹縣,竹東鎮,1,55,0.29
2739,2023-02-06,新竹縣,竹東鎮,1,54,0.14
3499,2023-01-24,新竹縣,竹東鎮,1,53,0.29
3651,2023-01-21,新竹縣,竹東鎮,1,52,0.29
3881,2023-01-16,新竹縣,竹東鎮,1,51,0.14
4242,2023-01-09,新竹縣,竹東鎮,1,50,0.43
4335,2023-01-07,新竹縣,竹東鎮,1,49,0.29
4389,2023-01-06,新竹縣,竹東鎮,1,48,0.14
5367,2022-12-14,新竹縣,竹東鎮,1,47,0.14
5707,2022-12-05,新竹縣,竹東鎮,1,46,0.14
6006,2022-11-27,新竹縣,竹東鎮,1,45,0.57
6129,2022-11-24,新竹縣,竹東鎮,1,44,0.71
6220,2022-11-22,新竹縣,竹東鎮,1,43,0.57
6267,2022-11-21,新竹縣,竹東鎮,1,42,0.57
6318,2022-11-20,新竹縣,竹東鎮,1,41,0.43
6370,2022-11-19,新竹縣,竹東鎮,1,40,0.29
6561,2022-11-15,新竹縣,竹東鎮,1,39,0.29
6913,2022-11-09,新竹縣,竹東鎮,1,38,0.14
8419,2022-10-17,新竹縣,竹東鎮,1,37,0.14
9038,2022-10-08,新竹縣,竹東鎮,1,36,0.14
10909,2022-09-05,新竹縣,竹東鎮,1,35,0.14
11364,2022-08-25,新竹縣,竹東鎮,1,34,0.14
11767,2022-08-14,新竹縣,竹東鎮,1,33,0.14
12515,2022-07-28,新竹縣,竹東鎮,1,32,0.14
13931,2022-07-06,新竹縣,竹東鎮,1,31,0.43
14204,2022-07-03,新竹縣,竹東鎮,1,30,0.57
14374,2022-07-01,新竹縣,竹東鎮,1,29,0.57
14575,2022-06-29,新竹縣,竹東鎮,1,28,0.43
14762,2022-06-27,新竹縣,竹東鎮,1,27,0.29
14870,2022-06-26,新竹縣,竹東鎮,1,26,0.29
15498,2022-06-20,新竹縣,竹東鎮,1,25,0.43
15845,2022-06-17,新竹縣,竹東鎮,1,24,0.43
16099,2022-06-15,新竹縣,竹東鎮,1,23,0.29
16483,2022-06-12,新竹縣,竹東鎮,1,22,0.43
17097,2022-06-07,新竹縣,竹東鎮,1,21,0.71
17227,2022-06-06,新竹縣,竹東鎮,1,20,0.57
17459,2022-06-04,新竹縣,竹東鎮,1,19,0.57
17587,2022-06-03,新竹縣,竹東鎮,1,18,0.43
17815,2022-06-01,新竹縣,竹東鎮,1,17,0.29
18074,2022-05-30,新竹縣,竹東鎮,1,16,0.14
18792,2022-05-23,新竹縣,竹東鎮,1,15,0.29
19126,2022-05-19,新竹縣,竹東鎮,1,14,0.29
19326,2022-05-16,新竹縣,竹東鎮,1,13,0.14
19946,2021-08-20,新竹縣,竹東鎮,1,12,0.14
19973,2021-08-06,新竹縣,竹東鎮,1,11,0.14
20030,2021-07-22,新竹縣,竹東鎮,1,10,0.14
20122,2021-07-08,新竹縣,竹東鎮,2,9,0.43
20135,2021-07-07,新竹縣,竹東鎮,1,7,0.14
20228,2021-06-28,新竹縣,竹東鎮,1,6,0.43
20252,2021-06-26,新竹縣,竹東鎮,1,5,0.43
20296,2021-06-22,新竹縣,竹東鎮,1,4,0.43
20308,2021-06-21,新竹縣,竹東鎮,1,3,0.29
20367,2021-06-17,新竹縣,竹東鎮,1,2,0.29
20435,2021-06-13,新竹縣,竹東鎮,1,1,0.14
