UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
237,2023-06-14,新竹縣,芎林鄉,1,9136,0.14
575,2023-03-21,新竹縣,芎林鄉,1,9135,7.57
824,2023-03-20,新竹縣,芎林鄉,1,9134,8.86
1134,2023-03-19,新竹縣,芎林鄉,5,9133,12.00
1467,2023-03-18,新竹縣,芎林鄉,10,9128,12.00
1817,2023-03-17,新竹縣,芎林鄉,8,9118,11.86
2166,2023-03-16,新竹縣,芎林鄉,17,9110,12.29
2520,2023-03-15,新竹縣,芎林鄉,11,9093,11.43
2871,2023-03-14,新竹縣,芎林鄉,10,9082,12.29
3228,2023-03-13,新竹縣,芎林鄉,23,9072,12.71
3581,2023-03-12,新竹縣,芎林鄉,5,9049,10.43
3933,2023-03-11,新竹縣,芎林鄉,9,9044,11.29
4285,2023-03-10,新竹縣,芎林鄉,11,9035,10.57
4641,2023-03-09,新竹縣,芎林鄉,11,9024,10.14
4997,2023-03-08,新竹縣,芎林鄉,17,9013,10.57
5351,2023-03-07,新竹縣,芎林鄉,13,8996,9.29
5717,2023-03-06,新竹縣,芎林鄉,7,8983,8.86
6071,2023-03-05,新竹縣,芎林鄉,11,8976,9.57
6414,2023-03-04,新竹縣,芎林鄉,4,8965,8.86
6769,2023-03-03,新竹縣,芎林鄉,8,8961,10.14
7131,2023-03-02,新竹縣,芎林鄉,14,8953,10.57
7496,2023-03-01,新竹縣,芎林鄉,8,8939,10.71
7867,2023-02-28,新竹縣,芎林鄉,10,8931,11.71
8230,2023-02-27,新竹縣,芎林鄉,12,8921,14.14
8576,2023-02-26,新竹縣,芎林鄉,6,8909,14.86
8935,2023-02-25,新竹縣,芎林鄉,13,8903,15.57
9302,2023-02-24,新竹縣,芎林鄉,11,8890,17.29
9667,2023-02-23,新竹縣,芎林鄉,15,8879,19.57
10038,2023-02-22,新竹縣,芎林鄉,15,8864,19.57
10411,2023-02-21,新竹縣,芎林鄉,27,8849,21.14
10783,2023-02-20,新竹縣,芎林鄉,17,8822,21.57
11153,2023-02-19,新竹縣,芎林鄉,11,8805,22.57
11517,2023-02-18,新竹縣,芎林鄉,25,8794,25.43
11885,2023-02-17,新竹縣,芎林鄉,27,8769,24.14
12259,2023-02-16,新竹縣,芎林鄉,15,8742,23.29
12634,2023-02-15,新竹縣,芎林鄉,26,8727,25.14
13009,2023-02-14,新竹縣,芎林鄉,30,8701,24.14
13380,2023-02-13,新竹縣,芎林鄉,24,8671,24.29
13754,2023-02-12,新竹縣,芎林鄉,31,8647,23.57
14116,2023-02-11,新竹縣,芎林鄉,16,8616,22.86
14486,2023-02-10,新竹縣,芎林鄉,21,8600,22.86
14859,2023-02-09,新竹縣,芎林鄉,28,8579,23.14
15240,2023-02-08,新竹縣,芎林鄉,19,8551,23.29
15618,2023-02-07,新竹縣,芎林鄉,31,8532,25.57
15998,2023-02-06,新竹縣,芎林鄉,19,8501,28.43
16373,2023-02-05,新竹縣,芎林鄉,26,8482,29.57
16747,2023-02-04,新竹縣,芎林鄉,16,8456,30.14
17126,2023-02-03,新竹縣,芎林鄉,23,8440,33.00
17513,2023-02-02,新竹縣,芎林鄉,29,8417,34.00
17893,2023-02-01,新竹縣,芎林鄉,35,8388,33.57
18275,2023-01-31,新竹縣,芎林鄉,51,8353,31.14
18660,2023-01-30,新竹縣,芎林鄉,27,8302,25.71
19045,2023-01-29,新竹縣,芎林鄉,30,8275,24.29
19423,2023-01-28,新竹縣,芎林鄉,36,8245,21.71
19799,2023-01-27,新竹縣,芎林鄉,30,8209,19.86
20178,2023-01-26,新竹縣,芎林鄉,26,8179,18.86
20549,2023-01-25,新竹縣,芎林鄉,18,8153,17.29
20919,2023-01-24,新竹縣,芎林鄉,13,8135,18.43
21287,2023-01-23,新竹縣,芎林鄉,17,8122,19.29
21659,2023-01-22,新竹縣,芎林鄉,12,8105,19.57
22026,2023-01-21,新竹縣,芎林鄉,23,8093,21.14
22396,2023-01-20,新竹縣,芎林鄉,23,8070,20.00
22764,2023-01-19,新竹縣,芎林鄉,15,8047,20.14
23135,2023-01-18,新竹縣,芎林鄉,26,8032,20.86
23502,2023-01-17,新竹縣,芎林鄉,19,8006,20.43
23870,2023-01-16,新竹縣,芎林鄉,19,7987,21.14
24244,2023-01-15,新竹縣,芎林鄉,23,7968,20.71
24611,2023-01-14,新竹縣,芎林鄉,15,7945,20.86
24979,2023-01-13,新竹縣,芎林鄉,24,7930,21.29
25351,2023-01-12,新竹縣,芎林鄉,20,7906,21.00
25722,2023-01-11,新竹縣,芎林鄉,23,7886,23.57
26100,2023-01-10,新竹縣,芎林鄉,24,7863,26.14
26474,2023-01-09,新竹縣,芎林鄉,16,7839,29.00
26843,2023-01-08,新竹縣,芎林鄉,24,7823,31.29
27205,2023-01-07,新竹縣,芎林鄉,18,7799,30.43
27579,2023-01-06,新竹縣,芎林鄉,22,7781,31.86
27958,2023-01-05,新竹縣,芎林鄉,38,7759,33.71
28338,2023-01-04,新竹縣,芎林鄉,41,7721,33.71
28720,2023-01-03,新竹縣,芎林鄉,44,7680,32.71
29099,2023-01-02,新竹縣,芎林鄉,32,7636,30.86
29469,2023-01-01,新竹縣,芎林鄉,18,7604,29.43
29829,2022-12-31,新竹縣,芎林鄉,28,7586,30.57
30196,2022-12-30,新竹縣,芎林鄉,35,7558,28.29
30570,2022-12-29,新竹縣,芎林鄉,38,7523,26.00
30943,2022-12-28,新竹縣,芎林鄉,34,7485,24.29
31315,2022-12-27,新竹縣,芎林鄉,31,7451,23.86
31689,2022-12-26,新竹縣,芎林鄉,22,7420,22.86
32052,2022-12-25,新竹縣,芎林鄉,26,7398,22.29
32413,2022-12-24,新竹縣,芎林鄉,12,7372,19.71
32771,2022-12-23,新竹縣,芎林鄉,19,7360,21.00
33137,2022-12-22,新竹縣,芎林鄉,26,7341,19.71
33503,2022-12-21,新竹縣,芎林鄉,31,7315,18.71
33871,2022-12-20,新竹縣,芎林鄉,24,7284,16.71
34237,2022-12-19,新竹縣,芎林鄉,18,7260,15.71
34599,2022-12-18,新竹縣,芎林鄉,8,7242,14.43
34952,2022-12-17,新竹縣,芎林鄉,21,7234,14.86
35320,2022-12-16,新竹縣,芎林鄉,10,7213,14.43
35681,2022-12-15,新竹縣,芎林鄉,19,7203,15.57
36045,2022-12-14,新竹縣,芎林鄉,17,7184,14.14
36412,2022-12-13,新竹縣,芎林鄉,17,7167,14.00
36789,2022-12-12,新竹縣,芎林鄉,9,7150,14.71
37148,2022-12-11,新竹縣,芎林鄉,11,7141,15.86
37510,2022-12-10,新竹縣,芎林鄉,18,7130,16.71
37875,2022-12-09,新竹縣,芎林鄉,18,7112,16.29
38246,2022-12-08,新竹縣,芎林鄉,9,7094,15.00
38620,2022-12-07,新竹縣,芎林鄉,16,7085,16.00
38985,2022-12-06,新竹縣,芎林鄉,22,7069,16.57
39362,2022-12-05,新竹縣,芎林鄉,17,7047,15.14
39737,2022-12-04,新竹縣,芎林鄉,17,7030,17.43
40103,2022-12-03,新竹縣,芎林鄉,15,7013,18.00
40470,2022-12-02,新竹縣,芎林鄉,9,6998,17.86
40839,2022-12-01,新竹縣,芎林鄉,16,6989,18.86
41212,2022-11-30,新竹縣,芎林鄉,20,6973,18.57
41587,2022-11-29,新竹縣,芎林鄉,12,6953,18.71
41965,2022-11-28,新竹縣,芎林鄉,33,6941,20.00
42338,2022-11-27,新竹縣,芎林鄉,21,6908,18.57
42693,2022-11-26,新竹縣,芎林鄉,14,6887,17.14
43058,2022-11-25,新竹縣,芎林鄉,16,6873,18.43
43428,2022-11-24,新竹縣,芎林鄉,14,6857,20.14
43796,2022-11-23,新竹縣,芎林鄉,21,6843,20.00
44169,2022-11-22,新竹縣,芎林鄉,21,6822,19.43
44548,2022-11-21,新竹縣,芎林鄉,23,6801,19.43
44924,2022-11-20,新竹縣,芎林鄉,11,6778,17.86
45291,2022-11-19,新竹縣,芎林鄉,23,6767,17.71
45661,2022-11-18,新竹縣,芎林鄉,28,6744,16.71
46034,2022-11-17,新竹縣,芎林鄉,13,6716,15.00
46410,2022-11-16,新竹縣,芎林鄉,17,6703,15.57
46792,2022-11-15,新竹縣,芎林鄉,21,6686,15.14
47170,2022-11-14,新竹縣,芎林鄉,12,6665,15.00
47547,2022-11-13,新竹縣,芎林鄉,10,6653,16.14
47920,2022-11-12,新竹縣,芎林鄉,16,6643,16.14
48299,2022-11-11,新竹縣,芎林鄉,16,6627,16.00
48678,2022-11-10,新竹縣,芎林鄉,17,6611,19.57
49061,2022-11-09,新竹縣,芎林鄉,14,6594,21.43
49448,2022-11-08,新竹縣,芎林鄉,20,6580,24.57
49833,2022-11-07,新竹縣,芎林鄉,20,6560,25.00
50210,2022-11-06,新竹縣,芎林鄉,10,6540,25.43
50580,2022-11-05,新竹縣,芎林鄉,15,6530,26.57
50964,2022-11-04,新竹縣,芎林鄉,41,6515,27.57
51347,2022-11-03,新竹縣,芎林鄉,30,6474,23.57
51727,2022-11-02,新竹縣,芎林鄉,36,6444,22.71
52114,2022-11-01,新竹縣,芎林鄉,23,6408,23.86
52497,2022-10-31,新竹縣,芎林鄉,23,6385,23.57
52878,2022-10-30,新竹縣,芎林鄉,18,6362,22.71
53257,2022-10-29,新竹縣,芎林鄉,22,6344,22.71
53641,2022-10-28,新竹縣,芎林鄉,13,6322,23.71
54027,2022-10-27,新竹縣,芎林鄉,24,6309,25.57
54412,2022-10-26,新竹縣,芎林鄉,44,6285,26.43
54798,2022-10-25,新竹縣,芎林鄉,21,6241,25.29
55189,2022-10-24,新竹縣,芎林鄉,17,6220,25.86
55574,2022-10-23,新竹縣,芎林鄉,18,6203,28.29
55955,2022-10-22,新竹縣,芎林鄉,29,6185,29.14
56341,2022-10-21,新竹縣,芎林鄉,26,6156,29.00
56727,2022-10-20,新竹縣,芎林鄉,30,6130,29.00
57114,2022-10-19,新竹縣,芎林鄉,36,6100,28.86
57502,2022-10-18,新竹縣,芎林鄉,25,6064,28.86
57892,2022-10-17,新竹縣,芎林鄉,34,6039,31.29
58280,2022-10-16,新竹縣,芎林鄉,24,6005,31.29
58666,2022-10-15,新竹縣,芎林鄉,28,5981,31.43
59052,2022-10-14,新竹縣,芎林鄉,26,5953,34.29
59441,2022-10-13,新竹縣,芎林鄉,29,5927,35.57
59832,2022-10-12,新竹縣,芎林鄉,36,5898,38.29
60222,2022-10-11,新竹縣,芎林鄉,42,5862,38.14
60612,2022-10-10,新竹縣,芎林鄉,34,5820,38.86
60995,2022-10-09,新竹縣,芎林鄉,25,5786,38.71
61384,2022-10-08,新竹縣,芎林鄉,48,5761,38.71
61773,2022-10-07,新竹縣,芎林鄉,35,5713,36.29
62160,2022-10-06,新竹縣,芎林鄉,48,5678,37.43
62551,2022-10-05,新竹縣,芎林鄉,35,5630,38.43
62938,2022-10-04,新竹縣,芎林鄉,47,5595,39.29
63327,2022-10-03,新竹縣,芎林鄉,33,5548,37.86
63717,2022-10-02,新竹縣,芎林鄉,25,5515,42.00
64098,2022-10-01,新竹縣,芎林鄉,31,5490,42.57
64484,2022-09-30,新竹縣,芎林鄉,43,5459,44.43
64869,2022-09-29,新竹縣,芎林鄉,55,5416,44.71
65258,2022-09-28,新竹縣,芎林鄉,41,5361,41.43
65645,2022-09-27,新竹縣,芎林鄉,37,5320,40.00
66031,2022-09-26,新竹縣,芎林鄉,62,5283,40.71
66418,2022-09-25,新竹縣,芎林鄉,29,5221,39.00
66802,2022-09-24,新竹縣,芎林鄉,44,5192,39.29
67188,2022-09-23,新竹縣,芎林鄉,45,5148,38.29
67575,2022-09-22,新竹縣,芎林鄉,32,5103,37.00
67964,2022-09-21,新竹縣,芎林鄉,31,5071,37.71
68353,2022-09-20,新竹縣,芎林鄉,42,5040,38.71
68743,2022-09-19,新竹縣,芎林鄉,50,4998,39.71
69133,2022-09-18,新竹縣,芎林鄉,31,4948,39.14
69516,2022-09-17,新竹縣,芎林鄉,37,4917,39.00
69903,2022-09-16,新竹縣,芎林鄉,36,4880,39.57
70288,2022-09-15,新竹縣,芎林鄉,37,4844,40.29
70675,2022-09-14,新竹縣,芎林鄉,38,4807,41.71
71061,2022-09-13,新竹縣,芎林鄉,49,4769,44.43
71450,2022-09-12,新竹縣,芎林鄉,46,4720,45.57
71837,2022-09-11,新竹縣,芎林鄉,30,4674,43.43
72219,2022-09-10,新竹縣,芎林鄉,41,4644,42.14
72601,2022-09-09,新竹縣,芎林鄉,41,4603,41.14
72985,2022-09-08,新竹縣,芎林鄉,47,4562,41.29
73372,2022-09-07,新竹縣,芎林鄉,57,4515,40.29
73756,2022-09-06,新竹縣,芎林鄉,57,4458,37.14
74142,2022-09-05,新竹縣,芎林鄉,31,4401,33.43
74526,2022-09-04,新竹縣,芎林鄉,21,4370,33.14
74910,2022-09-03,新竹縣,芎林鄉,34,4349,33.00
75298,2022-09-02,新竹縣,芎林鄉,42,4315,32.00
75684,2022-09-01,新竹縣,芎林鄉,40,4273,27.86
76073,2022-08-31,新竹縣,芎林鄉,35,4233,26.29
76460,2022-08-30,新竹縣,芎林鄉,31,4198,25.00
76848,2022-08-29,新竹縣,芎林鄉,29,4167,23.00
77235,2022-08-28,新竹縣,芎林鄉,20,4138,22.57
77620,2022-08-27,新竹縣,芎林鄉,27,4118,21.57
78006,2022-08-26,新竹縣,芎林鄉,13,4091,22.57
78390,2022-08-25,新竹縣,芎林鄉,29,4078,23.86
78775,2022-08-24,新竹縣,芎林鄉,26,4049,21.71
79162,2022-08-23,新竹縣,芎林鄉,17,4023,20.86
79547,2022-08-22,新竹縣,芎林鄉,26,4006,21.00
79931,2022-08-21,新竹縣,芎林鄉,13,3980,20.43
80311,2022-08-20,新竹縣,芎林鄉,34,3967,21.00
80695,2022-08-19,新竹縣,芎林鄉,22,3933,18.29
81081,2022-08-18,新竹縣,芎林鄉,14,3911,17.86
81470,2022-08-17,新竹縣,芎林鄉,20,3897,19.14
81855,2022-08-16,新竹縣,芎林鄉,18,3877,19.43
82242,2022-08-15,新竹縣,芎林鄉,22,3859,20.71
82625,2022-08-14,新竹縣,芎林鄉,17,3837,21.43
83002,2022-08-13,新竹縣,芎林鄉,15,3820,21.29
83384,2022-08-12,新竹縣,芎林鄉,19,3805,22.14
83768,2022-08-11,新竹縣,芎林鄉,23,3786,21.43
84155,2022-08-10,新竹縣,芎林鄉,22,3763,20.71
84538,2022-08-09,新竹縣,芎林鄉,27,3741,20.29
84924,2022-08-08,新竹縣,芎林鄉,27,3714,20.43
85303,2022-08-07,新竹縣,芎林鄉,16,3687,19.00
85678,2022-08-06,新竹縣,芎林鄉,21,3671,18.57
86062,2022-08-05,新竹縣,芎林鄉,14,3650,17.14
86448,2022-08-04,新竹縣,芎林鄉,18,3636,18.00
86833,2022-08-03,新竹縣,芎林鄉,19,3618,19.29
87215,2022-08-02,新竹縣,芎林鄉,28,3599,18.71
87602,2022-08-01,新竹縣,芎林鄉,17,3571,16.71
87985,2022-07-31,新竹縣,芎林鄉,13,3554,15.86
88362,2022-07-30,新竹縣,芎林鄉,11,3541,15.86
88743,2022-07-29,新竹縣,芎林鄉,20,3530,16.00
89129,2022-07-28,新竹縣,芎林鄉,27,3510,16.43
89516,2022-07-27,新竹縣,芎林鄉,15,3483,14.71
89906,2022-07-26,新竹縣,芎林鄉,14,3468,15.57
90293,2022-07-25,新竹縣,芎林鄉,11,3454,16.29
90673,2022-07-24,新竹縣,芎林鄉,13,3443,17.71
91053,2022-07-23,新竹縣,芎林鄉,12,3430,19.57
91439,2022-07-22,新竹縣,芎林鄉,23,3418,20.71
91825,2022-07-21,新竹縣,芎林鄉,15,3395,20.71
92207,2022-07-20,新竹縣,芎林鄉,21,3380,20.71
92596,2022-07-19,新竹縣,芎林鄉,19,3359,21.00
92985,2022-07-18,新竹縣,芎林鄉,21,3340,21.29
93371,2022-07-17,新竹縣,芎林鄉,26,3319,22.14
93750,2022-07-16,新竹縣,芎林鄉,20,3293,20.71
94138,2022-07-15,新竹縣,芎林鄉,23,3273,23.00
94525,2022-07-14,新竹縣,芎林鄉,15,3250,24.14
94914,2022-07-13,新竹縣,芎林鄉,23,3235,26.43
95301,2022-07-12,新竹縣,芎林鄉,21,3212,28.29
95690,2022-07-11,新竹縣,芎林鄉,27,3191,30.57
96076,2022-07-10,新竹縣,芎林鄉,16,3164,31.14
96462,2022-07-09,新竹縣,芎林鄉,36,3148,32.71
96849,2022-07-08,新竹縣,芎林鄉,31,3112,32.57
97240,2022-07-07,新竹縣,芎林鄉,31,3081,33.29
97630,2022-07-06,新竹縣,芎林鄉,36,3050,32.29
98019,2022-07-05,新竹縣,芎林鄉,37,3014,32.00
98408,2022-07-04,新竹縣,芎林鄉,31,2977,31.57
98798,2022-07-03,新竹縣,芎林鄉,27,2946,32.00
99180,2022-07-02,新竹縣,芎林鄉,35,2919,31.57
99571,2022-07-01,新竹縣,芎林鄉,36,2884,31.86
99963,2022-06-30,新竹縣,芎林鄉,24,2848,31.00
100354,2022-06-29,新竹縣,芎林鄉,34,2824,30.00
100744,2022-06-28,新竹縣,芎林鄉,34,2790,33.00
101135,2022-06-27,新竹縣,芎林鄉,34,2756,34.86
101522,2022-06-26,新竹縣,芎林鄉,24,2722,34.86
101909,2022-06-25,新竹縣,芎林鄉,37,2698,35.71
102297,2022-06-24,新竹縣,芎林鄉,30,2661,34.86
102689,2022-06-23,新竹縣,芎林鄉,17,2631,35.57
103082,2022-06-22,新竹縣,芎林鄉,55,2614,38.43
103471,2022-06-21,新竹縣,芎林鄉,47,2559,37.29
103863,2022-06-20,新竹縣,芎林鄉,34,2512,36.00
104253,2022-06-19,新竹縣,芎林鄉,30,2478,39.57
104644,2022-06-18,新竹縣,芎林鄉,31,2448,40.86
105035,2022-06-17,新竹縣,芎林鄉,35,2417,45.71
105425,2022-06-16,新竹縣,芎林鄉,37,2382,43.57
105815,2022-06-15,新竹縣,芎林鄉,47,2345,46.86
106205,2022-06-14,新竹縣,芎林鄉,38,2298,45.71
106597,2022-06-13,新竹縣,芎林鄉,59,2260,51.14
106987,2022-06-12,新竹縣,芎林鄉,39,2201,50.71
107374,2022-06-11,新竹縣,芎林鄉,65,2162,52.43
107766,2022-06-10,新竹縣,芎林鄉,20,2097,50.29
108155,2022-06-09,新竹縣,芎林鄉,60,2077,57.14
108544,2022-06-08,新竹縣,芎林鄉,39,2017,61.00
108934,2022-06-07,新竹縣,芎林鄉,76,1978,71.86
109326,2022-06-06,新竹縣,芎林鄉,56,1902,81.00
109716,2022-06-05,新竹縣,芎林鄉,51,1846,85.57
110105,2022-06-04,新竹縣,芎林鄉,50,1795,87.71
110495,2022-06-03,新竹縣,芎林鄉,68,1745,93.43
110886,2022-06-02,新竹縣,芎林鄉,87,1677,93.57
111276,2022-06-01,新竹縣,芎林鄉,115,1590,92.14
111668,2022-05-31,新竹縣,芎林鄉,140,1475,86.29
112059,2022-05-30,新竹縣,芎林鄉,88,1335,76.29
112450,2022-05-29,新竹縣,芎林鄉,66,1247,73.00
112840,2022-05-28,新竹縣,芎林鄉,90,1181,68.43
113231,2022-05-27,新竹縣,芎林鄉,69,1091,64.14
113621,2022-05-26,新竹縣,芎林鄉,77,1022,61.86
114012,2022-05-25,新竹縣,芎林鄉,74,945,56.14
114402,2022-05-24,新竹縣,芎林鄉,70,871,52.86
114794,2022-05-23,新竹縣,芎林鄉,65,801,51.57
115185,2022-05-22,新竹縣,芎林鄉,34,736,48.71
115576,2022-05-21,新竹縣,芎林鄉,60,702,48.43
115961,2022-05-20,新竹縣,芎林鄉,53,642,46.71
116349,2022-05-19,新竹縣,芎林鄉,37,589,46.71
116737,2022-05-18,新竹縣,芎林鄉,51,552,46.71
117128,2022-05-17,新竹縣,芎林鄉,61,501,41.71
117516,2022-05-16,新竹縣,芎林鄉,45,440,39.00
117904,2022-05-15,新竹縣,芎林鄉,32,395,35.00
118288,2022-05-14,新竹縣,芎林鄉,48,363,33.57
118673,2022-05-13,新竹縣,芎林鄉,53,315,29.00
119061,2022-05-12,新竹縣,芎林鄉,37,262,24.29
119444,2022-05-11,新竹縣,芎林鄉,16,225,21.00
119830,2022-05-10,新竹縣,芎林鄉,42,209,21.14
120212,2022-05-09,新竹縣,芎林鄉,17,167,16.14
120592,2022-05-08,新竹縣,芎林鄉,22,150,14.43
120978,2022-05-07,新竹縣,芎林鄉,16,128,12.57
121356,2022-05-06,新竹縣,芎林鄉,20,112,11.14
121730,2022-05-05,新竹縣,芎林鄉,14,92,9.14
122099,2022-05-04,新竹縣,芎林鄉,17,78,8.29
122462,2022-05-03,新竹縣,芎林鄉,7,61,6.29
122817,2022-05-02,新竹縣,芎林鄉,5,54,6.14
123157,2022-05-01,新竹縣,芎林鄉,9,49,5.71
123491,2022-04-30,新竹縣,芎林鄉,6,40,4.57
123815,2022-04-29,新竹縣,芎林鄉,6,34,3.86
124132,2022-04-28,新竹縣,芎林鄉,8,28,3.29
124436,2022-04-27,新竹縣,芎林鄉,3,20,2.29
124734,2022-04-26,新竹縣,芎林鄉,6,17,1.86
125014,2022-04-25,新竹縣,芎林鄉,2,11,1.00
125273,2022-04-24,新竹縣,芎林鄉,1,9,0.71
125512,2022-04-23,新竹縣,芎林鄉,1,8,0.57
125759,2022-04-22,新竹縣,芎林鄉,2,7,0.43
125998,2022-04-21,新竹縣,芎林鄉,1,5,0.14
127424,2022-04-13,新竹縣,芎林鄉,1,4,0.57
127579,2022-04-12,新竹縣,芎林鄉,2,3,0.43
127720,2022-04-11,新竹縣,芎林鄉,1,1,0.14
