UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
780,2023-03-20,新竹縣,關西鎮,1,10394,5.43
1082,2023-03-19,新竹縣,關西鎮,1,10393,6.71
1413,2023-03-18,新竹縣,關西鎮,7,10392,7.29
1758,2023-03-17,新竹縣,關西鎮,4,10385,7.29
2111,2023-03-16,新竹縣,關西鎮,5,10381,7.43
2463,2023-03-15,新竹縣,關西鎮,8,10376,7.86
2813,2023-03-14,新竹縣,關西鎮,12,10368,8.29
3171,2023-03-13,新竹縣,關西鎮,10,10356,8.71
3527,2023-03-12,新竹縣,關西鎮,5,10346,8.43
3877,2023-03-11,新竹縣,關西鎮,7,10341,9.00
4226,2023-03-10,新竹縣,關西鎮,5,10334,8.57
4585,2023-03-09,新竹縣,關西鎮,8,10329,9.29
4940,2023-03-08,新竹縣,關西鎮,11,10321,9.43
5296,2023-03-07,新竹縣,關西鎮,15,10310,11.86
5658,2023-03-06,新竹縣,關西鎮,8,10295,11.71
6016,2023-03-05,新竹縣,關西鎮,9,10287,12.00
6359,2023-03-04,新竹縣,關西鎮,4,10278,11.86
6711,2023-03-03,新竹縣,關西鎮,10,10274,12.86
7072,2023-03-02,新竹縣,關西鎮,9,10264,13.14
7436,2023-03-01,新竹縣,關西鎮,28,10255,13.71
7807,2023-02-28,新竹縣,關西鎮,14,10227,12.14
8174,2023-02-27,新竹縣,關西鎮,10,10213,12.57
8524,2023-02-26,新竹縣,關西鎮,8,10203,14.71
8876,2023-02-25,新竹縣,關西鎮,11,10195,14.71
9244,2023-02-24,新竹縣,關西鎮,12,10184,14.57
9607,2023-02-23,新竹縣,關西鎮,13,10172,16.00
9977,2023-02-22,新竹縣,關西鎮,17,10159,18.57
10351,2023-02-21,新竹縣,關西鎮,17,10142,18.71
10722,2023-02-20,新竹縣,關西鎮,25,10125,19.00
11097,2023-02-19,新竹縣,關西鎮,8,10100,20.29
11459,2023-02-18,新竹縣,關西鎮,10,10092,20.29
11824,2023-02-17,新竹縣,關西鎮,22,10082,21.57
12199,2023-02-16,新竹縣,關西鎮,31,10060,21.86
12574,2023-02-15,新竹縣,關西鎮,18,10029,20.00
12947,2023-02-14,新竹縣,關西鎮,19,10011,20.57
