UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
53,2023-06-21,桃園市,中壢區,1,213078,0.14
92,2023-06-14,桃園市,中壢區,19,213077,2.71
291,2023-05-16,桃園市,中壢區,22,213058,3.14
416,2023-03-22,桃園市,中壢區,1,213036,95.00
481,2023-03-21,桃園市,中壢區,9,213035,122.43
620,2023-03-20,桃園市,中壢區,54,213026,151.29
904,2023-03-19,桃園市,中壢區,113,212972,168.29
1232,2023-03-18,桃園市,中壢區,168,212859,171.29
1572,2023-03-17,桃園市,中壢區,137,212691,177.43
1924,2023-03-16,桃園市,中壢區,183,212554,187.29
2277,2023-03-15,桃園市,中壢區,193,212371,189.14
2628,2023-03-14,桃園市,中壢區,211,212178,196.00
2985,2023-03-13,桃園市,中壢區,173,211967,201.71
3344,2023-03-12,桃園市,中壢區,134,211794,206.43
3689,2023-03-11,桃園市,中壢區,211,211660,208.14
4042,2023-03-10,桃園市,中壢區,206,211449,214.00
4397,2023-03-09,桃園市,中壢區,196,211243,219.00
4756,2023-03-08,桃園市,中壢區,241,211047,235.14
5110,2023-03-07,桃園市,中壢區,251,210806,241.43
5469,2023-03-06,桃園市,中壢區,206,210555,241.14
5834,2023-03-05,桃園市,中壢區,146,210349,235.29
6173,2023-03-04,桃園市,中壢區,252,210203,242.43
6525,2023-03-03,桃園市,中壢區,241,209951,246.29
6884,2023-03-02,桃園市,中壢區,309,209710,253.00
7248,2023-03-01,桃園市,中壢區,285,209401,255.57
7619,2023-02-28,桃園市,中壢區,249,209116,256.71
7982,2023-02-27,桃園市,中壢區,165,208867,274.00
8341,2023-02-26,桃園市,中壢區,196,208702,295.57
8686,2023-02-25,桃園市,中壢區,279,208506,312.14
9056,2023-02-24,桃園市,中壢區,288,208227,330.86
9417,2023-02-23,桃園市,中壢區,327,207939,339.00
9787,2023-02-22,桃園市,中壢區,293,207612,351.43
10162,2023-02-21,桃園市,中壢區,370,207319,360.57
10531,2023-02-20,桃園市,中壢區,316,206949,380.14
10911,2023-02-19,桃園市,中壢區,312,206633,390.43
11269,2023-02-18,桃園市,中壢區,410,206321,385.14
11636,2023-02-17,桃園市,中壢區,345,205911,380.71
12008,2023-02-16,桃園市,中壢區,414,205566,393.57
12383,2023-02-15,桃園市,中壢區,357,205152,400.71
12756,2023-02-14,桃園市,中壢區,507,204795,426.29
13128,2023-02-13,桃園市,中壢區,388,204288,441.43
13507,2023-02-12,桃園市,中壢區,275,203900,452.29
13864,2023-02-11,桃園市,中壢區,379,203625,473.29
14236,2023-02-10,桃園市,中壢區,435,203246,501.14
14610,2023-02-09,桃園市,中壢區,464,202811,516.86
14986,2023-02-08,桃園市,中壢區,536,202347,535.43
15365,2023-02-07,桃園市,中壢區,613,201811,549.86
15744,2023-02-06,桃園市,中壢區,464,201198,580.14
16126,2023-02-05,桃園市,中壢區,422,200734,602.00
16494,2023-02-04,桃園市,中壢區,574,200312,615.00
16873,2023-02-03,桃園市,中壢區,545,199738,619.29
17259,2023-02-02,桃園市,中壢區,594,199193,629.71
17642,2023-02-01,桃園市,中壢區,637,198599,620.57
18019,2023-01-31,桃園市,中壢區,825,197962,595.29
18404,2023-01-30,桃園市,中壢區,617,197137,522.57
18793,2023-01-29,桃園市,中壢區,513,196520,465.57
19169,2023-01-28,桃園市,中壢區,604,196007,415.86
19548,2023-01-27,桃園市,中壢區,618,195403,388.57
19926,2023-01-26,桃園市,中壢區,530,194785,362.71
20303,2023-01-25,桃園市,中壢區,460,194255,344.43
20668,2023-01-24,桃園市,中壢區,316,193795,333.14
21043,2023-01-23,桃園市,中壢區,218,193479,360.57
21410,2023-01-22,桃園市,中壢區,165,193261,378.14
21774,2023-01-21,桃園市,中壢區,413,193096,407.86
22146,2023-01-20,桃園市,中壢區,437,192683,412.43
22513,2023-01-19,桃園市,中壢區,402,192246,407.00
22884,2023-01-18,桃園市,中壢區,381,191844,420.57
23256,2023-01-17,桃園市,中壢區,508,191463,434.00
23620,2023-01-16,桃園市,中壢區,341,190955,441.57
23996,2023-01-15,桃園市,中壢區,373,190614,452.43
24363,2023-01-14,桃園市,中壢區,445,190241,460.14
24731,2023-01-13,桃園市,中壢區,399,189796,463.00
25099,2023-01-12,桃園市,中壢區,497,189397,480.00
25474,2023-01-11,桃園市,中壢區,475,188900,491.57
25850,2023-01-10,桃園市,中壢區,561,188425,520.43
26222,2023-01-09,桃園市,中壢區,417,187864,536.00
26601,2023-01-08,桃園市,中壢區,427,187447,546.43
26958,2023-01-07,桃園市,中壢區,465,187020,538.43
27329,2023-01-06,桃園市,中壢區,518,186555,558.14
27705,2023-01-05,桃園市,中壢區,578,186037,565.14
28085,2023-01-04,桃園市,中壢區,677,185459,575.14
28466,2023-01-03,桃園市,中壢區,670,184782,567.86
28848,2023-01-02,桃園市,中壢區,490,184112,577.57
29219,2023-01-01,桃園市,中壢區,371,183622,577.43
29581,2022-12-31,桃園市,中壢區,603,183251,571.57
29947,2022-12-30,桃園市,中壢區,567,182648,542.29
30319,2022-12-29,桃園市,中壢區,648,182081,519.43
30692,2022-12-28,桃園市,中壢區,626,181433,490.57
31062,2022-12-27,桃園市,中壢區,738,180807,467.14
31439,2022-12-26,桃園市,中壢區,489,180069,424.43
31811,2022-12-25,桃園市,中壢區,330,179580,405.86
32165,2022-12-24,桃園市,中壢區,398,179250,395.29
32525,2022-12-23,桃園市,中壢區,407,178852,386.00
32889,2022-12-22,桃園市,中壢區,446,178445,375.43
33256,2022-12-21,桃園市,中壢區,462,177999,364.71
33626,2022-12-20,桃園市,中壢區,439,177537,345.29
33989,2022-12-19,桃園市,中壢區,359,177098,341.00
34360,2022-12-18,桃園市,中壢區,256,176739,329.00
34708,2022-12-17,桃園市,中壢區,333,176483,333.00
35068,2022-12-16,桃園市,中壢區,333,176150,329.86
35433,2022-12-15,桃園市,中壢區,371,175817,329.57
35804,2022-12-14,桃園市,中壢區,326,175446,326.00
36163,2022-12-13,桃園市,中壢區,409,175120,324.00
36537,2022-12-12,桃園市,中壢區,275,174711,320.00
36909,2022-12-11,桃園市,中壢區,284,174436,320.57
37260,2022-12-10,桃園市,中壢區,311,174152,311.71
37629,2022-12-09,桃園市,中壢區,331,173841,306.86
37994,2022-12-08,桃園市,中壢區,346,173510,295.43
38367,2022-12-07,桃園市,中壢區,312,173164,287.00
38739,2022-12-06,桃園市,中壢區,381,172852,290.57
39110,2022-12-05,桃園市,中壢區,279,172471,292.57
39488,2022-12-04,桃園市,中壢區,222,172192,298.86
39854,2022-12-03,桃園市,中壢區,277,171970,303.00
40223,2022-12-02,桃園市,中壢區,251,171693,306.14
40593,2022-12-01,桃園市,中壢區,287,171442,308.14
40962,2022-11-30,桃園市,中壢區,337,171155,309.86
41333,2022-11-29,桃園市,中壢區,395,170818,308.57
41713,2022-11-28,桃園市,中壢區,323,170423,308.86
42091,2022-11-27,桃園市,中壢區,251,170100,307.00
42452,2022-11-26,桃園市,中壢區,299,169849,309.86
42808,2022-11-25,桃園市,中壢區,265,169550,315.71
43179,2022-11-24,桃園市,中壢區,299,169285,326.14
43549,2022-11-23,桃園市,中壢區,328,168986,335.86
43921,2022-11-22,桃園市,中壢區,397,168658,352.14
44294,2022-11-21,桃園市,中壢區,310,168261,373.71
44677,2022-11-20,桃園市,中壢區,271,167951,377.86
45040,2022-11-19,桃園市,中壢區,340,167680,388.14
45414,2022-11-18,桃園市,中壢區,338,167340,396.29
45786,2022-11-17,桃園市,中壢區,367,167002,399.14
46159,2022-11-16,桃園市,中壢區,442,166635,401.71
46539,2022-11-15,桃園市,中壢區,548,166193,404.43
46920,2022-11-14,桃園市,中壢區,339,165645,389.57
47301,2022-11-13,桃園市,中壢區,343,165306,398.71
47671,2022-11-12,桃園市,中壢區,397,164963,401.57
48048,2022-11-11,桃園市,中壢區,358,164566,409.29
48427,2022-11-10,桃園市,中壢區,385,164208,427.00
48810,2022-11-09,桃園市,中壢區,461,163823,456.43
49193,2022-11-08,桃園市,中壢區,444,163362,477.43
49578,2022-11-07,桃園市,中壢區,403,162918,506.71
49963,2022-11-06,桃園市,中壢區,363,162515,531.86
50332,2022-11-05,桃園市,中壢區,451,162152,556.71
50707,2022-11-04,桃園市,中壢區,482,161701,580.57
51093,2022-11-03,桃園市,中壢區,591,161219,598.71
51473,2022-11-02,桃園市,中壢區,608,160628,616.14
51859,2022-11-01,桃園市,中壢區,649,160020,626.29
52244,2022-10-31,桃園市,中壢區,579,159371,645.86
