UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
24,2023-05-14,桃園市,全區,1,1299,0.29
38,2023-05-10,桃園市,全區,1,1298,0.14
50,2023-05-01,桃園市,全區,1,1297,0.29
57,2023-04-25,桃園市,全區,1,1296,0.14
201,2023-04-01,桃園市,全區,1,1295,0.29
213,2023-03-31,桃園市,全區,1,1294,0.29
309,2023-03-25,桃園市,全區,1,1293,1.43
330,2023-03-24,桃園市,全區,1,1292,1.43
357,2023-03-23,桃園市,全區,1,1291,1.29
390,2023-03-22,桃園市,全區,2,1290,1.29
417,2023-03-21,桃園市,全區,1,1288,1.43
450,2023-03-20,桃園市,全區,3,1287,2.14
486,2023-03-19,桃園市,全區,1,1284,2.00
522,2023-03-18,桃園市,全區,1,1283,2.14
608,2023-03-16,桃園市,全區,1,1282,2.71
654,2023-03-15,桃園市,全區,3,1281,3.00
687,2023-03-14,桃園市,全區,6,1278,3.29
730,2023-03-13,桃園市,全區,2,1272,2.86
772,2023-03-12,桃園市,全區,2,1270,2.71
816,2023-03-11,桃園市,全區,4,1268,3.00
859,2023-03-10,桃園市,全區,1,1264,2.86
908,2023-03-09,桃園市,全區,3,1263,3.00
954,2023-03-08,桃園市,全區,5,1260,2.71
1008,2023-03-07,桃園市,全區,3,1255,2.71
1047,2023-03-06,桃園市,全區,1,1252,2.71
1099,2023-03-05,桃園市,全區,4,1251,3.43
1154,2023-03-04,桃園市,全區,3,1247,3.57
1212,2023-03-03,桃園市,全區,2,1244,3.71
1264,2023-03-02,桃園市,全區,1,1242,3.71
1318,2023-03-01,桃園市,全區,5,1241,3.71
1375,2023-02-28,桃園市,全區,3,1236,3.29
1424,2023-02-27,桃園市,全區,6,1233,4.00
1480,2023-02-26,桃園市,全區,5,1227,3.57
1546,2023-02-25,桃園市,全區,4,1222,2.86
1603,2023-02-24,桃園市,全區,2,1218,3.43
1657,2023-02-23,桃園市,全區,1,1216,3.71
1717,2023-02-22,桃園市,全區,2,1215,4.14
1785,2023-02-21,桃園市,全區,8,1213,4.43
1838,2023-02-20,桃園市,全區,3,1205,3.86
1942,2023-02-18,桃園市,全區,8,1202,4.86
2003,2023-02-17,桃園市,全區,4,1194,4.86
2060,2023-02-16,桃園市,全區,4,1190,5.00
2117,2023-02-15,桃園市,全區,4,1186,5.00
2190,2023-02-14,桃園市,全區,4,1182,5.57
2255,2023-02-13,桃園市,全區,6,1178,6.29
2318,2023-02-12,桃園市,全區,4,1172,6.00
2373,2023-02-11,桃園市,全區,8,1168,6.00
2441,2023-02-10,桃園市,全區,5,1160,5.29
2507,2023-02-09,桃園市,全區,4,1155,4.86
2567,2023-02-08,桃園市,全區,8,1151,4.86
2651,2023-02-07,桃園市,全區,9,1143,4.29
2716,2023-02-06,桃園市,全區,4,1134,4.00
2781,2023-02-05,桃園市,全區,4,1130,3.57
2842,2023-02-04,桃園市,全區,3,1126,3.43
2890,2023-02-03,桃園市,全區,2,1123,3.86
2958,2023-02-02,桃園市,全區,4,1121,3.86
3027,2023-02-01,桃園市,全區,4,1117,4.14
3092,2023-01-31,桃園市,全區,7,1113,4.57
3149,2023-01-30,桃園市,全區,1,1106,3.71
3204,2023-01-29,桃園市,全區,3,1105,3.86
3268,2023-01-28,桃園市,全區,6,1102,3.71
3321,2023-01-27,桃園市,全區,2,1096,3.71
3360,2023-01-26,桃園市,全區,6,1094,3.43
3421,2023-01-25,桃園市,全區,7,1088,2.71
3478,2023-01-24,桃園市,全區,1,1081,1.86
3529,2023-01-23,桃園市,全區,2,1080,2.14
3586,2023-01-22,桃園市,全區,2,1078,2.14
3634,2023-01-21,桃園市,全區,6,1076,2.43
3719,2023-01-19,桃園市,全區,1,1070,2.86
3772,2023-01-18,桃園市,全區,1,1069,3.14
3815,2023-01-17,桃園市,全區,3,1068,3.29
3860,2023-01-16,桃園市,全區,2,1065,3.14
3913,2023-01-15,桃園市,全區,4,1063,3.29
3973,2023-01-14,桃園市,全區,6,1059,3.00
4034,2023-01-13,桃園市,全區,3,1053,2.71
4080,2023-01-12,桃園市,全區,3,1050,2.86
4117,2023-01-11,桃園市,全區,2,1047,2.71
4166,2023-01-10,桃園市,全區,2,1045,2.86
4220,2023-01-09,桃園市,全區,3,1043,3.14
4274,2023-01-08,桃園市,全區,2,1040,3.00
4316,2023-01-07,桃園市,全區,4,1038,3.71
4367,2023-01-06,桃園市,全區,4,1034,3.71
4418,2023-01-05,桃園市,全區,2,1030,3.57
4462,2023-01-04,桃園市,全區,3,1028,3.43
4513,2023-01-03,桃園市,全區,4,1025,3.00
4572,2023-01-02,桃園市,全區,2,1021,2.86
4634,2023-01-01,桃園市,全區,7,1019,2.86
4679,2022-12-31,桃園市,全區,4,1012,1.86
4735,2022-12-30,桃園市,全區,3,1008,1.43
4783,2022-12-29,桃園市,全區,1,1005,1.14
4853,2022-12-27,桃園市,全區,3,1004,1.57
4903,2022-12-26,桃園市,全區,2,1001,1.57
4984,2022-12-24,桃園市,全區,1,999,1.86
5016,2022-12-23,桃園市,全區,1,998,2.29
5046,2022-12-22,桃園市,全區,3,997,2.29
5089,2022-12-21,桃園市,全區,1,994,2.14
5120,2022-12-20,桃園市,全區,3,993,2.00
5164,2022-12-19,桃園市,全區,2,990,1.86
5203,2022-12-18,桃園市,全區,2,988,1.71
5241,2022-12-17,桃園市,全區,4,986,1.86
5277,2022-12-16,桃園市,全區,1,982,1.43
5313,2022-12-15,桃園市,全區,2,981,1.86
5397,2022-12-13,桃園市,全區,2,979,1.71
5436,2022-12-12,桃園市,全區,1,977,1.43
5462,2022-12-11,桃園市,全區,3,976,1.43
5490,2022-12-10,桃園市,全區,1,973,1.29
5527,2022-12-09,桃園市,全區,4,972,1.29
5626,2022-12-07,桃園市,全區,1,968,1.14
5694,2022-12-05,桃園市,全區,1,967,1.14
5723,2022-12-04,桃園市,全區,2,966,1.43
5762,2022-12-03,桃園市,全區,1,964,1.14
5798,2022-12-02,桃園市,全區,2,963,1.43
5843,2022-12-01,桃園市,全區,1,961,1.29
5889,2022-11-30,桃園市,全區,1,960,1.29
5953,2022-11-28,桃園市,全區,3,959,1.57
6029,2022-11-26,桃園市,全區,3,956,2.14
6072,2022-11-25,桃園市,全區,1,953,2.00
6115,2022-11-24,桃園市,全區,1,952,2.57
6164,2022-11-23,桃園市,全區,3,951,2.71
6247,2022-11-21,桃園市,全區,4,948,3.29
6301,2022-11-20,桃園市,全區,3,944,3.57
6347,2022-11-19,桃園市,全區,2,941,3.43
6409,2022-11-18,桃園市,全區,5,939,3.57
6451,2022-11-17,桃園市,全區,2,934,3.57
6507,2022-11-16,桃園市,全區,4,932,3.71
6545,2022-11-15,桃園市,全區,3,928,3.29
6589,2022-11-14,桃園市,全區,6,925,3.14
6647,2022-11-13,桃園市,全區,2,919,2.86
6706,2022-11-12,桃園市,全區,3,917,2.86
6768,2022-11-11,桃園市,全區,5,914,2.43
6830,2022-11-10,桃園市,全區,3,909,2.29
6894,2022-11-09,桃園市,全區,1,906,2.14
6949,2022-11-08,桃園市,全區,2,905,2.29
7010,2022-11-07,桃園市,全區,4,903,2.71
7068,2022-11-06,桃園市,全區,2,899,2.57
7182,2022-11-04,桃園市,全區,4,897,3.00
7243,2022-11-03,桃園市,全區,2,893,3.14
7297,2022-11-02,桃園市,全區,2,891,3.57
7353,2022-11-01,桃園市,全區,5,889,4.00
7429,2022-10-31,桃園市,全區,3,884,3.86
7490,2022-10-30,桃園市,全區,1,881,4.00
7545,2022-10-29,桃園市,全區,4,880,4.71
7611,2022-10-28,桃園市,全區,5,876,4.43
7677,2022-10-27,桃園市,全區,5,871,4.29
7751,2022-10-26,桃園市,全區,5,866,4.43
7828,2022-10-25,桃園市,全區,4,861,4.14
7894,2022-10-24,桃園市,全區,4,857,4.14
7962,2022-10-23,桃園市,全區,6,853,4.29
8038,2022-10-22,桃園市,全區,2,847,4.14
8106,2022-10-21,桃園市,全區,4,845,4.43
8178,2022-10-20,桃園市,全區,6,841,4.29
8260,2022-10-19,桃園市,全區,3,835,3.86
8318,2022-10-18,桃園市,全區,4,832,4.00
8388,2022-10-17,桃園市,全區,5,828,4.14
8466,2022-10-16,桃園市,全區,5,823,3.86
8536,2022-10-15,桃園市,全區,4,818,3.57
8601,2022-10-14,桃園市,全區,3,814,3.14
8676,2022-10-13,桃園市,全區,3,811,3.43
8747,2022-10-12,桃園市,全區,4,808,3.29
8816,2022-10-11,桃園市,全區,5,804,2.86
8881,2022-10-10,桃園市,全區,3,799,2.86
8955,2022-10-09,桃園市,全區,3,796,3.43
9022,2022-10-08,桃園市,全區,1,793,3.71
9070,2022-10-07,桃園市,全區,5,792,3.57
9143,2022-10-06,桃園市,全區,2,787,3.43
