UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
52,2023-06-21,桃園市,全區,1,1122745,0.14
72,2023-06-14,桃園市,全區,121,1122744,17.29
288,2023-05-16,桃園市,全區,36,1122623,5.57
305,2023-05-12,桃園市,全區,3,1122587,0.43
337,2023-04-19,桃園市,全區,1,1122584,0.14
409,2023-03-22,桃園市,全區,3,1122583,498.86
462,2023-03-21,桃園市,全區,19,1122580,632.86
600,2023-03-20,桃園市,全區,292,1122561,778.29
884,2023-03-19,桃園市,全區,593,1122269,867.00
1212,2023-03-18,桃園市,全區,873,1121676,889.86
1552,2023-03-17,桃園市,全區,813,1120803,914.00
1904,2023-03-16,桃園市,全區,899,1119990,940.14
2257,2023-03-15,桃園市,全區,941,1119091,955.43
2608,2023-03-14,桃園市,全區,1037,1118150,979.14
2965,2023-03-13,桃園市,全區,913,1117113,1008.14
3324,2023-03-12,桃園市,全區,753,1116200,1040.00
3669,2023-03-11,桃園市,全區,1042,1115447,1047.71
4022,2023-03-10,桃園市,全區,996,1114405,1076.00
4377,2023-03-09,桃園市,全區,1006,1113409,1112.71
4736,2023-03-08,桃園市,全區,1107,1112403,1206.57
5090,2023-03-07,桃園市,全區,1240,1111296,1271.57
5449,2023-03-06,桃園市,全區,1136,1110056,1281.57
5814,2023-03-05,桃園市,全區,807,1108920,1264.29
6153,2023-03-04,桃園市,全區,1240,1108113,1294.71
6505,2023-03-03,桃園市,全區,1253,1106873,1323.14
6864,2023-03-02,桃園市,全區,1663,1105620,1360.86
7228,2023-03-01,桃園市,全區,1562,1103957,1349.71
7599,2023-02-28,桃園市,全區,1310,1102395,1371.43
7962,2023-02-27,桃園市,全區,1015,1101085,1468.14
8321,2023-02-26,桃園市,全區,1020,1100070,1574.71
8666,2023-02-25,桃園市,全區,1439,1099050,1659.43
9036,2023-02-24,桃園市,全區,1517,1097611,1747.57
9397,2023-02-23,桃園市,全區,1585,1096094,1787.14
9767,2023-02-22,桃園市,全區,1714,1094509,1841.71
10142,2023-02-21,桃園市,全區,1987,1092795,1894.29
10511,2023-02-20,桃園市,全區,1761,1090808,1973.00
10891,2023-02-19,桃園市,全區,1613,1089047,2014.14
11249,2023-02-18,桃園市,全區,2056,1087434,2003.00
11616,2023-02-17,桃園市,全區,1794,1085378,1978.86
11988,2023-02-16,桃園市,全區,1967,1083584,2012.43
12363,2023-02-15,桃園市,全區,2082,1081617,2057.86
12736,2023-02-14,桃園市,全區,2538,1079535,2087.43
13108,2023-02-13,桃園市,全區,2049,1076997,2121.71
13487,2023-02-12,桃園市,全區,1535,1074948,2154.57
13844,2023-02-11,桃園市,全區,1887,1073413,2243.86
14216,2023-02-10,桃園市,全區,2029,1071526,2348.86
14590,2023-02-09,桃園市,全區,2285,1069497,2437.00
14966,2023-02-08,桃園市,全區,2289,1067212,2522.86
15345,2023-02-07,桃園市,全區,2778,1064923,2629.43
15724,2023-02-06,桃園市,全區,2279,1062145,2789.43
16106,2023-02-05,桃園市,全區,2160,1059866,2960.43
16474,2023-02-04,桃園市,全區,2622,1057706,3057.71
16853,2023-02-03,桃園市,全區,2646,1055084,3137.29
17239,2023-02-02,桃園市,全區,2886,1052438,3230.71
17622,2023-02-01,桃園市,全區,3035,1049552,3222.14
17999,2023-01-31,桃園市,全區,3898,1046517,3089.00
18384,2023-01-30,桃園市,全區,3476,1042619,2797.00
18773,2023-01-29,桃園市,全區,2841,1039143,2499.43
19149,2023-01-28,桃園市,全區,3179,1036302,2231.00
19528,2023-01-27,桃園市,全區,3300,1033123,2099.71
19906,2023-01-26,桃園市,全區,2826,1029823,1976.71
20283,2023-01-25,桃園市,全區,2103,1026997,1879.43
20648,2023-01-24,桃園市,全區,1854,1024894,1863.71
21023,2023-01-23,桃園市,全區,1393,1023040,1946.29
21390,2023-01-22,桃園市,全區,962,1021647,2021.71
