UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4162,2023-06-14,桃園市,八德區,25-29,8465
4163,2023-06-14,桃園市,八德區,35-39,10389
4164,2023-06-14,桃園市,八德區,60-64,4945
4165,2023-06-14,桃園市,八德區,4,1189
4166,2023-06-14,桃園市,八德區,40-44,10712
4167,2023-06-14,桃園市,八德區,2,1085
4168,2023-06-14,桃園市,八德區,20-24,6672
4169,2023-06-14,桃園市,八德區,45-49,7617
4170,2023-06-14,桃園市,八德區,55-59,5102
4171,2023-05-16,桃園市,八德區,70+,5578
4172,2023-03-20,桃園市,八德區,0,766
4173,2023-03-20,桃園市,八德區,65-69,4022
4174,2023-03-20,桃園市,八德區,30-34,9385
4175,2023-03-20,桃園市,八德區,15-19,5559
4176,2023-03-19,桃園市,八德區,50-54,5762
4177,2023-03-19,桃園市,八德區,10-14,5801
4178,2023-03-19,桃園市,八德區,5-9,6679
4179,2023-03-17,桃園市,八德區,1,1160
4180,2023-03-16,桃園市,八德區,3,1154
