UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
689,2023-03-14,桃園市,八德區,1,121,0.29
818,2023-03-11,桃園市,八德區,1,120,0.14
1156,2023-03-04,桃園市,八德區,1,119,0.43
1319,2023-03-01,桃園市,八德區,1,118,0.43
1425,2023-02-27,桃園市,八德區,1,117,0.71
1547,2023-02-25,桃園市,八德區,1,116,0.57
1719,2023-02-22,桃園市,八德區,1,115,0.57
1787,2023-02-21,桃園市,八德區,2,114,0.57
1944,2023-02-18,桃園市,八德區,1,112,0.43
2118,2023-02-15,桃園市,八德區,1,111,0.57
2320,2023-02-12,桃園市,八德區,1,110,0.86
2375,2023-02-11,桃園市,八德區,1,109,0.71
2442,2023-02-10,桃園市,八德區,1,108,0.57
2571,2023-02-08,桃園市,八德區,1,107,0.43
2654,2023-02-07,桃園市,八德區,1,106,0.43
2718,2023-02-06,桃園市,八德區,1,105,0.43
3029,2023-02-01,桃園市,八德區,1,104,0.43
3094,2023-01-31,桃園市,八德區,1,103,0.43
3361,2023-01-26,桃園市,八德區,1,102,0.57
3423,2023-01-25,桃園市,八德區,1,101,0.43
3530,2023-01-23,桃園市,八德區,1,100,0.29
3636,2023-01-21,桃園市,八德區,1,99,0.29
3861,2023-01-16,桃園市,八德區,1,98,0.29
4118,2023-01-11,桃園市,八德區,1,97,0.14
4515,2023-01-03,桃園市,八德區,1,96,0.14
5166,2022-12-19,桃園市,八德區,1,95,0.14
5463,2022-12-11,桃園市,八德區,1,94,0.29
5529,2022-12-09,桃園市,八德區,1,93,0.14
6031,2022-11-26,桃園市,八德區,1,92,0.57
6116,2022-11-24,桃園市,八德區,1,91,0.57
6165,2022-11-23,桃園市,八德區,1,90,0.43
6248,2022-11-21,桃園市,八德區,1,89,0.57
6410,2022-11-18,桃園市,八德區,1,88,0.57
6509,2022-11-16,桃園市,八德區,1,87,0.43
6547,2022-11-15,桃園市,八德區,1,86,0.29
6590,2022-11-14,桃園市,八德區,1,85,0.14
7184,2022-11-04,桃園市,八德區,1,84,0.43
7244,2022-11-03,桃園市,八德區,1,83,0.57
7491,2022-10-30,桃園市,八德區,1,82,0.86
7613,2022-10-28,桃園市,八德區,2,81,0.86
7829,2022-10-25,桃園市,八德區,2,79,0.57
7895,2022-10-24,桃園市,八德區,1,77,0.43
7963,2022-10-23,桃園市,八德區,1,76,0.29
8320,2022-10-18,桃園市,八德區,1,75,0.43
8540,2022-10-15,桃園市,八德區,1,74,0.43
8677,2022-10-13,桃園市,八德區,1,73,0.29
8957,2022-10-09,桃園市,八德區,1,72,0.29
9280,2022-10-04,桃園市,八德區,1,71,0.29
9428,2022-10-02,桃園市,八德區,1,70,0.14
10145,2022-09-20,桃園市,八德區,1,69,0.71
10289,2022-09-17,桃園市,八德區,1,68,0.71
10411,2022-09-15,桃園市,八德區,1,67,0.71
10466,2022-09-14,桃園市,八德區,2,66,0.71
10568,2022-09-12,桃園市,八德區,1,64,0.43
10671,2022-09-10,桃園市,八德區,1,63,0.43
10770,2022-09-08,桃園市,八德區,1,62,0.43
10900,2022-09-05,桃園市,八德區,1,61,0.29
11038,2022-09-02,桃園市,八德區,1,60,0.29
11194,2022-08-29,桃園市,八德區,1,59,0.29
11426,2022-08-23,桃園市,八德區,1,58,0.57
11615,2022-08-18,桃園市,八德區,2,57,0.43
11646,2022-08-17,桃園市,八德區,1,55,0.14
12345,2022-07-31,桃園市,八德區,1,54,0.71
12396,2022-07-30,桃園市,八德區,2,53,0.57
12440,2022-07-29,桃園市,八德區,1,51,0.43
12549,2022-07-27,桃園市,八德區,1,50,0.43
12780,2022-07-23,桃園市,八德區,1,49,0.57
12894,2022-07-21,桃園市,八德區,1,48,0.43
13008,2022-07-19,桃園市,八德區,1,47,0.29
13137,2022-07-17,桃園市,八德區,1,46,0.14
13629,2022-07-10,桃園市,八德區,2,45,0.43
13759,2022-07-08,桃園市,八德區,1,43,0.14
14448,2022-06-30,桃園市,八德區,1,42,0.57
14547,2022-06-29,桃園市,八德區,1,41,0.43
14740,2022-06-27,桃園市,八德區,1,40,0.43
14944,2022-06-25,桃園市,八德區,1,39,0.43
15356,2022-06-21,桃園市,八德區,1,38,1.00
15469,2022-06-20,桃園市,八德區,1,37,1.00
15691,2022-06-18,桃園市,八德區,1,36,0.86
15814,2022-06-17,桃園市,八德區,2,35,0.86
15950,2022-06-16,桃園市,八德區,1,33,0.71
16065,2022-06-15,桃園市,八德區,1,32,0.57
16199,2022-06-14,桃園市,八德區,1,31,0.71
16569,2022-06-11,桃園市,八德區,1,30,0.86
16699,2022-06-10,桃園市,八德區,1,29,0.71
16933,2022-06-08,桃園市,八德區,2,28,1.00
17063,2022-06-07,桃園市,八德區,1,26,0.86
17186,2022-06-06,桃園市,八德區,1,25,1.00
17549,2022-06-03,桃園市,八德區,1,24,1.29
17678,2022-06-02,桃園市,八德區,2,23,1.29
17783,2022-06-01,桃園市,八德區,1,21,1.14
17910,2022-05-31,桃園市,八德區,2,20,1.14
18035,2022-05-30,桃園市,八德區,1,18,1.14
18165,2022-05-29,桃園市,八德區,1,17,1.00
18273,2022-05-28,桃園市,八德區,1,16,0.86
18379,2022-05-27,桃園市,八德區,1,15,0.86
18475,2022-05-26,桃園市,八德區,1,14,0.71
18574,2022-05-25,桃園市,八德區,1,13,0.57
18672,2022-05-24,桃園市,八德區,2,12,0.57
18937,2022-05-21,桃園市,八德區,1,10,0.57
19166,2022-05-18,桃園市,八德區,1,9,0.86
19233,2022-05-17,桃園市,八德區,1,8,0.71
