UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4143,2023-06-14,桃園市,大園區,45-49,2576
4144,2023-06-14,桃園市,大園區,40-44,3756
4145,2023-06-14,桃園市,大園區,35-39,3962
4146,2023-06-14,桃園市,大園區,30-34,4225
4147,2023-06-14,桃園市,大園區,3,423
4148,2023-06-14,桃園市,大園區,25-29,4168
4149,2023-05-16,桃園市,大園區,10-14,2054
4150,2023-03-19,桃園市,大園區,15-19,2129
4151,2023-03-19,桃園市,大園區,20-24,2983
4152,2023-03-19,桃園市,大園區,50-54,2287
4153,2023-03-19,桃園市,大園區,55-59,2102
4154,2023-03-19,桃園市,大園區,70+,1987
4155,2023-03-19,桃園市,大園區,65-69,1316
4156,2023-03-17,桃園市,大園區,60-64,1744
4157,2023-03-14,桃園市,大園區,1,424
4158,2023-03-14,桃園市,大園區,5-9,2354
4159,2023-03-13,桃園市,大園區,2,389
4160,2023-03-13,桃園市,大園區,4,411
4161,2023-03-06,桃園市,大園區,0,291
