UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
150,2023-06-14,桃園市,大溪區,2,42253,0.29
688,2023-03-20,桃園市,大溪區,10,42251,27.00
978,2023-03-19,桃園市,大溪區,16,42241,31.57
1307,2023-03-18,桃園市,大溪區,31,42225,32.14
1646,2023-03-17,桃園市,大溪區,32,42194,31.57
1999,2023-03-16,桃園市,大溪區,24,42162,32.57
2351,2023-03-15,桃園市,大溪區,44,42138,34.00
2702,2023-03-14,桃園市,大溪區,32,42094,34.00
3060,2023-03-13,桃園市,大溪區,42,42062,38.71
3418,2023-03-12,桃園市,大溪區,20,42020,39.71
3764,2023-03-11,桃園市,大溪區,27,42000,39.71
4116,2023-03-10,桃園市,大溪區,39,41973,40.71
4472,2023-03-09,桃園市,大溪區,34,41934,42.57
4831,2023-03-08,桃園市,大溪區,44,41900,46.00
5184,2023-03-07,桃園市,大溪區,65,41856,48.57
5544,2023-03-06,桃園市,大溪區,49,41791,46.29
5908,2023-03-05,桃園市,大溪區,20,41742,45.86
6247,2023-03-04,桃園市,大溪區,34,41722,47.14
6600,2023-03-03,桃園市,大溪區,52,41688,49.29
6959,2023-03-02,桃園市,大溪區,58,41636,49.14
7323,2023-03-01,桃園市,大溪區,62,41578,46.57
7694,2023-02-28,桃園市,大溪區,49,41516,44.43
8057,2023-02-27,桃園市,大溪區,46,41467,45.57
8416,2023-02-26,桃園市,大溪區,29,41421,47.14
8760,2023-02-25,桃園市,大溪區,49,41392,50.57
9130,2023-02-24,桃園市,大溪區,51,41343,51.86
9491,2023-02-23,桃園市,大溪區,40,41292,53.14
9862,2023-02-22,桃園市,大溪區,47,41252,56.14
10236,2023-02-21,桃園市,大溪區,57,41205,61.00
10606,2023-02-20,桃園市,大溪區,57,41148,65.57
10985,2023-02-19,桃園市,大溪區,53,41091,69.14
11344,2023-02-18,桃園市,大溪區,58,41038,70.43
11710,2023-02-17,桃園市,大溪區,60,40980,72.86
12083,2023-02-16,桃園市,大溪區,61,40920,75.00
12458,2023-02-15,桃園市,大溪區,81,40859,77.86
12831,2023-02-14,桃園市,大溪區,89,40778,75.29
13203,2023-02-13,桃園市,大溪區,82,40689,75.29
13581,2023-02-12,桃園市,大溪區,62,40607,74.00
13939,2023-02-11,桃園市,大溪區,75,40545,75.14
14311,2023-02-10,桃園市,大溪區,75,40470,77.86
14684,2023-02-09,桃園市,大溪區,81,40395,80.57
15061,2023-02-08,桃園市,大溪區,63,40314,82.14
15440,2023-02-07,桃園市,大溪區,89,40251,87.57
15819,2023-02-06,桃園市,大溪區,73,40162,89.14
16200,2023-02-05,桃園市,大溪區,70,40089,94.00
16569,2023-02-04,桃園市,大溪區,94,40019,97.00
16948,2023-02-03,桃園市,大溪區,94,39925,97.29
17334,2023-02-02,桃園市,大溪區,92,39831,100.43
17717,2023-02-01,桃園市,大溪區,101,39739,100.43
18094,2023-01-31,桃園市,大溪區,100,39638,96.00
18479,2023-01-30,桃園市,大溪區,107,39538,90.86
18868,2023-01-29,桃園市,大溪區,91,39431,81.57
19244,2023-01-28,桃園市,大溪區,96,39340,71.43
19623,2023-01-27,桃園市,大溪區,116,39244,70.14
20001,2023-01-26,桃園市,大溪區,92,39128,63.00
20378,2023-01-25,桃園市,大溪區,70,39036,58.86
20743,2023-01-24,桃園市,大溪區,64,38966,58.86
21118,2023-01-23,桃園市,大溪區,42,38902,58.57
21485,2023-01-22,桃園市,大溪區,20,38860,63.43
21849,2023-01-21,桃園市,大溪區,87,38840,67.43
22221,2023-01-20,桃園市,大溪區,66,38753,66.14
22588,2023-01-19,桃園市,大溪區,63,38687,68.71
22959,2023-01-18,桃園市,大溪區,70,38624,74.00
23330,2023-01-17,桃園市,大溪區,62,38554,74.00
23695,2023-01-16,桃園市,大溪區,76,38492,80.00
24071,2023-01-15,桃園市,大溪區,48,38416,83.29
24437,2023-01-14,桃園市,大溪區,78,38368,87.29
24806,2023-01-13,桃園市,大溪區,84,38290,86.86
25174,2023-01-12,桃園市,大溪區,100,38206,87.14
25549,2023-01-11,桃園市,大溪區,70,38106,85.86
25925,2023-01-10,桃園市,大溪區,104,38036,91.00
26297,2023-01-09,桃園市,大溪區,99,37932,90.57
26675,2023-01-08,桃園市,大溪區,76,37833,85.00
27032,2023-01-07,桃園市,大溪區,75,37757,81.86
27404,2023-01-06,桃園市,大溪區,86,37682,82.43
27780,2023-01-05,桃園市,大溪區,91,37596,80.86
28160,2023-01-04,桃園市,大溪區,106,37505,80.57
28541,2023-01-03,桃園市,大溪區,101,37399,78.43
28922,2023-01-02,桃園市,大溪區,60,37298,76.00
29294,2023-01-01,桃園市,大溪區,54,37238,82.00
29656,2022-12-31,桃園市,大溪區,79,37184,81.86
30022,2022-12-30,桃園市,大溪區,75,37105,78.57
30394,2022-12-29,桃園市,大溪區,89,37030,76.14
30766,2022-12-28,桃園市,大溪區,91,36941,76.57
31137,2022-12-27,桃園市,大溪區,84,36850,74.00
31514,2022-12-26,桃園市,大溪區,102,36766,78.14
31886,2022-12-25,桃園市,大溪區,53,36664,73.86
32240,2022-12-24,桃園市,大溪區,56,36611,73.14
32600,2022-12-23,桃園市,大溪區,58,36555,73.57
32964,2022-12-22,桃園市,大溪區,92,36497,74.00
33331,2022-12-21,桃園市,大溪區,73,36405,68.86
33701,2022-12-20,桃園市,大溪區,113,36332,68.29
34064,2022-12-19,桃園市,大溪區,72,36219,62.00
34435,2022-12-18,桃園市,大溪區,48,36147,59.71
34783,2022-12-17,桃園市,大溪區,59,36099,60.71
35143,2022-12-16,桃園市,大溪區,61,36040,61.57
35508,2022-12-15,桃園市,大溪區,56,35979,64.00
35879,2022-12-14,桃園市,大溪區,69,35923,65.29
36238,2022-12-13,桃園市,大溪區,69,35854,65.57
36612,2022-12-12,桃園市,大溪區,56,35785,67.29
36983,2022-12-11,桃園市,大溪區,55,35729,67.29
37335,2022-12-10,桃園市,大溪區,65,35674,68.57
37704,2022-12-09,桃園市,大溪區,78,35609,67.43
38069,2022-12-08,桃園市,大溪區,65,35531,62.43
38442,2022-12-07,桃園市,大溪區,71,35466,61.43
38813,2022-12-06,桃園市,大溪區,81,35395,63.14
39185,2022-12-05,桃園市,大溪區,56,35314,63.00
39563,2022-12-04,桃園市,大溪區,64,35258,61.14
39928,2022-12-03,桃園市,大溪區,57,35194,58.29
40298,2022-12-02,桃園市,大溪區,43,35137,57.29
40667,2022-12-01,桃園市,大溪區,58,35094,57.29
