UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
242,2023-06-14,桃園市,復興區,9,3755,1.29
831,2023-03-20,桃園市,復興區,3,3746,2.71
1143,2023-03-19,桃園市,復興區,1,3743,3.14
1474,2023-03-18,桃園市,復興區,7,3742,3.14
1826,2023-03-17,桃園市,復興區,4,3735,2.29
2174,2023-03-16,桃園市,復興區,1,3731,1.86
2528,2023-03-15,桃園市,復興區,1,3730,2.43
2879,2023-03-14,桃園市,復興區,2,3729,2.43
3236,2023-03-13,桃園市,復興區,6,3727,2.29
3588,2023-03-12,桃園市,復興區,1,3721,1.57
3942,2023-03-11,桃園市,復興區,1,3720,1.43
4293,2023-03-10,桃園市,復興區,1,3719,1.43
4650,2023-03-09,桃園市,復興區,5,3718,1.43
5006,2023-03-08,桃園市,復興區,1,3713,1.00
5360,2023-03-07,桃園市,復興區,1,3712,1.29
5725,2023-03-06,桃園市,復興區,1,3711,1.43
6422,2023-03-04,桃園市,復興區,1,3710,2.00
6778,2023-03-03,桃園市,復興區,1,3709,2.00
7140,2023-03-02,桃園市,復興區,2,3708,2.43
7505,2023-03-01,桃園市,復興區,3,3706,2.71
7876,2023-02-28,桃園市,復興區,2,3703,2.43
8238,2023-02-27,桃園市,復興區,2,3701,2.57
8583,2023-02-26,桃園市,復興區,3,3699,2.71
8944,2023-02-25,桃園市,復興區,1,3696,2.57
9310,2023-02-24,桃園市,復興區,4,3695,2.86
9675,2023-02-23,桃園市,復興區,4,3691,3.14
10047,2023-02-22,桃園市,復興區,1,3687,3.29
10420,2023-02-21,桃園市,復興區,3,3686,3.86
10792,2023-02-20,桃園市,復興區,3,3683,4.43
11161,2023-02-19,桃園市,復興區,2,3680,5.57
11526,2023-02-18,桃園市,復興區,3,3678,5.57
11894,2023-02-17,桃園市,復興區,6,3675,7.00
12267,2023-02-16,桃園市,復興區,5,3669,6.86
12643,2023-02-15,桃園市,復興區,5,3664,6.86
13018,2023-02-14,桃園市,復興區,7,3659,6.29
13389,2023-02-13,桃園市,復興區,11,3652,6.43
13762,2023-02-12,桃園市,復興區,2,3641,6.57
14125,2023-02-11,桃園市,復興區,13,3639,6.86
14495,2023-02-10,桃園市,復興區,5,3626,6.00
14867,2023-02-09,桃園市,復興區,5,3621,7.00
15249,2023-02-08,桃園市,復興區,1,3616,7.00
15627,2023-02-07,桃園市,復興區,8,3615,7.71
16007,2023-02-06,桃園市,復興區,12,3607,8.43
16382,2023-02-05,桃園市,復興區,4,3595,9.86
16756,2023-02-04,桃園市,復興區,7,3591,9.86
17135,2023-02-03,桃園市,復興區,12,3584,9.14
17522,2023-02-02,桃園市,復興區,5,3572,8.14
17902,2023-02-01,桃園市,復興區,6,3567,8.57
18284,2023-01-31,桃園市,復興區,13,3561,8.57
18669,2023-01-30,桃園市,復興區,22,3548,7.14
19054,2023-01-29,桃園市,復興區,4,3526,4.86
19432,2023-01-28,桃園市,復興區,2,3522,4.57
19808,2023-01-27,桃園市,復興區,5,3520,4.57
20187,2023-01-26,桃園市,復興區,8,3515,5.29
20558,2023-01-25,桃園市,復興區,6,3507,4.43
20927,2023-01-24,桃園市,復興區,3,3501,3.86
21296,2023-01-23,桃園市,復興區,6,3498,3.86
21667,2023-01-22,桃園市,復興區,2,3492,3.57
22035,2023-01-21,桃園市,復興區,2,3490,3.43
22404,2023-01-20,桃園市,復興區,10,3488,3.57
22772,2023-01-19,桃園市,復興區,2,3478,2.86
23144,2023-01-18,桃園市,復興區,2,3476,2.71
23510,2023-01-17,桃園市,復興區,3,3474,2.86
23879,2023-01-16,桃園市,復興區,4,3471,3.00
24253,2023-01-15,桃園市,復興區,1,3467,3.71
24619,2023-01-14,桃園市,復興區,3,3466,4.43
24988,2023-01-13,桃園市,復興區,5,3463,4.86
25360,2023-01-12,桃園市,復興區,1,3458,5.14
25731,2023-01-11,桃園市,復興區,3,3457,6.00
26109,2023-01-10,桃園市,復興區,4,3454,7.14
