UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
224,2023-03-31,桃園市,新屋區,1,46,0.14
372,2023-03-23,桃園市,新屋區,1,45,0.29
403,2023-03-22,桃園市,新屋區,1,44,0.14
1132,2023-03-05,桃園市,新屋區,1,43,0.14
1809,2023-02-21,桃園市,新屋區,1,42,0.14
2349,2023-02-12,桃園市,新屋區,1,41,0.29
2477,2023-02-10,桃園市,新屋區,1,40,0.14
2989,2023-02-02,桃園市,新屋區,1,39,0.14
3836,2023-01-17,桃園市,新屋區,1,38,0.29
4096,2023-01-12,桃園市,新屋區,1,37,0.29
4249,2023-01-09,桃園市,新屋區,1,36,0.14
4711,2022-12-31,桃園市,新屋區,1,35,0.14
5509,2022-12-10,桃園市,新屋區,1,34,0.14
6676,2022-11-13,桃園市,新屋區,1,33,0.29
6854,2022-11-10,桃園市,新屋區,1,32,0.14
7389,2022-11-01,桃園市,新屋區,1,31,0.43
7713,2022-10-27,桃園市,新屋區,1,30,0.43
7789,2022-10-26,桃園市,新屋區,1,29,0.29
7856,2022-10-25,桃園市,新屋區,1,28,0.14
8505,2022-10-16,桃園市,新屋區,1,27,0.29
8852,2022-10-11,桃園市,新屋區,1,26,0.14
9706,2022-09-28,桃園市,新屋區,1,25,0.29
9991,2022-09-23,桃園市,新屋區,1,24,0.14
10436,2022-09-15,桃園市,新屋區,1,23,0.29
10600,2022-09-12,桃園市,新屋區,1,22,0.14
11694,2022-08-16,桃園市,新屋區,1,21,0.29
11850,2022-08-12,桃園市,新屋區,1,20,0.14
12859,2022-07-22,桃園市,新屋區,1,19,0.29
12974,2022-07-20,桃園市,新屋區,1,18,0.29
13369,2022-07-14,桃園市,新屋區,1,17,0.14
13855,2022-07-07,桃園市,新屋區,1,16,0.29
14390,2022-07-01,桃園市,新屋區,1,15,0.29
14683,2022-06-28,桃園市,新屋區,1,14,0.29
15291,2022-06-22,桃園市,新屋區,1,13,0.43
16001,2022-06-16,桃園市,新屋區,2,12,0.71
16123,2022-06-15,桃園市,新屋區,1,10,0.43
16380,2022-06-13,桃園市,新屋區,1,9,0.43
16755,2022-06-10,桃園市,新屋區,1,8,0.29
17116,2022-06-07,桃園市,新屋區,1,7,0.43
17607,2022-06-03,桃園市,新屋區,1,6,0.57
17838,2022-06-01,桃園市,新屋區,1,5,0.43
17968,2022-05-31,桃園市,新屋區,1,4,0.29
18222,2022-05-29,桃園市,新屋區,1,3,0.29
18713,2022-05-24,桃園市,新屋區,1,2,0.14
19761,2022-05-04,桃園市,新屋區,1,1,0.14
