UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4048,2023-06-14,桃園市,桃園區,5-9,13686
4049,2023-06-14,桃園市,桃園區,35-39,21182
4050,2023-06-14,桃園市,桃園區,40-44,23103
4051,2023-06-14,桃園市,桃園區,45-49,18279
4052,2023-06-14,桃園市,桃園區,50-54,14718
4053,2023-06-14,桃園市,桃園區,60-64,9661
4054,2023-06-14,桃園市,桃園區,15-19,12548
4055,2023-06-14,桃園市,桃園區,20-24,16282
4056,2023-06-14,桃園市,桃園區,25-29,21630
4057,2023-06-14,桃園市,桃園區,65-69,7851
4058,2023-05-12,桃園市,桃園區,2,1975
4059,2023-03-22,桃園市,桃園區,30-34,21472
4060,2023-03-20,桃園市,桃園區,10-14,12564
4061,2023-03-20,桃園市,桃園區,55-59,12153
4062,2023-03-20,桃園市,桃園區,70+,11887
4063,2023-03-20,桃園市,桃園區,0,1414
4064,2023-03-19,桃園市,桃園區,1,1992
4065,2023-03-19,桃園市,桃園區,3,2048
4066,2023-03-18,桃園市,桃園區,4,2226
