UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
75,2023-06-14,桃園市,桃園區,22,226671,3.14
290,2023-05-16,桃園市,桃園區,2,226649,0.43
307,2023-05-12,桃園市,桃園區,1,226647,0.14
410,2023-03-22,桃園市,桃園區,2,226646,101.57
465,2023-03-21,桃園市,桃園區,4,226644,127.86
603,2023-03-20,桃園市,桃園區,66,226640,159.14
887,2023-03-19,桃園市,桃園區,124,226574,179.14
1215,2023-03-18,桃園市,桃園區,181,226450,184.29
1555,2023-03-17,桃園市,桃園區,150,226269,189.14
1907,2023-03-16,桃園市,桃園區,184,226119,196.43
2260,2023-03-15,桃園市,桃園區,186,225935,198.29
2611,2023-03-14,桃園市,桃園區,223,225749,204.29
2968,2023-03-13,桃園市,桃園區,206,225526,207.00
3327,2023-03-12,桃園市,桃園區,160,225320,213.29
3672,2023-03-11,桃園市,桃園區,215,225160,214.00
4025,2023-03-10,桃園市,桃園區,201,224945,223.00
4380,2023-03-09,桃園市,桃園區,197,224744,234.86
4739,2023-03-08,桃園市,桃園區,228,224547,255.57
5093,2023-03-07,桃園市,桃園區,242,224319,267.71
5452,2023-03-06,桃園市,桃園區,250,224077,277.00
5817,2023-03-05,桃園市,桃園區,165,223827,279.00
6156,2023-03-04,桃園市,桃園區,278,223662,284.86
6508,2023-03-03,桃園市,桃園區,284,223384,291.57
6867,2023-03-02,桃園市,桃園區,342,223100,295.00
7231,2023-03-01,桃園市,桃園區,313,222758,292.43
7602,2023-02-28,桃園市,桃園區,307,222445,301.14
7965,2023-02-27,桃園市,桃園區,264,222138,320.57
8324,2023-02-26,桃園市,桃園區,206,221874,338.43
8669,2023-02-25,桃園市,桃園區,325,221668,354.14
9039,2023-02-24,桃園市,桃園區,308,221343,369.29
9400,2023-02-23,桃園市,桃園區,324,221035,378.14
9770,2023-02-22,桃園市,桃園區,374,220711,389.29
10145,2023-02-21,桃園市,桃園區,443,220337,398.14
10514,2023-02-20,桃園市,桃園區,389,219894,406.57
10894,2023-02-19,桃園市,桃園區,316,219505,420.29
11252,2023-02-18,桃園市,桃園區,431,219189,420.29
11619,2023-02-17,桃園市,桃園區,370,218758,410.43
11991,2023-02-16,桃園市,桃園區,402,218388,420.14
12366,2023-02-15,桃園市,桃園區,436,217986,429.71
12739,2023-02-14,桃園市,桃園區,502,217550,432.71
13111,2023-02-13,桃園市,桃園區,485,217048,441.57
13490,2023-02-12,桃園市,桃園區,316,216563,438.57
13847,2023-02-11,桃園市,桃園區,362,216247,452.43
14219,2023-02-10,桃園市,桃園區,438,215885,467.57
14593,2023-02-09,桃園市,桃園區,469,215447,478.71
14969,2023-02-08,桃園市,桃園區,457,214978,496.57
15348,2023-02-07,桃園市,桃園區,564,214521,513.29
15727,2023-02-06,桃園市,桃園區,464,213957,537.14
16109,2023-02-05,桃園市,桃園區,413,213493,574.43
16477,2023-02-04,桃園市,桃園區,468,213080,598.57
16856,2023-02-03,桃園市,桃園區,516,212612,620.57
17242,2023-02-02,桃園市,桃園區,594,212096,636.86
17625,2023-02-01,桃園市,桃園區,574,211502,635.00
18002,2023-01-31,桃園市,桃園區,731,210928,611.43
18387,2023-01-30,桃園市,桃園區,725,210197,565.57
18776,2023-01-29,桃園市,桃園區,582,209472,503.29
19152,2023-01-28,桃園市,桃園區,622,208890,451.71
19531,2023-01-27,桃園市,桃園區,630,208268,431.29
19909,2023-01-26,桃園市,桃園區,581,207638,417.57
20286,2023-01-25,桃園市,桃園區,409,207057,398.14
20651,2023-01-24,桃園市,桃園區,410,206648,399.57
21026,2023-01-23,桃園市,桃園區,289,206238,407.86
21393,2023-01-22,桃園市,桃園區,221,205949,421.43
21757,2023-01-21,桃園市,桃園區,479,205728,450.57
22129,2023-01-20,桃園市,桃園區,534,205249,451.43
22496,2023-01-19,桃園市,桃園區,445,204715,445.14
22867,2023-01-18,桃園市,桃園區,419,204270,462.14
23239,2023-01-17,桃園市,桃園區,468,203851,479.86
23603,2023-01-16,桃園市,桃園區,384,203383,496.86
23979,2023-01-15,桃園市,桃園區,425,202999,514.29
24346,2023-01-14,桃園市,桃園區,485,202574,514.86
24714,2023-01-13,桃園市,桃園區,490,202089,513.57
25082,2023-01-12,桃園市,桃園區,564,201599,520.57
25457,2023-01-11,桃園市,桃園區,543,201035,517.71
25833,2023-01-10,桃園市,桃園區,587,200492,534.71
26205,2023-01-09,桃園市,桃園區,506,199905,554.43
