UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4029,2023-06-14,桃園市,楊梅區,45-49,6280
4030,2023-06-14,桃園市,楊梅區,30-34,7997
4031,2023-06-14,桃園市,楊梅區,1,851
4032,2023-03-20,桃園市,楊梅區,60-64,3707
4033,2023-03-20,桃園市,楊梅區,5-9,5186
4034,2023-03-20,桃園市,楊梅區,25-29,8158
4035,2023-03-20,桃園市,楊梅區,20-24,6017
4036,2023-03-20,桃園市,楊梅區,15-19,5017
4037,2023-03-20,桃園市,楊梅區,35-39,8228
4038,2023-03-20,桃園市,楊梅區,55-59,4675
4039,2023-03-19,桃園市,楊梅區,40-44,8371
4040,2023-03-19,桃園市,楊梅區,10-14,4778
4041,2023-03-19,桃園市,楊梅區,3,871
4042,2023-03-19,桃園市,楊梅區,50-54,5112
4043,2023-03-19,桃園市,楊梅區,2,852
4044,2023-03-19,桃園市,楊梅區,0,552
4045,2023-03-18,桃園市,楊梅區,65-69,2858
4046,2023-03-18,桃園市,楊梅區,70+,4192
4047,2023-03-18,桃園市,楊梅區,4,936
