UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
19,2023-09-17,桃園市,全區,89.20,84.30,0.60,72.60,22.40,0.00,0.00,0.00
20,2023-09-17,桃園市,6個月-4歲,39.70,21.80,3.30,0.40,0.00,0.00,0.00,0.00
21,2023-09-17,桃園市,5-11歲,81.30,61.50,0.40,23.50,1.40,0.00,0.00,0.00
22,2023-09-17,桃園市,12-17歲,93.20,85.50,0.10,66.70,21.30,0.00,0.00,0.00
23,2023-09-17,桃園市,18-29歲,95.10,91.60,0.30,78.70,12.10,0.00,0.00,0.00
24,2023-09-17,桃園市,30-49歲,93.40,90.50,0.50,81.70,18.60,0.00,0.00,0.00
25,2023-09-17,桃園市,50-64歲,90.20,87.70,0.60,80.40,26.70,0.00,0.00,0.00
26,2023-09-17,桃園市,65-74歲,91.10,89.00,0.80,84.00,52.40,13.10,0.00,0.00
27,2023-09-17,桃園市,75歲以上,86.70,83.00,0.80,76.30,50.40,11.60,0.00,0.00
274,2023-09-10,桃園市,全區,89.20,84.30,0.60,72.60,22.40,0.00,0.00,0.00
275,2023-09-10,桃園市,6個月-4歲,39.90,22.00,3.30,0.40,0.00,0.00,0.00,0.00
276,2023-09-10,桃園市,5-11歲,81.40,61.60,0.40,23.60,1.40,0.00,0.00,0.00
277,2023-09-10,桃園市,12-17歲,93.20,85.50,0.10,66.80,21.30,0.00,0.00,0.00
278,2023-09-10,桃園市,18-29歲,95.20,91.70,0.30,78.70,12.10,0.00,0.00,0.00
279,2023-09-10,桃園市,30-49歲,93.40,90.50,0.50,81.70,18.60,0.00,0.00,0.00
280,2023-09-10,桃園市,50-64歲,90.10,87.60,0.60,80.30,26.70,0.00,0.00,0.00
281,2023-09-10,桃園市,65-74歲,91.00,88.90,0.80,83.90,52.40,13.10,0.00,0.00
282,2023-09-10,桃園市,75歲以上,86.60,82.80,0.80,76.10,50.30,11.60,0.00,0.00
529,2023-09-03,桃園市,全區,89.20,84.30,0.60,72.60,22.40,0.00,0.00,0.00
530,2023-09-03,桃園市,6個月-4歲,40.20,22.10,3.30,0.40,0.00,0.00,0.00,0.00
531,2023-09-03,桃園市,5-11歲,81.50,61.80,0.40,23.60,1.40,0.00,0.00,0.00
532,2023-09-03,桃園市,12-17歲,93.20,85.50,0.10,67.00,21.40,0.00,0.00,0.00
533,2023-09-03,桃園市,18-29歲,95.20,91.70,0.30,78.80,12.10,0.00,0.00,0.00
534,2023-09-03,桃園市,30-49歲,93.40,90.40,0.50,81.70,18.60,0.00,0.00,0.00
